condition,level,workbook,runId,msExecPercent,totalDelayMs,slackP5Ms,burstSpanMs,zMS,zSigmaD,zSlackP5,zSpan,deviationScore,action
12MP normal,2,48U_metrics_12MP_normal_0803_2.xlsx,29,100,6455,1008.85,17987,0.6745,7.1034,2.0988,10.1687,12.5984,DROP
12MP normal,2,48U_metrics_12MP_normal_0803_2.xlsx,28,60,1432,960.75,12290,-7.4194,0.2312,1.919,-0.6555,7.695,DROP
12MP normal,2,48U_metrics_12MP_normal_0803_2.xlsx,26,100,0,2258.1,14270,0.6745,-1.728,6.7683,3.1065,7.6747,DROP
12MP normal,2,48U_metrics_12MP_normal_0803_2.xlsx,3,73.3333,2073,447.35,12909,-4.7214,1.1082,0,0.5206,4.8776,KEEP
12MP normal,2,48U_metrics_12MP_normal_0803_1.xlsx,2,73.3333,1472,304.40000000000003,12836,-4.7214,0.2859,-0.5343,0.3819,4.7755,KEEP
12MP normal,2,48U_metrics_12MP_normal_0803_2.xlsx,27,83.3333,853,287.3,11570,-2.698,-0.5609,-0.5982,-2.0235,3.4707,KEEP
12MP normal,2,48U_metrics_12MP_normal_0803_2.xlsx,24,100,73,977.1500000000001,11618,0.6745,-1.6281,1.9803,-1.9323,3.2804,KEEP
12MP normal,2,48U_metrics_12MP_normal_0803_2.xlsx,32,100,0,836.6,11698,0.6745,-1.728,1.4549,-1.7803,2.9542,KEEP
12MP normal,2,48U_metrics_12MP_normal_0803_2.xlsx,30,83.3333,1688,244.3,12990,-2.698,0.5815,-0.759,0.6745,2.9408,KEEP
12MP normal,2,48U_metrics_12MP_normal_0803_2.xlsx,31,83.3333,1756,266.9,12858,-2.698,0.6745,-0.6745,0.4237,2.8928,KEEP
12MP normal,2,48U_metrics_12MP_normal_0803_1.xlsx,38,96.6667,667,331.05,11838,0,-0.8154,-0.4347,-1.5143,1.774,KEEP
12MP normal,2,48U_metrics_12MP_normal_0803_1.xlsx,39,100,1011,508.65000000000003,12500,0.6745,-0.3448,0.2291,-0.2565,0.8319,KEEP
12MP normal,2,48U_metrics_12MP_normal_0803_1.xlsx,21,100,1263,318.8,12635,0.6745,0,-0.4805,0,0.8281,KEEP
12MP normal,3,48U_metrics_12MP_normal_0803_1.xlsx,42,100,8083,274.25,21574,5.5645,34.5747,-0.4775,5.7434,35.4907,DROP
12MP normal,3,48U_metrics_12MP_normal_0803_2.xlsx,5,100,7557,409.55,21197,5.5645,30.879,0.6565,5.2885,31.8257,DROP
12MP normal,3,48U_metrics_12MP_normal_0803_1.xlsx,41,40,2762,353.75,16736,-0.5059,-2.8104,0.1888,-0.0941,2.8633,KEEP
12MP normal,3,48U_metrics_12MP_normal_0803_1.xlsx,23,43.3333,3532,256.65000000000003,16991,-0.1686,2.5996,-0.625,0.2136,2.6875,KEEP
12MP normal,3,48U_metrics_12MP_normal_0803_1.xlsx,24,26.6667,3293,416.55000000000007,16397,-1.8548,0.9204,0.7151,-0.5032,2.2477,KEEP
12MP normal,3,48U_metrics_12MP_normal_0803_2.xlsx,4,60,3181,248.60000000000002,15711,1.5176,0.1335,-0.6925,-1.3309,2.1382,KEEP
12MP normal,3,48U_metrics_12MP_normal_0803_1.xlsx,22,53.3333,3112,498.35,16342,0.8431,-0.3513,1.4007,-0.5695,1.7665,KEEP
12MP normal,3,48U_metrics_12MP_normal_0803_1.xlsx,40,46.6667,3191,175.70000000000002,16103,0.1686,0.2038,-1.3035,-0.8579,1.5827,KEEP
12MP normal,3,48U_metrics_12MP_normal_0803_1.xlsx,27,53.3333,3143,308.70000000000005,15755,0.8431,-0.1335,-0.1888,-1.2778,1.5482,KEEP
12MP normal,3,48U_metrics_12MP_normal_0803_1.xlsx,43,40,3033,216.8,16892,-0.5059,-0.9063,-0.959,0.0941,1.4163,KEEP
12MP normal,3,48U_metrics_12MP_normal_0803_1.xlsx,4,40,3113,440.1,17460,-0.5059,-0.3443,0.9125,0.7795,1.3471,KEEP
12MP normal,3,48U_metrics_12MP_normal_0803_1.xlsx,3,40,3099,388.45000000000005,16919,-0.5059,-0.4426,0.4796,0.1267,0.8354,KEEP
12MP normal,4,48U_metrics_12MP_normal_0803_1.xlsx,26,100,8001,717.5,22493,3.5652,1.7174,1.8118,0.9133,4.4471,DROP
12MP normal,4,48U_metrics_12MP_normal_0803_1.xlsx,28,100,8375,469.15000000000003,22240,3.5652,1.8988,0.1189,0.7942,4.1184,DROP
12MP normal,4,48U_metrics_12MP_normal_0803_2.xlsx,7,100,7789,355.8,22409,3.5652,1.6146,-0.6537,0.8738,4.063,DROP
12MP normal,4,48U_metrics_12MP_normal_0803_1.xlsx,5,100,7788,543.1,21883,3.5652,1.6141,0.623,0.6263,4.012,DROP
12MP normal,4,48U_metrics_12MP_normal_0803_2.xlsx,9,26.6667,3957,738.1,20529,-0.6745,-0.2442,1.9522,-0.0108,2.0799,KEEP
12MP normal,4,48U_metrics_12MP_normal_0803_1.xlsx,6,66.6667,6587,388.05000000000007,21148,1.638,1.0315,-0.4339,0.2804,2.0035,KEEP
12MP normal,4,48U_metrics_12MP_normal_0803_1.xlsx,29,30,3066,209.15,19016,-0.4818,-0.6764,-1.6533,-0.7227,1.9863,KEEP
12MP normal,4,48U_metrics_12MP_normal_0803_2.xlsx,6,40,3212,434.25000000000006,16585,0.0964,-0.6056,-0.1189,-1.8666,1.9683,KEEP
12MP normal,4,48U_metrics_12MP_normal_0803_1.xlsx,25,36.6667,3074,537.85,16868,-0.0964,-0.6726,0.5872,-1.7334,1.9522,KEEP
12MP normal,4,48U_metrics_12MP_normal_0803_1.xlsx,44,40,2930,349.70000000000005,17282,0.0964,-0.7424,-0.6953,-1.5386,1.8469,KEEP
12MP normal,4,48U_metrics_12MP_normal_0803_1.xlsx,8,23.3333,3427,674.25,20533,-0.8672,-0.5013,1.517,-0.0089,1.8179,KEEP
12MP normal,4,48U_metrics_12MP_normal_0803_2.xlsx,8,26.6667,4964,652.3000000000001,20571,-0.6745,0.2442,1.3674,0.0089,1.5442,KEEP
12MP normal,4,48U_metrics_12MP_normal_0803_1.xlsx,7,26.6667,3611,283.70000000000005,20143,-0.6745,-0.4121,-1.1452,-0.1924,1.4047,KEEP
12MP normal,4,48U_metrics_12MP_normal_0803_1.xlsx,30,26.6667,5212,366.15,21717,-0.6745,0.3645,-0.5831,0.5482,1.1083,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,20,100,15992,663.25,31218,14.8388,13.0879,1.7138,25.1114,32.0157,DROP
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,22,33.3333,3056,270.8,18417,1.349,-0.906,-0.488,-5.9467,6.184,DROP
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,17,33.3333,5570,361.1,22471,1.349,1.8136,0.0187,3.8892,4.4984,DROP
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,11,20,2255,354.45000000000005,19766,-1.349,-1.7725,-0.0187,-2.6737,3.48,DROP
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,21,26.6667,3166,236.10000000000005,19713,0,-0.787,-0.6826,-2.8023,2.9897,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_1.xlsx,11,23.3333,3625,787.85,20587,-0.6745,-0.2905,2.4128,-0.6818,2.6126,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,10,36.6667,3374,400.6,21057,2.0235,-0.562,0.2403,0.4586,2.1629,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,12,26.6667,3932,223.95000000000002,21682,0,0.0416,-0.7508,1.9749,2.1133,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,19,26.6667,3809,118.45,21088,0,-0.0914,-1.3427,0.5338,1.4478,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,18,26.6667,4633,218.95000000000002,20975,0,0.8,-0.7788,0.2596,1.1463,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_1.xlsx,32,30,3855,197.10000000000005,20933,0.6745,-0.0416,-0.9014,0.1577,1.1376,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_1.xlsx,10,23.3333,4683,397.45,20803,-0.6745,0.8541,0.2226,-0.1577,1.122,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_1.xlsx,33,26.6667,4143,384.3,20593,0,0.2699,0.1488,-0.6672,0.735,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_1.xlsx,31,26.6667,4133,476.55000000000007,20802,0,0.2591,0.6664,-0.1601,0.7327,KEEP
12MP normal,6,48U_metrics_12MP_normal_0803_1.xlsx,13,56.6667,4412,412.4000000000001,21750,6.0704,0.0846,0.23,0.3446,6.0851,DROP
12MP normal,6,48U_metrics_12MP_normal_0803_2.xlsx,14,43.3333,4993,290.15000000000003,22335,3.3725,1.2271,-0.9082,1.0647,3.8519,KEEP
