shot,applied_delay_s,real_backlog_s,timeout_margin_s,bokeh_exec_y,bokeh_skip_y,filter_exec_y,filter_skip_y,mp24_y,mp12_y,overheat_level,resolution
1,0.000,0.000,4.419,2,,1,,,0,4,4000x3000
2,0.000,,3.688,2,,1,,,0,4,4000x3000
3,0.000,1.113,3.240,2,,1,,,0,4,4000x3000
4,0.000,1.785,2.640,2,,1,,,0,4,4000x3000
5,0.291,2.405,1.970,2,,1,,,0,4,4000x3000
6,0.440,2.777,1.270,2,,1,,,0,4,4000x3000
7,0.512,2.842,0.693,2,,1,,,0,4,4000x3000
8,0.386,3.033,0.150,2,,1,,,0,4,4000x3000
9,0.372,3.356,0.558,,2,1,,,0,4,4000x3000
10,0.455,3.104,0.932,,2,1,,,0,4,4000x3000
11,0.554,2.883,0.992,,2,1,,,0,4,4000x3000
12,0.696,2.581,1.069,,2,1,,,0,4,4000x3000
13,0.000,2.287,1.193,,2,1,,,0,4,4000x3000
14,0.000,2.625,1.589,,2,1,,,0,4,4000x3000
15,0.000,2.941,1.913,,2,1,,,0,4,4000x3000
16,0.000,3.299,1.604,,2,1,,,0,4,4000x3000
17,0.000,3.590,1.356,,2,1,,,0,4,4000x3000
18,0.000,3.803,1.107,,2,1,,,0,4,4000x3000
19,0.000,3.808,0.834,,2,1,,,0,4,4000x3000
20,0.000,3.885,0.583,,2,1,,,0,5,4000x3000
21,0.012,4.157,0.498,,2,1,,,0,5,4000x3000
22,0.204,4.411,0.407,,2,1,,,0,5,4000x3000
23,0.351,4.469,0.381,,2,,1,,0,5,4000x3000
24,0.388,4.157,0.354,,2,,1,,0,5,4000x3000
25,0.283,3.739,0.638,,2,,1,,0,5,4000x3000
26,0.189,3.157,1.172,,2,,1,,0,5,4000x3000
27,0.066,2.635,1.728,,2,,1,,0,5,4000x3000
28,0.000,2.329,2.342,,2,,1,,0,5,4000x3000
29,0.013,2.228,2.858,,2,,1,,0,5,4000x3000
30,0.000,1.934,3.190,,2,,1,,0,5,4000x3000
