shot,applied_delay_s,real_backlog_s,timeout_margin_s,bokeh_exec_y,bokeh_skip_y,filter_exec_y,filter_skip_y,mp24_y,mp12_y,overheat_level,resolution
1,0.000,0.000,4.311,2,,1,,0,,3,5712x4284
2,0.000,,2.917,2,,1,,0,,3,5712x4284
3,0.000,1.329,2.225,2,,1,,,0,3,4000x3000
4,0.434,1.956,1.786,2,,1,,,0,3,4000x3000
5,0.375,2.467,1.167,2,,1,,,0,3,4000x3000
6,0.000,2.743,0.857,,2,1,,,0,3,4000x3000
7,0.000,3.110,1.138,,2,1,,,0,3,4000x3000
8,0.000,3.241,1.057,,2,1,,,0,3,4000x3000
9,0.719,3.537,0.844,,2,1,,,0,3,4000x3000
10,1.313,3.120,0.557,,2,1,,,0,3,4000x3000
11,0.000,2.098,0.245,,2,1,,,0,3,4000x3000
12,0.000,2.572,0.529,,2,1,,,0,3,4000x3000
13,0.000,2.880,1.238,,2,1,,,0,3,4000x3000
14,0.000,3.349,1.024,,2,1,,,0,3,4000x3000
15,0.000,3.558,0.726,,2,1,,,0,3,4000x3000
16,0.000,3.974,0.475,,2,1,,,0,3,4000x3000
17,0.000,4.194,0.351,,2,,1,,0,3,4000x3000
18,0.423,4.270,0.283,,2,,1,,0,3,4000x3000
19,0.406,3.791,0.326,,2,,1,,0,3,4000x3000
20,0.000,3.399,0.390,,2,,1,,0,3,4000x3000
21,0.261,3.532,0.781,,2,,1,,0,3,4000x3000
22,0.006,3.313,1.073,,2,,1,,0,3,4000x3000
23,0.451,3.371,1.022,,2,,1,,0,3,4000x3000
24,0.000,3.142,1.396,,2,,1,,0,3,4000x3000
25,0.000,3.101,1.579,,2,,1,,0,4,4000x3000
26,0.000,3.125,1.992,,2,,1,,0,4,4000x3000
27,0.000,2.807,2.050,,2,,1,,0,4,4000x3000
28,0.000,2.546,2.186,,2,,1,,0,4,4000x3000
29,0.000,2.229,2.454,,2,,1,,0,4,4000x3000
30,0.000,1.608,2.705,,2,,1,,0,4,4000x3000
