run,level,shot,actual_size,required_delay_ms,applied_delay_ms,calibration_error_ms
1#2,2,24,MP12,7.0,0.0,-7.0
1#2,2,25,MP12,50.0,17.0,-33.0
1#2,2,26,MP12,78.0,110.0,32.0
1#2,2,27,MP12,91.0,229.0,138.0
1#2,2,28,MP12,23.0,465.0,442.0
1#6,4,21,MP12,65.0,351.0,286.0
1#22,3,17,MP12,54.0,401.0,347.0
1#24,3,9,MP12,587.0,381.0,-206.0
1#27,3,18,MP12,21.0,267.0,246.0
1#27,3,19,MP12,210.0,470.0,260.0
1#27,3,20,MP12,183.0,758.0,575.0
1#27,3,21,MP12,13.0,683.0,670.0
1#38,2,30,MP12,77.0,275.0,198.0
2#4,3,19,MP12,60.0,0.0,-60.0
2#4,3,20,MP12,55.0,0.0,-55.0
2#4,3,21,MP12,118.0,134.0,16.0
2#4,3,22,MP12,159.0,421.0,262.0
2#4,3,23,MP12,126.0,709.0,583.0
2#9,4,9,MP12,74.0,727.0,653.0
2#9,4,10,MP12,28.0,874.0,846.0
2#27,2,26,MP12,17.0,0.0,-17.0
2#27,2,27,MP12,51.0,0.0,-51.0
2#27,2,28,MP12,51.0,25.0,-26.0
2#27,2,29,MP12,63.0,283.0,220.0
2#27,2,30,MP12,59.0,545.0,486.0
2#30,2,26,MP12,86.0,149.0,63.0
2#30,2,27,MP12,111.0,323.0,212.0
2#30,2,28,MP12,27.0,419.0,392.0
2#31,2,26,MP12,59.0,158.0,99.0
2#31,2,27,MP12,57.0,347.0,290.0
