run,level,shot,actual_size,required_delay_ms,applied_delay_ms,calibration_error_ms
2,2,22,MP12,94.0,0.0,-94.0
5,4,12,MP12,59.0,442.0,383.0
5,4,13,MP12,68.0,457.0,389.0
5,4,14,MP12,255.0,484.0,229.0
5,4,15,MP12,106.0,412.0,306.0
5,4,17,MP12,18.0,289.0,271.0
5,4,18,MP12,51.0,337.0,286.0
5,4,19,MP12,116.0,338.0,222.0
5,4,20,MP12,125.0,473.0,348.0
5,4,21,MP12,140.0,520.0,380.0
5,4,22,MP12,226.0,527.0,301.0
5,4,23,MP12,162.0,430.0,268.0
5,4,24,MP12,24.0,322.0,298.0
5,4,25,MP12,103.0,342.0,239.0
5,4,26,MP12,13.0,366.0,353.0
5,4,27,MP12,2.0,374.0,372.0
5,4,28,MP12,46.0,452.0,406.0
6,4,12,MP12,83.0,504.0,421.0
6,4,17,MP12,83.0,474.0,391.0
6,4,18,MP12,160.0,493.0,333.0
6,4,19,MP12,397.0,484.0,87.0
6,4,20,MP12,351.0,383.0,32.0
12,6,8,MP12,148.0,468.0,320.0
13,6,8,MP12,10.0,387.0,377.0
17,6,10,MP12,4.0,532.0,528.0
18,6,7,MP12,15.0,141.0,126.0
22,3,16,MP12,152.0,88.0,-64.0
23,3,13,MP12,81.0,462.0,381.0
25,4,11,MP12,19.0,578.0,559.0
26,4,19,MP12,71.0,290.0,219.0
26,4,21,MP12,5.0,319.0,314.0
26,4,22,MP12,12.0,331.0,319.0
26,4,23,MP12,107.0,369.0,262.0
26,4,24,MP12,115.0,354.0,239.0
26,4,25,MP12,22.0,465.0,443.0
26,4,26,MP12,20.0,495.0,475.0
27,3,16,MP12,71.0,0.0,-71.0
28,4,12,MP12,41.0,404.0,363.0
28,4,16,MP12,18.0,264.0,246.0
28,4,17,MP12,76.0,286.0,210.0
28,4,18,MP12,118.0,433.0,315.0
28,4,19,MP12,227.0,570.0,343.0
28,4,20,MP12,217.0,574.0,357.0
28,4,21,MP12,181.0,488.0,307.0
28,4,22,MP12,115.0,383.0,268.0
28,4,23,MP12,186.0,300.0,114.0
28,4,24,MP12,69.0,302.0,233.0
28,4,25,MP12,20.0,321.0,301.0
28,4,26,MP12,30.0,353.0,323.0
28,4,27,MP12,16.0,387.0,371.0
28,4,28,MP12,8.0,446.0,438.0
31,5,8,MP12,237.0,584.0,347.0
32,5,9,MP12,296.0,569.0,273.0
33,5,8,MP12,57.0,532.0,475.0
38,2,28,MP12,146.0,153.0,7.0
38,2,29,MP12,287.0,239.0,-48.0
39,2,28,MP12,78.0,302.0,224.0
39,2,29,MP12,69.0,281.0,212.0
40,3,14,MP12,81.0,329.0,248.0
41,3,12,MP12,75.0,582.0,507.0
42,3,11,MP12,19.0,379.0,360.0
42,3,12,MP12,224.0,517.0,293.0
42,3,13,MP12,211.0,492.0,281.0
42,3,14,MP12,155.0,359.0,204.0
42,3,15,MP12,140.0,350.0,210.0
42,3,16,MP12,201.0,375.0,174.0
42,3,17,MP12,236.0,365.0,129.0
42,3,18,MP12,268.0,393.0,125.0
42,3,19,MP12,260.0,438.0,178.0
42,3,20,MP12,336.0,485.0,149.0
42,3,21,MP12,309.0,471.0,162.0
42,3,22,MP12,234.0,393.0,159.0
42,3,23,MP12,265.0,401.0,136.0
42,3,24,MP12,232.0,448.0,216.0
42,3,25,MP12,182.0,453.0,271.0
42,3,26,MP12,73.0,383.0,310.0
42,3,27,MP12,39.0,437.0,398.0
42,3,28,MP12,27.0,453.0,426.0
43,3,12,MP12,80.0,279.0,199.0
44,4,12,MP12,21.0,403.0,382.0
