run,level,shot,actual_size,required_delay_ms,applied_delay_ms,calibration_error_ms
1#7,4,19,MP24,57.0,0.0,-57.0
1#7,4,20,MP24,56.0,271.0,215.0
1#13,5,9,MP12,41.0,1201.0,1160.0
1#13,5,10,MP12,43.0,1097.0,1054.0
1#18,6,13,MP12,375.0,699.0,324.0
1#18,6,14,MP12,192.0,806.0,614.0
1#18,6,15,MP12,182.0,889.0,707.0
1#19,6,7,MP12,197.0,1508.0,1311.0
1#21,2,25,MP24,358.0,279.0,-79.0
1#21,2,26,MP24,257.0,318.0,61.0
1#21,2,27,MP24,41.0,259.0,218.0
1#22,3,19,MP24,57.0,707.0,650.0
1#22,3,20,MP24,39.0,685.0,646.0
1#28,5,7,MP12,65.0,949.0,884.0
1#28,5,8,MP12,101.0,2010.0,1909.0
1#32,3,16,MP24,160.0,324.0,164.0
1#32,3,17,MP24,240.0,427.0,187.0
1#32,3,18,MP24,232.0,431.0,199.0
1#32,3,20,MP24,124.0,188.0,64.0
1#32,3,21,MP24,492.0,319.0,-173.0
1#32,3,23,MP24,270.0,426.0,156.0
1#34,3,18,MP24,140.0,423.0,283.0
2#4,3,17,MP24,37.0,0.0,-37.0
2#6,4,19,MP24,153.0,0.0,-153.0
2#10,5,15,MP12,206.0,917.0,711.0
2#10,5,16,MP12,229.0,1343.0,1114.0
2#15,4,13,MP24,1038.0,764.0,-274.0
2#15,4,15,MP24,342.0,677.0,335.0
2#15,4,16,MP24,103.0,115.0,12.0
2#15,4,18,MP24,398.0,275.0,-123.0
2#15,4,19,MP24,719.0,0.0,-719.0
2#15,4,20,MP24,429.0,0.0,-429.0
2#15,4,21,MP24,752.0,0.0,-752.0
2#15,4,22,MP24,920.0,0.0,-920.0
2#15,4,23,MP24,323.0,0.0,-323.0
2#15,4,24,MP24,660.0,4.0,-656.0
2#15,4,25,MP24,58.0,0.0,-58.0
2#15,4,26,MP24,760.0,627.0,-133.0
2#15,4,27,MP24,164.0,858.0,694.0
2#18,3,14,MP24,100.0,0.0,-100.0
2#18,3,15,MP24,182.0,0.0,-182.0
2#19,3,23,MP24,7.0,296.0,289.0
2#22,2,17,MP24,134.0,0.0,-134.0
2#22,2,19,MP24,78.0,0.0,-78.0
2#22,2,20,MP24,88.0,0.0,-88.0
2#22,2,21,MP24,552.0,0.0,-552.0
2#22,2,22,MP24,522.0,646.0,124.0
2#22,2,24,MP24,58.0,1271.0,1213.0
2#23,3,22,MP24,135.0,0.0,-135.0
2#23,3,23,MP24,186.0,0.0,-186.0
2#23,3,24,MP24,276.0,88.0,-188.0
2#23,3,25,MP24,30.0,234.0,204.0
2#24,1,30,MP24,58.0,189.0,131.0
2#29,2,26,MP24,293.0,0.0,-293.0
2#29,2,27,MP24,49.0,0.0,-49.0
2#29,2,28,MP24,11.0,0.0,-11.0
2#29,2,29,MP24,4.0,0.0,-4.0
2#30,2,19,MP24,26.0,0.0,-26.0
2#30,2,22,MP24,140.0,669.0,529.0
2#31,2,25,MP24,131.0,0.0,-131.0
2#31,2,26,MP24,207.0,0.0,-207.0
