error_pct,cdf
-2.9429,0.0027
-1.3429,0.00539
-1.0143,0.00809
-0.9143,0.01078
-0.6857,0.01348
-0.4714,0.01617
-0.1,0.01887
0.0429,0.02156
0.0857,0.02426
0.1,0.02695
0.1143,0.02965
0.1714,0.03235
0.1857,0.04043
0.2286,0.04582
0.2429,0.04852
0.2857,0.05121
0.3857,0.05391
0.4571,0.0593
0.5286,0.06199
0.5857,0.06469
0.6429,0.06739
0.6714,0.07008
0.7,0.07278
0.7714,0.07547
0.8286,0.07817
0.9143,0.08086
0.9429,0.08625
1.0286,0.08895
1.0571,0.09164
1.1286,0.09434
1.2,0.09704
1.2429,0.09973
1.2571,0.10243
1.3714,0.10512
1.3857,0.10782
1.4,0.11051
1.4429,0.11321
1.4857,0.1159
1.5,0.1186
1.5143,0.12129
1.5286,0.12399
1.6286,0.12668
1.7286,0.12938
1.7857,0.13477
1.8,0.14016
1.8429,0.14286
1.9429,0.14555
1.9571,0.14825
1.9714,0.15364
2.0286,0.15633
2.0714,0.15903
2.0857,0.16173
2.1286,0.16442
2.1857,0.16981
2.2714,0.1779
2.3,0.18059
2.3143,0.18329
2.3286,0.18868
2.3857,0.19677
2.4429,0.19946
2.4857,0.20485
2.5,0.20755
2.5429,0.21024
2.5571,0.21294
2.6,0.21563
2.6286,0.21833
2.6857,0.22102
2.7,0.22372
2.7286,0.22642
2.7714,0.23181
2.7857,0.2345
2.8286,0.2372
2.8429,0.23989
2.8571,0.24259
2.8714,0.24528
2.9143,0.25067
2.9286,0.25337
2.9571,0.25876
3.0,0.26415
3.0143,0.26685
3.0286,0.26954
3.0857,0.27224
3.1286,0.27493
3.1571,0.27763
3.1714,0.28032
3.2,0.28571
3.2143,0.28841
3.2571,0.2938
3.2714,0.2965
3.3286,0.30458
3.3571,0.30728
3.4,0.31267
3.4143,0.32075
3.4429,0.32345
3.4571,0.32615
3.4857,0.32884
3.5143,0.33423
3.5429,0.33693
3.5857,0.33962
3.6143,0.34232
3.6429,0.34501
3.7143,0.34771
3.7429,0.3504
3.7571,0.3558
3.7714,0.35849
3.8286,0.36388
3.8571,0.36658
3.8714,0.37197
3.9,0.38005
3.9286,0.38275
3.9857,0.38544
4.0143,0.39084
4.0286,0.39353
4.0429,0.39892
4.0857,0.40701
4.1286,0.4097
4.1571,0.41509
4.1857,0.42318
4.2571,0.42588
4.2714,0.43127
4.2857,0.43396
4.3,0.44474
4.3286,0.44744
4.3714,0.45283
4.3857,0.45553
4.4,0.45822
4.4143,0.46092
4.4286,0.46361
4.4571,0.46631
4.4857,0.469
4.5,0.4717
4.5571,0.47709
4.5714,0.48248
4.5857,0.48787
4.6143,0.49326
4.6286,0.49596
4.6714,0.50135
4.6857,0.50404
4.7143,0.50943
4.7571,0.51213
4.8143,0.52022
4.8286,0.52291
4.9,0.5283
4.9429,0.531
4.9571,0.54178
4.9714,0.54447
5.0,0.54717
5.0143,0.54987
5.0286,0.55256
5.0429,0.56065
5.1,0.56604
5.1143,0.56873
5.1429,0.57412
5.1857,0.57682
5.2857,0.57951
5.3,0.58491
5.3143,0.5903
5.3571,0.59299
