error_pct,cdf
-13.1429,0.00195
-10.7429,0.00389
-10.2714,0.00584
-9.3714,0.00778
-7.8857,0.00973
-7.5714,0.01167
-7.3429,0.01362
-6.4857,0.01556
-6.1286,0.01751
-4.8857,0.01946
-4.6143,0.02335
-4.6,0.02529
-4.1857,0.02724
-4.0,0.02918
-3.9143,0.03113
-3.6,0.03307
-2.9714,0.03502
-2.9571,0.03696
-2.7857,0.03891
-2.6857,0.04086
-2.6571,0.0428
-2.6143,0.04475
-2.6,0.04669
-2.5714,0.04864
-2.5286,0.05058
-2.4714,0.05253
-2.1857,0.05447
-2.0571,0.05642
-1.9286,0.05837
-1.9143,0.06031
-1.9,0.06226
-1.8714,0.0642
-1.7714,0.06615
-1.7571,0.06809
-1.4286,0.07198
-1.3857,0.07393
-1.2571,0.07588
-1.1714,0.07782
-1.1286,0.07977
-1.1143,0.08171
-1.0429,0.08366
-1.0,0.0856
-0.9143,0.08755
-0.8286,0.08949
-0.8143,0.09144
-0.8,0.09339
-0.7,0.09533
-0.5286,0.09728
-0.4714,0.09922
-0.3714,0.10117
-0.3429,0.10311
-0.1571,0.107
-0.0714,0.10895
-0.0571,0.11089
0.0143,0.11479
0.0286,0.11673
0.0857,0.11868
0.1714,0.12062
0.1857,0.12257
0.2,0.12451
0.2286,0.12646
0.2571,0.1284
0.2714,0.13035
0.3,0.1323
0.3143,0.13424
0.3429,0.13619
0.3571,0.13813
0.3714,0.14008
0.3857,0.14202
0.4143,0.14397
0.4286,0.14786
0.4429,0.14981
0.4571,0.15175
0.4714,0.15564
0.5,0.15759
0.5286,0.15953
0.6,0.16148
0.6143,0.16537
0.7429,0.16926
0.7714,0.17121
0.8714,0.17315
0.9,0.17704
0.9143,0.17899
0.9286,0.18093
0.9429,0.18288
0.9571,0.18677
0.9714,0.18872
0.9857,0.19066
1.0286,0.19455
1.0714,0.1965
1.1571,0.19844
1.1714,0.20039
1.1857,0.20233
1.2286,0.20623
1.2429,0.20817
1.2571,0.21012
1.2714,0.21401
1.3143,0.21984
1.3286,0.22179
1.3429,0.22568
1.4143,0.22763
1.4429,0.23152
