runKey,condition,startingLevel,shots,excludedReason,included
12MP normal#1#1,12MP normal,0,31,,True
12MP normal#1#2,12MP normal,2,30,,True
12MP normal#1#3,12MP normal,3,31,,True
12MP normal#1#4,12MP normal,3,30,,True
12MP normal#1#6,12MP normal,4,34,,True
12MP normal#1#7,12MP normal,4,30,,True
12MP normal#1#8,12MP normal,4,31,,True
12MP normal#1#10,12MP normal,5,32,,True
12MP normal#1#11,12MP normal,5,32,,True
12MP normal#1#12,12MP normal,6,30,,True
12MP normal#1#14,12MP normal,6,30,,True
12MP normal#1#15,12MP normal,6,30,,True
12MP normal#1#16,12MP normal,6,31,,True
12MP normal#1#17,12MP normal,6,30,,True
12MP normal#1#18,12MP normal,6,30,,True
12MP normal#1#19,12MP normal,0,30,,True
12MP normal#1#20,12MP normal,1,31,,True
12MP normal#1#21,12MP normal,2,34,,True
12MP normal#1#22,12MP normal,3,30,,True
12MP normal#1#23,12MP normal,3,35,,True
12MP normal#1#24,12MP normal,3,32,,True
12MP normal#1#25,12MP normal,4,34,,True
12MP normal#1#27,12MP normal,3,31,,True
12MP normal#1#29,12MP normal,4,31,,True
12MP normal#1#30,12MP normal,4,32,,True
12MP normal#1#31,12MP normal,5,31,,True
12MP normal#1#32,12MP normal,5,34,,True
12MP normal#1#33,12MP normal,5,33,,True
12MP normal#1#34,12MP normal,0,31,,True
12MP normal#1#35,12MP normal,0,32,,True
12MP normal#1#36,12MP normal,0,35,,True
12MP normal#1#37,12MP normal,1,30,,True
12MP normal#1#38,12MP normal,2,32,,True
12MP normal#1#39,12MP normal,2,35,,True
12MP normal#1#40,12MP normal,3,30,,True
12MP normal#1#41,12MP normal,3,32,,True
12MP normal#1#43,12MP normal,3,32,,True
12MP normal#1#44,12MP normal,4,31,,True
12MP normal#2#1,12MP normal,0,31,,True
12MP normal#2#2,12MP normal,1,33,,True
12MP normal#2#3,12MP normal,2,31,,True
12MP normal#2#4,12MP normal,3,40,,True
12MP normal#2#6,12MP normal,4,33,,True
12MP normal#2#8,12MP normal,4,37,,True
12MP normal#2#9,12MP normal,4,31,,True
12MP normal#2#10,12MP normal,5,30,,True
12MP normal#2#12,12MP normal,5,32,,True
12MP normal#2#13,12MP normal,6,31,,True
12MP normal#2#14,12MP normal,6,31,,True
12MP normal#2#15,12MP normal,6,36,,True
12MP normal#2#16,12MP normal,6,34,,True
12MP normal#2#18,12MP normal,5,31,,True
12MP normal#2#19,12MP normal,5,31,,True
12MP normal#2#21,12MP normal,5,36,,True
12MP normal#2#23,12MP normal,0,30,,True
12MP normal#2#24,12MP normal,2,31,,True
12MP normal#2#25,12MP normal,0,30,,True
12MP normal#2#27,12MP normal,2,31,,True
12MP normal#2#30,12MP normal,2,31,,True
12MP normal#2#31,12MP normal,2,32,,True
12MP normal#2#32,12MP normal,2,30,,True
12MP normal#2#33,12MP normal,1,30,,True
12MP normal#2#34,12MP normal,1,31,,True
12MP normal#2#35,12MP normal,1,31,,True
12MP normal#2#36,12MP normal,1,32,,True
12MP normal#2#37,12MP normal,1,32,,True
12MP normal#2#38,12MP normal,0,30,,True
12MP normal#2#39,12MP normal,0,31,,True
12MP normal#2#40,12MP normal,1,32,,True
12MP normal#2#41,12MP normal,1,34,,True
24MP mode + memory pressure#1#1,24MP mode + memory pressure,0,31,,True
24MP mode + memory pressure#1#2,24MP mode + memory pressure,1,31,,True
24MP mode + memory pressure#1#3,24MP mode + memory pressure,3,30,mp12-from-shot-1,False
24MP mode + memory pressure#1#4,24MP mode + memory pressure,3,30,,True
24MP mode + memory pressure#1#5,24MP mode + memory pressure,3,31,,True
24MP mode + memory pressure#1#6,24MP mode + memory pressure,4,33,,True
24MP mode + memory pressure#1#7,24MP mode + memory pressure,4,30,,True
24MP mode + memory pressure#1#8,24MP mode + memory pressure,4,31,,True
24MP mode + memory pressure#1#9,24MP mode + memory pressure,5,31,,True
24MP mode + memory pressure#1#10,24MP mode + memory pressure,5,30,,True
24MP mode + memory pressure#1#11,24MP mode + memory pressure,5,30,,True
24MP mode + memory pressure#1#12,24MP mode + memory pressure,5,3,incomplete,False
24MP mode + memory pressure#1#13,24MP mode + memory pressure,5,31,,True
24MP mode + memory pressure#1#14,24MP mode + memory pressure,6,31,,True
24MP mode + memory pressure#1#15,24MP mode + memory pressure,6,30,,True
24MP mode + memory pressure#1#16,24MP mode + memory pressure,6,31,,True
24MP mode + memory pressure#1#17,24MP mode + memory pressure,6,31,,True
24MP mode + memory pressure#1#18,24MP mode + memory pressure,6,31,,True
24MP mode + memory pressure#1#19,24MP mode + memory pressure,6,30,,True
24MP mode + memory pressure#1#20,24MP mode + memory pressure,0,30,,True
24MP mode + memory pressure#1#21,24MP mode + memory pressure,2,32,,True
