required_ms,applied_ms
94.0,0.0
83.0,504.0
83.0,474.0
160.0,493.0
397.0,484.0
351.0,383.0
148.0,468.0
4.0,532.0
15.0,141.0
152.0,88.0
81.0,462.0
19.0,578.0
71.0,0.0
237.0,584.0
296.0,569.0
57.0,532.0
146.0,153.0
287.0,239.0
78.0,302.0
69.0,281.0
81.0,329.0
75.0,582.0
80.0,279.0
21.0,403.0
82.0,0.0
209.0,0.0
9.0,432.0
582.0,0.0
164.0,206.0
202.0,340.0
160.0,453.0
62.0,533.0
110.0,367.0
34.0,590.0
1.0,553.0
86.0,411.0
131.0,474.0
127.0,512.0
104.0,73.0
127.0,0.0
72.0,0.0
195.0,28.0
46.0,0.0
189.0,40.0
113.0,0.0
205.0,0.0
57.0,0.0
190.0,0.0
97.0,0.0
