required_ms,applied_ms
0.0,651.0
0.0,301.0
0.0,566.0
0.0,643.0
0.0,538.0
0.0,442.0
0.0,306.0
0.0,303.0
0.0,72.0
0.0,244.0
0.0,501.0
0.0,652.0
0.0,524.0
0.0,255.0
0.0,175.0
0.0,300.0
0.0,390.0
0.0,107.0
0.0,392.0
0.0,496.0
0.0,273.0
0.0,191.0
0.0,171.0
0.0,360.0
0.0,327.0
0.0,321.0
0.0,383.0
0.0,381.0
0.0,496.0
0.0,228.0
0.0,409.0
0.0,764.0
0.0,788.0
0.0,733.0
0.0,689.0
0.0,291.0
0.0,741.0
0.0,730.0
0.0,623.0
0.0,530.0
0.0,79.0
0.0,205.0
0.0,228.0
0.0,58.0
0.0,312.0
0.0,635.0
0.0,785.0
0.0,811.0
0.0,670.0
0.0,17.0
0.0,6.0
0.0,142.0
0.0,242.0
0.0,241.0
0.0,195.0
0.0,239.0
0.0,330.0
0.0,370.0
0.0,529.0
0.0,444.0
0.0,289.0
0.0,406.0
0.0,593.0
0.0,737.0
0.0,64.0
0.0,96.0
0.0,97.0
0.0,159.0
0.0,768.0
0.0,821.0
0.0,729.0
0.0,470.0
0.0,251.0
0.0,321.0
0.0,446.0
0.0,559.0
0.0,766.0
0.0,851.0
0.0,98.0
0.0,264.0
0.0,293.0
0.0,299.0
0.0,408.0
0.0,590.0
0.0,752.0
0.0,869.0
0.0,780.0
0.0,37.0
0.0,238.0
0.0,275.0
0.0,323.0
0.0,8.0
0.0,353.0
0.0,676.0
0.0,863.0
0.0,951.0
0.0,845.0
0.0,13.0
0.0,66.0
0.0,161.0
0.0,200.0
0.0,233.0
0.0,539.0
0.0,611.0
0.0,337.0
0.0,84.0
0.0,233.0
0.0,644.0
0.0,667.0
0.0,666.0
0.0,669.0
0.0,3.0
0.0,454.0
0.0,844.0
0.0,983.0
0.0,907.0
0.0,167.0
0.0,74.0
0.0,163.0
0.0,188.0
0.0,167.0
0.0,184.0
0.0,201.0
0.0,286.0
0.0,561.0
0.0,601.0
0.0,490.0
0.0,358.0
0.0,320.0
0.0,293.0
0.0,54.0
0.0,279.0
0.0,397.0
0.0,409.0
0.0,380.0
0.0,375.0
0.0,371.0
0.0,385.0
0.0,420.0
0.0,47.0
0.0,146.0
0.0,273.0
0.0,327.0
0.0,464.0
0.0,466.0
0.0,474.0
0.0,508.0
0.0,207.0
0.0,174.0
0.0,453.0
0.0,500.0
0.0,235.0
0.0,145.0
0.0,194.0
0.0,309.0
0.0,486.0
0.0,536.0
0.0,429.0
0.0,88.0
0.0,328.0
0.0,448.0
0.0,411.0
0.0,489.0
0.0,641.0
0.0,661.0
0.0,291.0
0.0,440.0
0.0,512.0
0.0,386.0
0.0,372.0
0.0,455.0
0.0,554.0
0.0,696.0
0.0,12.0
0.0,204.0
0.0,351.0
0.0,388.0
0.0,283.0
0.0,189.0
0.0,66.0
0.0,13.0
0.0,153.0
0.0,461.0
0.0,787.0
0.0,862.0
0.0,682.0
0.0,604.0
0.0,153.0
0.0,835.0
0.0,863.0
0.0,767.0
0.0,668.0
0.0,179.0
0.0,829.0
0.0,704.0
0.0,467.0
0.0,448.0
0.0,546.0
0.0,137.0
0.0,138.0
0.0,163.0
0.0,20.0
0.0,104.0
0.0,225.0
0.0,224.0
0.0,238.0
0.0,221.0
0.0,125.0
0.0,106.0
0.0,45.0
