required_ms,applied_ms
57.0,0.0
56.0,271.0
41.0,1201.0
43.0,1097.0
375.0,699.0
192.0,806.0
182.0,889.0
197.0,1508.0
358.0,279.0
257.0,318.0
41.0,259.0
57.0,707.0
39.0,685.0
65.0,949.0
101.0,2010.0
160.0,324.0
240.0,427.0
232.0,431.0
124.0,188.0
492.0,319.0
270.0,426.0
140.0,423.0
37.0,0.0
153.0,0.0
206.0,917.0
229.0,1343.0
1038.0,764.0
342.0,677.0
103.0,115.0
398.0,275.0
719.0,0.0
429.0,0.0
752.0,0.0
920.0,0.0
323.0,0.0
660.0,4.0
58.0,0.0
760.0,627.0
164.0,858.0
100.0,0.0
182.0,0.0
7.0,296.0
134.0,0.0
78.0,0.0
88.0,0.0
552.0,0.0
522.0,646.0
58.0,1271.0
135.0,0.0
186.0,0.0
276.0,88.0
30.0,234.0
58.0,189.0
293.0,0.0
49.0,0.0
11.0,0.0
4.0,0.0
26.0,0.0
140.0,669.0
131.0,0.0
207.0,0.0
