required_ms,applied_ms
143.0,169.0
53.0,668.0
242.0,648.0
198.0,851.0
274.0,524.0
349.0,27.0
74.0,260.0
307.0,515.0
41.0,663.0
277.0,1369.0
437.0,719.0
228.0,453.0
486.0,453.0
352.0,553.0
406.0,833.0
547.0,1146.0
384.0,1125.0
91.0,703.0
26.0,685.0
118.0,720.0
123.0,615.0
28.0,573.0
204.0,652.0
191.0,736.0
521.0,861.0
378.0,778.0
323.0,819.0
198.0,731.0
140.0,800.0
301.0,106.0
246.0,698.0
102.0,573.0
233.0,975.0
582.0,1074.0
297.0,696.0
32.0,370.0
121.0,392.0
364.0,644.0
538.0,780.0
73.0,0.0
538.0,533.0
73.0,366.0
16.0,234.0
230.0,206.0
112.0,164.0
727.0,213.0
25.0,268.0
183.0,0.0
310.0,787.0
57.0,79.0
77.0,78.0
