required_ms,applied_ms
0.0,316.0
0.0,288.0
0.0,31.0
0.0,619.0
0.0,1258.0
0.0,24.0
0.0,33.0
0.0,199.0
0.0,259.0
0.0,238.0
0.0,209.0
0.0,301.0
0.0,289.0
0.0,286.0
0.0,385.0
0.0,853.0
0.0,322.0
0.0,128.0
0.0,150.0
0.0,540.0
0.0,86.0
0.0,118.0
0.0,86.0
0.0,144.0
0.0,244.0
0.0,242.0
0.0,390.0
0.0,404.0
0.0,330.0
0.0,351.0
0.0,165.0
0.0,389.0
0.0,231.0
0.0,285.0
0.0,412.0
0.0,477.0
0.0,69.0
0.0,152.0
0.0,242.0
0.0,287.0
0.0,802.0
0.0,101.0
0.0,516.0
0.0,426.0
0.0,132.0
0.0,433.0
0.0,743.0
0.0,119.0
0.0,184.0
0.0,178.0
0.0,343.0
0.0,301.0
0.0,199.0
0.0,139.0
0.0,185.0
0.0,213.0
0.0,1.0
0.0,531.0
0.0,494.0
0.0,595.0
0.0,844.0
0.0,440.0
0.0,339.0
0.0,154.0
0.0,312.0
0.0,723.0
0.0,845.0
0.0,812.0
0.0,306.0
0.0,2.0
0.0,174.0
0.0,443.0
0.0,495.0
0.0,402.0
0.0,267.0
0.0,170.0
0.0,136.0
0.0,258.0
0.0,357.0
0.0,302.0
0.0,250.0
0.0,287.0
0.0,389.0
0.0,396.0
0.0,434.0
0.0,416.0
0.0,257.0
0.0,207.0
0.0,173.0
0.0,934.0
0.0,204.0
0.0,280.0
0.0,236.0
0.0,134.0
0.0,63.0
0.0,116.0
0.0,182.0
0.0,436.0
0.0,531.0
0.0,375.0
0.0,397.0
0.0,906.0
0.0,1178.0
0.0,35.0
0.0,134.0
0.0,155.0
0.0,205.0
0.0,250.0
0.0,178.0
0.0,142.0
0.0,144.0
0.0,148.0
0.0,310.0
0.0,361.0
0.0,82.0
0.0,1502.0
0.0,405.0
0.0,14.0
0.0,87.0
0.0,255.0
0.0,307.0
0.0,294.0
0.0,250.0
0.0,226.0
0.0,606.0
0.0,1181.0
0.0,1503.0
0.0,75.0
0.0,227.0
0.0,304.0
0.0,354.0
0.0,213.0
0.0,178.0
0.0,446.0
0.0,418.0
0.0,252.0
0.0,311.0
0.0,725.0
0.0,722.0
0.0,811.0
0.0,52.0
0.0,89.0
0.0,122.0
0.0,201.0
0.0,219.0
0.0,213.0
0.0,147.0
0.0,107.0
0.0,163.0
0.0,817.0
0.0,292.0
0.0,72.0
0.0,213.0
0.0,333.0
0.0,575.0
0.0,466.0
0.0,140.0
0.0,33.0
0.0,186.0
0.0,1652.0
0.0,1064.0
0.0,43.0
0.0,94.0
0.0,167.0
0.0,141.0
0.0,227.0
0.0,269.0
0.0,294.0
0.0,186.0
0.0,144.0
0.0,166.0
0.0,211.0
0.0,273.0
0.0,266.0
0.0,127.0
0.0,101.0
0.0,124.0
0.0,196.0
0.0,272.0
0.0,278.0
0.0,255.0
0.0,238.0
0.0,42.0
0.0,43.0
0.0,92.0
0.0,137.0
0.0,227.0
0.0,235.0
0.0,282.0
0.0,67.0
0.0,250.0
0.0,237.0
0.0,246.0
0.0,495.0
0.0,1204.0
0.0,1198.0
0.0,376.0
0.0,236.0
0.0,676.0
0.0,63.0
0.0,645.0
0.0,738.0
0.0,842.0
0.0,818.0
0.0,32.0
0.0,92.0
0.0,105.0
0.0,116.0
0.0,261.0
0.0,193.0
0.0,136.0
0.0,196.0
0.0,1422.0
0.0,29.0
0.0,238.0
0.0,327.0
0.0,257.0
0.0,132.0
0.0,111.0
0.0,116.0
0.0,107.0
0.0,157.0
0.0,341.0
0.0,461.0
0.0,676.0
0.0,624.0
0.0,1024.0
0.0,1095.0
0.0,219.0
0.0,710.0
0.0,594.0
0.0,309.0
0.0,373.0
0.0,539.0
0.0,30.0
0.0,115.0
0.0,463.0
0.0,231.0
0.0,221.0
0.0,16.0
0.0,499.0
0.0,92.0
0.0,310.0
0.0,66.0
0.0,434.0
0.0,375.0
0.0,719.0
0.0,1313.0
0.0,406.0
0.0,261.0
0.0,6.0
0.0,451.0
0.0,83.0
0.0,254.0
0.0,257.0
0.0,950.0
0.0,904.0
0.0,448.0
0.0,389.0
0.0,13.0
0.0,99.0
0.0,89.0
0.0,193.0
0.0,204.0
0.0,278.0
0.0,295.0
0.0,261.0
0.0,207.0
0.0,276.0
0.0,174.0
0.0,93.0
0.0,105.0
0.0,121.0
0.0,119.0
0.0,183.0
0.0,228.0
0.0,684.0
0.0,306.0
