condition,metric,value,denominator
12mp_normal,flexibleTransitions,26,26
12mp_normal,flexibleTargetDemoted,7,26
12mp_normal,flexibleNextDemoted,21,26
12mp_normal,flexibleTargetOrNextDemoted,21,26
12mp_normal,flexibleMarginMsP5,183.0,26
12mp_normal,flexibleMarginMsMin,134,26
24mp_memory,flexibleTransitions,43,43
24mp_memory,flexibleTargetDemoted,17,43
24mp_memory,flexibleNextDemoted,31,43
24mp_memory,flexibleTargetOrNextDemoted,31,43
24mp_memory,flexibleMarginMsP5,84.1,43
24mp_memory,flexibleMarginMsMin,36,43
24mp_memory,floorMissTransitions,14,14
24mp_memory,floorMissDistinctBursts,4,14
24mp_memory,floorMissDelayZero,11,14
24mp_memory,floorMissTargetDemoted,14,14
24mp_memory,floorMissTargetOrNextDemoted,14,14
24mp_memory,floorMissBacklogUnderestimated,14,14
24mp_memory,floorMissHeadroomRose,12,14
24mp_memory,floorMissWaitMsP50,4781.0,14
24mp_memory,floorMissGapMsP50,170.0,14
24mp_memory,floorMissGapMsMax,656.0,14
24mp_memory,floorMissMarginMsMin,307,14
24mp_memory,floorMissMarginMsP5,317.4,14
24mp_memory,floorMissNextMarginMsMin,276,14
24mp_memory,floorMissActualTimeouts,0,14
24mp_memory,floorMissWatchdogs,0,14
24mp_memory,floorMissDeadlineRefMsP50,845.0,14
24mp_memory,floorMissDeadlineRefMsMax,1323.0,14
24mp_memory,floorMissHorizonReserveMsP50,628.5,14
24mp_memory,floorMissBacklogResidualMsMin,-92.0,14
24mp_memory,floorMissBacklogResidualMsMax,-14.0,14
24mp_memory,floorMissUnmetFloorMsMax,1312.0,14
24mp_memory,floorMissUncountedBudgetMsMin,368.0,14
