avoided_ms,y
4.0,0.0
5.0,0.055
11.0,-0.055
11.0,0.11
24.0,-0.11
26.0,0.165
33.0,-0.165
37.0,0.22
49.0,-0.22
56.0,0.0
57.0,0.055
64.0,-0.055
70.0,0.11
73.0,-0.11
79.0,0.165
82.0,-0.165
97.0,0.22
100.0,-0.22
100.0,0.0
123.0,0.0
124.0,0.055
131.0,-0.055
134.0,0.11
135.0,-0.11
144.0,0.165
153.0,-0.165
173.0,0.22
177.0,-0.22
180.0,0.0
182.0,0.055
183.0,-0.055
186.0,0.11
188.0,-0.11
195.0,0.165
208.0,-0.165
252.0,0.0
280.0,0.0
322.0,0.0
323.0,0.055
342.0,-0.055
454.0,0.0
514.0,0.0
530.0,0.055
