rank,mandatory_ms,realized_ms,applied_ms,category
1,0,1,553,full_covered
2,0,4,532,full_covered
3,0,7,0,admission_flexible
4,0,9,432,full_covered
5,0,13,683,full_covered
6,0,15,141,full_covered
7,0,17,0,admission_flexible
8,0,19,578,full_covered
9,0,21,267,full_covered
10,0,21,403,full_covered
11,0,23,465,full_covered
12,0,27,419,full_covered
13,0,28,874,full_covered
14,0,34,590,full_covered
15,0,46,0,admission_flexible
16,0,50,17,admission_flexible
17,0,51,0,admission_flexible
18,0,51,25,admission_flexible
19,0,54,401,full_covered
20,0,55,0,admission_flexible
21,0,57,0,admission_flexible
22,0,57,347,full_covered
23,0,57,532,full_covered
24,0,59,158,full_covered
25,0,59,545,full_covered
26,0,60,0,admission_flexible
27,0,62,533,full_covered
28,0,63,283,full_covered
29,0,65,351,full_covered
30,0,69,281,full_covered
31,0,71,0,admission_flexible
32,0,72,0,admission_flexible
33,0,74,727,full_covered
34,0,75,582,full_covered
35,0,77,275,full_covered
36,0,78,110,full_covered
37,0,78,302,full_covered
38,0,80,279,full_covered
39,0,81,329,full_covered
40,0,81,462,full_covered
41,0,82,0,admission_flexible
42,0,83,474,full_covered
43,0,83,504,full_covered
44,0,86,149,full_covered
45,0,86,411,full_covered
46,0,91,229,full_covered
47,0,94,0,admission_flexible
48,0,97,0,admission_flexible
49,0,104,73,admission_flexible
50,0,110,367,full_covered
51,0,111,323,full_covered
52,0,113,0,admission_flexible
53,0,118,134,full_covered
54,0,126,709,full_covered
55,0,127,0,admission_flexible
56,0,127,512,full_covered
57,0,131,474,full_covered
58,0,146,153,full_covered
59,0,148,468,full_covered
60,0,152,88,admission_flexible
61,0,159,421,full_covered
62,0,160,453,full_covered
63,0,160,493,full_covered
64,0,164,206,full_covered
65,0,183,758,full_covered
66,0,189,40,admission_flexible
67,0,190,0,admission_flexible
68,0,195,28,admission_flexible
69,0,202,340,full_covered
70,0,205,0,admission_flexible
71,0,209,0,admission_flexible
72,0,210,470,full_covered
73,0,237,584,full_covered
74,0,287,239,admission_flexible
75,0,296,569,full_covered
76,0,351,383,full_covered
77,0,397,484,full_covered
78,0,582,0,admission_flexible
79,0,587,381,admission_flexible
