rank,mandatory_ms,realized_ms,applied_ms,category
1,0,4,0,admission_flexible
2,0,7,296,full_covered
3,0,11,0,admission_flexible
4,0,11,0,admission_flexible
5,0,16,234,full_covered
6,0,25,268,full_covered
7,0,26,0,admission_flexible
8,0,26,685,full_covered
9,0,26,1052,full_covered
10,0,28,573,full_covered
11,30,30,234,full_covered
12,0,32,370,full_covered
13,0,37,0,admission_flexible
14,0,39,685,full_covered
15,0,41,259,full_covered
16,0,41,663,full_covered
17,0,41,1201,full_covered
18,0,43,1097,full_covered
19,0,49,0,admission_flexible
20,0,53,668,full_covered
21,0,56,0,admission_flexible
22,56,56,271,full_covered
23,0,57,0,admission_flexible
24,0,57,79,full_covered
25,0,57,707,full_covered
26,0,58,189,full_covered
27,58,58,0,below_mandatory
28,58,58,1271,full_covered
29,0,64,0,admission_flexible
30,0,65,949,full_covered
31,0,70,0,admission_flexible
32,0,73,0,admission_flexible
33,0,73,366,full_covered
34,0,74,260,full_covered
35,0,77,78,full_covered
36,78,78,0,below_mandatory
37,0,82,0,admission_flexible
38,88,88,0,below_mandatory
39,0,91,703,full_covered
40,0,97,0,admission_flexible
41,0,100,0,admission_flexible
42,0,100,0,admission_flexible
43,0,101,2010,full_covered
44,0,102,573,full_covered
45,0,103,115,full_covered
46,0,112,164,full_covered
47,0,118,720,full_covered
48,0,121,392,full_covered
49,0,123,615,full_covered
50,0,124,0,admission_flexible
51,0,124,188,full_covered
52,0,131,0,admission_flexible
53,0,134,0,admission_flexible
54,0,135,0,admission_flexible
55,0,137,648,full_covered
56,0,140,800,full_covered
57,140,140,423,full_covered
58,140,140,669,full_covered
59,0,143,169,full_covered
60,0,144,0,admission_flexible
61,0,153,0,admission_flexible
62,0,157,408,full_covered
63,0,160,324,full_covered
64,164,164,858,full_covered
65,0,177,0,admission_flexible
66,0,180,0,admission_flexible
67,0,182,0,admission_flexible
68,0,182,889,full_covered
69,0,183,0,admission_flexible
70,0,186,0,admission_flexible
71,0,188,443,full_covered
72,0,191,736,full_covered
73,0,192,806,full_covered
74,0,197,1508,full_covered
75,0,198,731,full_covered
76,0,198,851,full_covered
77,0,204,652,full_covered
78,0,206,917,full_covered
79,207,207,0,below_mandatory
80,0,208,0,admission_flexible
81,0,228,453,full_covered
82,0,229,1343,full_covered
83,0,230,206,admission_flexible
84,0,232,431,full_covered
85,0,233,975,full_covered
86,0,240,427,full_covered
87,0,242,648,full_covered
88,0,246,698,full_covered
89,0,252,0,admission_flexible
90,77,257,318,full_covered
91,270,270,426,full_covered
92,0,274,524,full_covered
93,63,276,88,admission_flexible
94,0,277,1369,full_covered
95,0,280,0,admission_flexible
96,87,293,0,below_mandatory
97,0,297,696,full_covered
98,0,301,106,admission_flexible
99,0,307,515,full_covered
100,0,310,787,full_covered
101,0,323,0,admission_flexible
102,0,323,819,full_covered
103,323,323,0,below_mandatory
104,0,328,1034,full_covered
105,0,342,0,admission_flexible
106,79,342,677,full_covered
107,0,349,27,admission_flexible
108,0,352,553,full_covered
109,136,358,279,admission_flexible
110,0,364,644,full_covered
111,0,375,699,full_covered
112,0,378,778,full_covered
113,0,384,1125,full_covered
114,8,398,275,admission_flexible
115,0,406,833,full_covered
116,0,423,1263,full_covered
117,39,429,0,below_mandatory
118,0,435,1164,full_covered
119,0,437,719,full_covered
120,0,474,2022,full_covered
121,0,478,690,full_covered
122,0,486,453,admission_flexible
123,203,492,319,admission_flexible
124,0,521,861,full_covered
125,522,522,646,full_covered
126,0,530,0,admission_flexible
127,0,538,533,admission_flexible
128,0,538,780,full_covered
129,0,547,1146,full_covered
130,552,552,0,below_mandatory
131,0,576,897,full_covered
132,0,582,1074,full_covered
133,660,660,4,below_mandatory
134,256,719,0,below_mandatory
135,0,727,213,admission_flexible
136,103,746,292,admission_flexible
137,233,752,0,below_mandatory
138,760,760,627,below_mandatory
139,235,920,0,below_mandatory
140,782,1038,764,below_mandatory
