ms,cdf_pct
-1220.6,0.05
-401.8,0.302
-311.8,0.554
-288.3,0.806
-267.7,1.058
-238.6,1.31
-227.6,1.562
-209.6,1.815
-200.4,2.067
-194.7,2.319
-179.5,2.571
-172.3,2.823
-166.6,3.075
-157.3,3.327
-153.6,3.579
-150.2,3.831
-146.7,4.083
-143.8,4.335
-140.9,4.587
-138.3,4.839
-133.1,5.091
-131.0,5.343
-129.7,5.595
-127.5,5.847
-124.0,6.099
-120.2,6.351
-118.9,6.603
-115.6,6.855
-114.9,7.107
-112.4,7.359
-109.8,7.611
-108.6,7.863
-106.9,8.115
-105.9,8.367
-104.4,8.619
-102.3,8.871
-100.3,9.123
-98.2,9.375
-95.9,9.627
-95.4,9.879
-93.4,10.131
-91.9,10.383
-90.2,10.635
-89.5,10.887
-88.5,11.139
-87.7,11.391
-86.1,11.643
-84.9,11.895
-83.8,12.147
-81.4,12.399
-80.3,12.651
-79.4,12.903
-77.5,13.155
-76.6,13.407
-75.4,13.659
-73.8,13.911
-72.9,14.163
-72.1,14.415
-71.7,14.667
-71.1,14.919
-70.2,15.171
-69.5,15.423
-68.9,15.675
-67.7,15.927
-67.3,16.179
-66.5,16.431
-65.7,16.683
-65.1,16.935
-64.9,17.188
-63.4,17.44
-62.5,17.692
-61.6,17.944
-61.2,18.196
-60.6,18.448
-58.6,18.7
-57.5,18.952
-56.6,19.204
-55.5,19.456
-54.7,19.708
-54.3,19.96
-52.4,20.212
-50.9,20.464
-50.3,20.716
-49.1,20.968
-47.7,21.22
-46.4,21.472
-45.8,21.724
-45.0,21.976
-44.0,22.228
-43.5,22.48
-42.2,22.732
-41.5,22.984
-40.3,23.236
-39.5,23.488
-38.7,23.74
-37.7,23.992
-37.4,24.244
-36.8,24.496
-35.9,24.748
-35.5,25.0
-34.6,25.252
-33.9,25.504
-33.4,25.756
-32.8,26.008
-31.9,26.26
-31.4,26.512
-30.9,26.764
-30.2,27.016
-29.3,27.268
-28.9,27.52
-28.4,27.772
-27.4,28.024
-26.5,28.276
-26.2,28.528
-25.7,28.78
-25.3,29.032
-25.1,29.284
-24.8,29.536
-24.0,29.788
-23.1,30.04
-22.6,30.292
-21.8,30.544
-21.5,30.796
-20.7,31.048
-20.4,31.3
-20.1,31.552
