ms,cdf_pct
-1582.0,0.053
-1333.0,0.315
-1111.0,0.578
-756.2,0.84
-607.0,1.103
-542.4,1.366
-505.7,1.628
-474.7,1.891
-404.0,2.153
-390.7,2.416
-375.9,2.679
-361.5,2.941
-344.6,3.204
-336.0,3.466
-323.4,3.729
-319.0,3.992
-312.8,4.254
-306.7,4.517
-297.9,4.779
-292.7,5.042
-288.7,5.305
-275.1,5.567
-268.5,5.83
-264.6,6.092
-257.3,6.355
-250.7,6.618
-246.5,6.88
-242.9,7.143
-238.9,7.405
-234.6,7.668
-232.8,7.931
-229.0,8.193
-225.8,8.456
-223.8,8.718
-214.0,8.981
-208.6,9.244
-198.1,9.506
-197.3,9.769
-195.1,10.032
-191.9,10.294
-188.3,10.557
-184.5,10.819
-180.9,11.082
-178.3,11.345
-175.8,11.607
-174.2,11.87
-171.6,12.132
-170.9,12.395
-168.8,12.658
-167.2,12.92
-164.8,13.183
-163.4,13.445
-161.2,13.708
-160.0,13.971
-158.1,14.233
-154.9,14.496
-152.1,14.758
-151.0,15.021
-148.7,15.284
-147.2,15.546
-144.1,15.809
-143.1,16.071
-141.5,16.334
-139.5,16.597
-136.4,16.859
-134.1,17.122
-133.1,17.384
-132.7,17.647
-130.7,17.91
-129.0,18.172
-126.9,18.435
-126.0,18.697
-123.6,18.96
-120.8,19.223
-119.5,19.485
-117.1,19.748
-115.3,20.011
-113.5,20.273
-112.0,20.536
-110.6,20.798
-109.5,21.061
-107.9,21.324
-106.6,21.586
-105.0,21.849
-102.8,22.111
-101.0,22.374
-98.4,22.637
-96.5,22.899
-92.5,23.162
-91.5,23.424
-89.8,23.687
-87.7,23.95
-86.0,24.212
-84.8,24.475
-83.4,24.737
-81.8,25.0
-79.0,25.263
-77.7,25.525
-76.0,25.788
-74.9,26.05
-72.1,26.313
-70.8,26.576
-69.6,26.838
-68.7,27.101
-67.8,27.363
-67.3,27.626
-65.2,27.889
-64.2,28.151
-61.7,28.414
-60.9,28.676
-59.9,28.939
-59.3,29.202
-58.8,29.464
-58.0,29.727
-57.2,29.989
-55.7,30.252
-55.2,30.515
-53.3,30.777
-51.7,31.04
-51.0,31.303
-50.1,31.565
-48.6,31.828
-47.6,32.09
-47.1,32.353
-46.4,32.616
-45.0,32.878
-44.1,33.141
-43.3,33.403
-42.5,33.666
-40.9,33.929
-39.8,34.191
-38.9,34.454
-38.0,34.716
-36.4,34.979
-35.3,35.242
-34.1,35.504
-33.2,35.767
-31.6,36.029
-31.1,36.292
-30.2,36.555
-29.0,36.817
-27.9,37.08
-26.6,37.342
-25.7,37.605
-24.9,37.868
-24.1,38.13
-23.0,38.393
-22.1,38.655
-21.6,38.918
-21.2,39.181
-19.7,39.443
-18.0,39.706
-16.7,39.968
-15.8,40.231
-15.1,40.494
-13.3,40.756
-12.5,41.019
-11.8,41.282
-11.2,41.544
-10.6,41.807
-8.4,42.069
-7.4,42.332
-5.4,42.595
-4.9,42.857
-4.2,43.12
-3.8,43.382
-3.0,43.645
-2.1,43.908
-0.7,44.17
-0.2,44.433
0.8,44.695
1.6,44.958
2.0,45.221
3.2,45.483
5.3,45.746
5.7,46.008
6.7,46.271
7.6,46.534
9.0,46.796
10.0,47.059
10.6,47.321
11.8,47.584
13.2,47.847
14.0,48.109
14.5,48.372
14.8,48.634
15.3,48.897
16.2,49.16
17.1,49.422
18.5,49.685
18.9,49.947
19.4,50.21
19.6,50.473
21.4,50.735
21.7,50.998
22.4,51.261
22.7,51.523
23.0,51.786
24.1,52.048
24.4,52.311
25.3,52.574
25.9,52.836
27.1,53.099
28.1,53.361
28.9,53.624
30.4,53.887
31.1,54.149
31.3,54.412
31.8,54.674
32.5,54.937
33.8,55.2
34.9,55.462
35.1,55.725
35.7,55.987
36.5,56.25
37.3,56.513
38.0,56.775
38.5,57.038
39.0,57.3
40.1,57.563
40.9,57.826
41.6,58.088
42.1,58.351
43.5,58.613
44.3,58.876
