condition,slot,class,queued_pricing_error_s,backlog_error_s
12mp_normal,1,no_delay_required,0.138,-0.041
12mp_normal,1,no_delay_required,-0.0257,-0.011
12mp_normal,1,no_delay_required,0.0152,0.074
12mp_normal,1,no_delay_required,0.0613,0.008
12mp_normal,1,no_delay_required,0.0055,0.005
12mp_normal,1,no_delay_required,-0.0189,-0.002
12mp_normal,1,no_delay_required,-0.0294,-0.021
12mp_normal,1,no_delay_required,-0.0312,-0.039
12mp_normal,1,no_delay_required,-0.0397,-0.05
12mp_normal,1,no_delay_required,-0.0238,-0.07
12mp_normal,1,no_delay_required,-0.0285,-0.04
12mp_normal,1,no_delay_required,0.0015,-0.002
12mp_normal,1,no_delay_required,0.0187,0.012
12mp_normal,1,no_delay_required,0.0363,0.02
12mp_normal,1,no_delay_required,0.0396,0.009
12mp_normal,1,no_delay_required,0.0154,-0.033
12mp_normal,1,no_delay_required,-0.029,-0.082
12mp_normal,1,no_delay_required,-0.0473,-0.119
12mp_normal,1,no_delay_required,-0.0902,-0.172
12mp_normal,1,no_delay_required,-0.1202,-0.181
12mp_normal,1,no_delay_required,-0.1356,-0.196
12mp_normal,1,no_delay_required,-0.125,-0.161
12mp_normal,1,no_delay_required,-0.1002,-0.153
12mp_normal,1,no_delay_required,-0.059,-0.099
12mp_normal,1,no_delay_required,-0.008,-0.051
12mp_normal,1,no_delay_required,0.028,-0.023
12mp_normal,1,no_delay_required,-0.0127,-0.062
12mp_normal,1,no_delay_required,0.242,-0.035
12mp_normal,1,no_delay_required,0.2207,-0.067
12mp_normal,1,no_delay_required,-0.0517,0.07
12mp_normal,1,no_delay_required,0.0767,0.104
12mp_normal,1,no_delay_required,0.0678,0.081
12mp_normal,1,no_delay_required,0.0972,-0.033
12mp_normal,1,no_delay_required,-0.0412,-0.085
12mp_normal,1,no_delay_required,-0.0787,-0.134
12mp_normal,1,no_delay_required,-0.1082,-0.163
12mp_normal,1,no_delay_required,-0.1401,-0.171
12mp_normal,1,no_delay_required,-0.1285,-0.156
12mp_normal,1,no_delay_required,-0.1724,-0.211
12mp_normal,1,no_delay_required,-0.1638,-0.203
12mp_normal,1,no_delay_required,-0.1431,-0.244
12mp_normal,1,no_delay_required,-0.1589,-0.218
12mp_normal,1,no_delay_required,-0.4058,-0.465
12mp_normal,1,no_delay_required,-0.7085,-0.792
12mp_normal,1,no_delay_required,-0.8984,-0.989
12mp_normal,1,no_delay_required,-1.0939,-1.198
12mp_normal,1,no_delay_required,0.5703,0.523
12mp_normal,1,no_delay_required,0.203,-0.011
12mp_normal,1,no_delay_required,0.222,-0.011
12mp_normal,1,no_delay_required,-0.0481,-0.023
12mp_normal,1,no_delay_required,-0.1235,-0.119
12mp_normal,1,no_delay_required,-0.0889,-0.123
12mp_normal,1,no_delay_required,-0.0705,-0.125
12mp_normal,1,no_delay_required,0.0419,-0.025
12mp_normal,1,no_delay_required,0.1368,0.047
12mp_normal,1,no_delay_required,0.256,0.208
12mp_normal,1,no_delay_required,0.3595,0.29
12mp_normal,1,no_delay_required,0.687,0.655
12mp_normal,1,no_delay_required,1.0463,0.964
12mp_normal,1,no_delay_required,1.3357,1.234
12mp_normal,1,no_delay_required,1.5641,1.423
12mp_normal,1,no_delay_required,1.7749,1.61
12mp_normal,1,no_delay_required,1.2733,0.836
12mp_normal,1,no_delay_required,1.2397,0.776
12mp_normal,1,no_delay_required,0.8388,0.377
12mp_normal,1,no_delay_required,0.4857,0.008
12mp_normal,1,no_delay_required,0.5332,0.041
12mp_normal,1,no_delay_required,0.2834,-0.193
12mp_normal,1,no_delay_required,0.0587,-0.044
12mp_normal,1,no_delay_required,0.164,0.067
12mp_normal,1,no_delay_required,0.239,0.126
12mp_normal,1,no_delay_required,0.3425,0.263
12mp_normal,1,no_delay_required,0.495,0.419
12mp_normal,1,no_delay_required,0.335,-0.19
12mp_normal,1,no_delay_required,0.1232,-0.429
12mp_normal,1,no_delay_required,-0.4316,-0.221
12mp_normal,1,no_delay_required,-0.4302,-0.247
12mp_normal,1,no_delay_required,-0.2448,-0.039
12mp_normal,1,no_delay_required,-0.0873,0.106
12mp_normal,1,no_delay_required,0.281,0.201
12mp_normal,1,no_delay_required,0.3864,0.289
12mp_normal,1,no_delay_required,0.4043,0.312
12mp_normal,1,no_delay_required,0.4944,0.368
12mp_normal,1,no_delay_required,0.7143,0.555
12mp_normal,1,no_delay_required,0.8646,0.714
12mp_normal,1,no_delay_required,1.2062,1.031
12mp_normal,1,no_delay_required,1.4724,1.324
12mp_normal,1,no_delay_required,1.705,1.54
12mp_normal,1,no_delay_required,1.2538,0.849
12mp_normal,1,no_delay_required,0.887,0.475
12mp_normal,1,no_delay_required,0.5111,0.351
12mp_normal,1,no_delay_required,0.4729,-0.007
12mp_normal,1,no_delay_required,0.2068,-0.228
12mp_normal,1,no_delay_required,-0.0474,-0.115
12mp_normal,1,no_delay_required,0.0192,-0.061
12mp_normal,1,no_delay_required,0.1172,0.057
12mp_normal,1,no_delay_required,0.3035,0.261
12mp_normal,1,no_delay_required,0.3874,0.331
12mp_normal,1,no_delay_required,0.398,0.176
12mp_normal,1,no_delay_required,0.5116,0.224
12mp_normal,1,no_delay_required,0.4393,0.323
12mp_normal,1,no_delay_required,0.5639,0.318
12mp_normal,1,no_delay_required,0.7288,0.467
12mp_normal,1,no_delay_required,0.6618,0.608
