ms,cdf_pct
-1062.0,0.052
-235.0,0.312
-133.0,0.573
-112.0,0.833
-82.0,1.094
-54.0,1.354
-46.0,1.615
-34.0,1.875
-28.0,2.135
-24.6,2.396
-19.0,2.656
-15.0,2.917
-10.0,3.177
-3.0,3.438
5.5,3.698
9.0,3.958
11.0,4.219
15.0,4.479
17.0,4.74
23.0,5.0
28.0,5.26
31.7,5.521
41.0,5.781
45.0,6.042
53.0,6.302
56.0,6.562
59.5,6.823
66.0,7.083
69.0,7.344
71.0,7.604
76.0,7.865
77.0,8.125
80.0,8.385
82.0,8.646
86.0,8.906
89.0,9.167
91.0,9.427
92.0,9.688
93.0,9.948
94.7,10.208
95.8,10.469
97.0,10.729
99.0,10.99
100.0,11.25
101.8,11.51
102.1,11.771
105.0,12.031
105.0,12.292
106.0,12.552
109.0,12.812
110.0,13.073
112.0,13.333
113.0,13.594
114.0,13.854
116.0,14.115
117.0,14.375
118.0,14.635
120.0,14.896
121.0,15.156
122.0,15.417
123.1,15.677
125.0,15.938
127.0,16.198
129.0,16.458
130.0,16.719
131.0,16.979
132.0,17.24
133.0,17.5
134.0,17.76
135.0,18.021
136.0,18.281
137.0,18.542
137.0,18.802
138.0,19.062
138.0,19.323
140.0,19.583
142.0,19.844
143.0,20.104
143.9,20.365
144.0,20.625
145.0,20.885
145.0,21.146
146.0,21.406
147.0,21.667
148.0,21.927
150.0,22.188
151.0,22.448
151.0,22.708
152.0,22.969
153.0,23.229
153.7,23.49
155.0,23.75
155.0,24.01
157.0,24.271
157.9,24.531
159.0,24.792
159.0,25.052
159.8,25.312
160.0,25.573
160.0,25.833
161.0,26.094
161.0,26.354
162.0,26.615
163.0,26.875
163.0,27.135
164.0,27.396
165.0,27.656
166.0,27.917
167.0,28.177
167.0,28.438
168.0,28.698
169.0,28.958
169.9,29.219
170.0,29.479
170.3,29.74
172.0,30.0
173.0,30.26
174.0,30.521
175.0,30.781
175.0,31.042
176.0,31.302
177.0,31.562
177.0,31.823
178.0,32.083
178.0,32.344
179.0,32.604
179.0,32.865
180.0,33.125
181.0,33.385
182.0,33.646
183.0,33.906
183.8,34.167
184.0,34.427
185.0,34.688
186.0,34.948
187.0,35.208
188.0,35.469
189.0,35.729
190.0,35.99
191.0,36.25
191.0,36.51
192.0,36.771
192.0,37.031
193.0,37.292
194.0,37.552
195.0,37.812
195.5,38.073
196.0,38.333
197.0,38.594
198.0,38.854
199.0,39.115
200.0,39.375
201.0,39.635
202.0,39.896
202.6,40.156
203.3,40.417
204.2,40.677
205.0,40.938
206.0,41.198
207.0,41.458
207.0,41.719
208.0,41.979
208.0,42.24
208.3,42.5
209.0,42.76
209.3,43.021
211.0,43.281
212.0,43.542
212.0,43.802
213.0,44.062
214.0,44.323
214.9,44.583
215.0,44.844
217.0,45.104
217.0,45.365
218.0,45.625
218.6,45.885
220.0,46.146
220.6,46.406
221.0,46.667
222.2,46.927
223.0,47.188
224.0,47.448
224.6,47.708
225.0,47.969
226.0,48.229
227.0,48.49
228.0,48.75
229.0,49.01
230.0,49.271
230.0,49.531
231.0,49.792
231.5,50.052
232.6,50.312
233.0,50.573
233.9,50.833
234.7,51.094
236.0,51.354
237.0,51.615
238.0,51.875
239.0,52.135
240.0,52.396
240.1,52.656
241.0,52.917
241.9,53.177
242.0,53.438
243.0,53.698
244.0,53.958
245.0,54.219
246.0,54.479
246.1,54.74
247.5,55.0
248.6,55.26
250.0,55.521
252.0,55.781
253.0,56.042
254.0,56.302
255.0,56.562
257.0,56.823
258.0,57.083
259.0,57.344
260.0,57.604
262.0,57.865
263.0,58.125
266.0,58.385
267.0,58.646
270.8,58.906
272.6,59.167
274.2,59.427
277.0,59.688
278.6,59.948
279.0,60.208
281.0,60.469
282.3,60.729
284.5,60.99
286.1,61.25
289.0,61.51
291.0,61.771
292.5,62.031
293.6,62.292
294.9,62.552
296.0,62.812
297.0,63.073
298.7,63.333
299.7,63.594
300.7,63.854
302.0,64.115
304.0,64.375
305.0,64.635
306.6,64.896
308.0,65.156
309.0,65.417
311.0,65.677
313.0,65.938
314.0,66.198
316.0,66.458
317.2,66.719
319.0,66.979
320.9,67.24
322.4,67.5
324.0,67.76
326.0,68.021
326.8,68.281
327.5,68.542
329.0,68.802
330.0,69.062
334.5,69.323
337.0,69.583
342.0,69.844
346.8,70.104
348.7,70.365
352.2,70.625
356.0,70.885
363.1,71.146
365.5,71.406
367.0,71.667
368.9,71.927
372.0,72.188
375.0,72.448
378.0,72.708
381.6,72.969
383.5,73.229
385.0,73.49
387.0,73.75
389.4,74.01
391.0,74.271
394.0,74.531
395.9,74.792
397.0,75.052
397.6,75.312
400.0,75.573
401.9,75.833
404.4,76.094
407.0,76.354
408.5,76.615
411.5,76.875
414.0,77.135
415.7,77.396
417.4,77.656
420.6,77.917
424.7,78.177
428.0,78.438
429.3,78.698
431.5,78.958
432.9,79.219
436.0,79.479
442.7,79.74
445.8,80.0
448.3,80.26
451.3,80.521
454.0,80.781
456.6,81.042
458.9,81.302
462.4,81.562
465.0,81.823
470.8,82.083
475.7,82.344
479.0,82.604
483.7,82.865
486.0,83.125
487.7,83.385
492.1,83.646
494.8,83.906
499.6,84.167
501.5,84.427
503.8,84.688
508.0,84.948
510.0,85.208
512.9,85.469
515.0,85.729
518.0,85.99
520.8,86.25
523.7,86.51
527.0,86.771
530.0,87.031
533.0,87.292
538.9,87.552
547.0,87.812
550.0,88.073
554.0,88.333
557.7,88.594
561.0,88.854
567.9,89.115
570.4,89.375
575.0,89.635
578.0,89.896
581.0,90.156
590.6,90.417
594.7,90.677
604.0,90.938
614.0,91.198
632.1,91.458
647.0,91.719
670.0,91.979
687.0,92.24
703.0,92.5
717.0,92.76
729.0,93.021
737.0,93.281
746.0,93.542
752.0,93.802
760.0,94.062
774.0,94.323
792.0,94.583
805.0,94.844
824.0,95.104
847.0,95.365
865.0,95.625
878.0,95.885
893.0,96.146
938.0,96.406
959.3,96.667
967.0,96.927
972.0,97.188
980.1,97.448
997.0,97.708
1011.0,97.969
1026.2,98.229
1038.0,98.49
1048.0,98.75
1083.0,99.01
1134.0,99.271
1157.0,99.531
1216.0,99.792
1565.0,100.0
