ms,cdf_pct
-1582.0,0.054
-1333.0,0.322
-1086.0,0.591
-564.0,0.86
-432.0,1.128
-404.0,1.397
-344.6,1.666
-309.0,1.934
-289.7,2.203
-268.0,2.472
-219.0,2.74
-208.0,3.009
-195.0,3.278
-185.0,3.546
-165.0,3.815
-156.0,4.084
-151.3,4.352
-140.7,4.621
-130.0,4.89
-127.0,5.159
-123.0,5.427
-116.0,5.696
-113.5,5.965
-108.0,6.233
-103.0,6.502
-96.0,6.771
-87.6,7.039
-85.0,7.308
-84.0,7.577
-82.0,7.845
-79.0,8.114
-74.8,8.383
-73.0,8.651
-68.5,8.92
-65.0,9.189
-59.0,9.457
-58.0,9.726
-57.0,9.995
-55.0,10.263
-51.0,10.532
-47.8,10.801
-45.0,11.069
-43.0,11.338
-42.0,11.607
-37.0,11.875
-35.0,12.144
-33.2,12.413
-32.0,12.681
-29.0,12.95
-26.5,13.219
-25.0,13.487
-23.0,13.756
-21.8,14.025
-19.0,14.293
-18.0,14.562
-17.0,14.831
-12.0,15.099
-9.0,15.368
-8.0,15.637
-6.7,15.905
-4.0,16.174
-4.0,16.443
-2.0,16.711
-1.0,16.98
2.0,17.249
4.0,17.517
5.0,17.786
8.0,18.055
10.0,18.323
12.0,18.592
13.0,18.861
16.0,19.13
18.0,19.398
22.0,19.667
26.0,19.936
27.0,20.204
27.2,20.473
30.0,20.742
30.0,21.01
32.0,21.279
32.0,21.548
35.0,21.816
37.0,22.085
37.0,22.354
38.0,22.622
40.0,22.891
42.0,23.16
43.0,23.428
44.4,23.697
46.3,23.966
48.0,24.234
49.0,24.503
50.3,24.772
53.0,25.04
54.0,25.309
55.0,25.578
57.0,25.846
58.0,26.115
59.3,26.384
62.0,26.652
64.0,26.921
67.0,27.19
69.0,27.458
70.0,27.727
72.4,27.996
74.0,28.264
75.0,28.533
77.0,28.802
79.0,29.07
81.0,29.339
84.0,29.608
85.0,29.876
88.0,30.145
90.0,30.414
91.4,30.682
93.0,30.951
95.0,31.22
96.0,31.488
98.0,31.757
99.1,32.026
100.6,32.294
101.4,32.563
102.0,32.832
104.0,33.1
105.0,33.369
107.0,33.638
108.0,33.907
109.0,34.175
111.0,34.444
113.0,34.713
116.5,34.981
118.0,35.25
120.0,35.519
122.0,35.787
123.0,36.056
127.0,36.325
127.4,36.593
128.0,36.862
130.0,37.131
132.0,37.399
134.0,37.668
137.0,37.937
139.0,38.205
141.0,38.474
143.0,38.743
147.0,39.011
148.6,39.28
150.0,39.549
152.0,39.817
155.0,40.086
157.0,40.355
158.0,40.623
159.0,40.892
164.0,41.161
165.0,41.429
168.0,41.698
170.1,41.967
172.0,42.235
178.0,42.504
182.6,42.773
186.0,43.041
189.4,43.31
193.5,43.579
197.0,43.847
199.0,44.116
204.0,44.385
204.4,44.653
208.0,44.922
209.0,45.191
210.5,45.459
216.0,45.728
219.0,45.997
222.0,46.265
223.5,46.534
226.0,46.803
228.5,47.071
231.2,47.34
234.8,47.609
235.8,47.877
239.0,48.146
239.7,48.415
241.0,48.684
245.0,48.952
246.0,49.221
249.0,49.49
251.0,49.758
253.4,50.027
257.0,50.296
260.0,50.564
266.2,50.833
269.0,51.102
272.0,51.37
273.0,51.639
274.4,51.908
275.7,52.176
279.0,52.445
282.0,52.714
286.0,52.982
290.3,53.251
295.0,53.52
302.0,53.788
306.0,54.057
307.2,54.326
309.0,54.594
313.0,54.863
315.0,55.132
316.5,55.4
319.1,55.669
322.0,55.938
324.2,56.206
327.0,56.475
329.0,56.744
330.0,57.012
334.0,57.281
339.7,57.55
341.9,57.818
344.7,58.087
346.0,58.356
348.0,58.624
350.2,58.893
352.2,59.162
355.9,59.43
358.0,59.699
362.9,59.968
366.0,60.236
370.0,60.505
372.0,60.774
375.0,61.042
378.5,61.311
385.7,61.58
387.3,61.848
390.8,62.117
392.0,62.386
395.5,62.654
397.4,62.923
399.0,63.192
401.2,63.461
404.0,63.729
411.0,63.998
415.0,64.267
421.4,64.535
423.8,64.804
425.1,65.073
427.0,65.341
428.8,65.61
430.5,65.879
432.6,66.147
435.0,66.416
438.0,66.685
439.9,66.953
442.0,67.222
445.1,67.491
447.8,67.759
450.1,68.028
454.6,68.297
456.7,68.565
459.7,68.834
466.1,69.103
467.8,69.371
470.9,69.64
473.8,69.909
475.7,70.177
481.4,70.446
486.8,70.715
490.8,70.983
496.8,71.252
503.0,71.521
507.0,71.789
512.0,72.058
516.0,72.327
523.0,72.595
530.0,72.864
534.0,73.133
535.7,73.401
538.0,73.67
542.9,73.939
545.6,74.207
548.0,74.476
552.1,74.745
556.0,75.013
560.0,75.282
563.0,75.551
566.0,75.819
571.0,76.088
576.0,76.357
580.0,76.625
585.0,76.894
587.4,77.163
590.6,77.431
595.0,77.7
598.6,77.969
602.0,78.238
603.5,78.506
607.0,78.775
613.0,79.044
616.8,79.312
623.0,79.581
629.5,79.85
638.4,80.118
642.0,80.387
643.7,80.656
646.0,80.924
648.4,81.193
650.0,81.462
653.0,81.73
656.0,81.999
658.0,82.268
658.8,82.536
660.3,82.805
662.0,83.074
668.0,83.342
672.0,83.611
676.5,83.88
679.0,84.148
684.0,84.417
689.0,84.686
695.0,84.954
701.0,85.223
704.8,85.492
708.7,85.76
710.9,86.029
713.6,86.298
720.6,86.566
727.0,86.835
730.0,87.104
733.0,87.372
741.0,87.641
744.0,87.91
750.0,88.178
761.5,88.447
768.5,88.716
771.4,88.984
779.0,89.253
787.8,89.522
797.9,89.79
806.4,90.059
811.2,90.328
824.0,90.596
835.0,90.865
840.0,91.134
848.0,91.402
860.6,91.671
873.1,91.94
883.3,92.208
893.9,92.477
901.6,92.746
920.8,93.015
932.0,93.283
950.0,93.552
970.1,93.821
984.0,94.089
998.0,94.358
1008.9,94.627
1019.0,94.895
1029.0,95.164
1046.0,95.433
1056.2,95.701
1062.7,95.97
1075.0,96.239
