queued_pricing_error_s,backlog_error_s
-0.5615,-0.67
-0.3952,-0.518
0.065,-0.012
0.5017,0.362
0.3326,0.22
0.3469,0.229
0.2307,0.083
-0.0821,-0.229
-0.3019,-0.458
0.2176,0.045
-0.0224,0.0
-0.123,-0.45
-0.2476,-0.178
0.3862,0.227
0.8466,0.673
-0.4289,-0.302
-0.1159,-0.003
0.4719,0.534
0.8303,0.809
0.3483,-0.08
-0.0227,-0.066
0.6448,0.5
-0.0167,-0.031
-0.1637,-0.209
0.0102,-0.061
0.0174,-0.06
-0.0382,-0.004
0.6737,0.654
0.3267,0.189
0.3321,0.249
-0.8226,-0.851
-0.3302,-0.304
0.2735,0.326
0.4179,0.279
0.1168,-0.095
0.053,0.104
0.6199,0.598
0.009,-0.21
0.3238,0.008
0.025,-0.001
-0.1033,-0.282
-0.0535,0.004
-0.219,-0.062
0.2375,-0.288
0.3758,0.065
0.5047,0.367
-0.1992,-0.256
0.23,0.194
-0.4613,-0.5
-0.1189,-0.167
0.1928,0.142
-0.5627,-0.613
-0.1779,-0.223
