queued_pricing_error_s,backlog_error_s
0.138,-0.041
-0.0257,-0.011
0.0152,0.074
0.0613,0.008
0.0055,0.005
-0.0189,-0.002
-0.0294,-0.021
-0.0312,-0.039
-0.0397,-0.05
-0.0238,-0.07
-0.0285,-0.04
0.0015,-0.002
0.0187,0.012
0.0363,0.02
0.0396,0.009
0.0154,-0.033
-0.029,-0.082
-0.0473,-0.119
-0.0902,-0.172
-0.1202,-0.181
-0.1356,-0.196
-0.125,-0.161
-0.1002,-0.153
-0.059,-0.099
-0.008,-0.051
0.028,-0.023
-0.0127,-0.062
0.242,-0.035
0.2207,-0.067
-0.0517,0.07
0.0767,0.104
0.0678,0.081
0.0972,-0.033
-0.0412,-0.085
-0.0787,-0.134
-0.1082,-0.163
-0.1401,-0.171
-0.1285,-0.156
-0.1724,-0.211
-0.1638,-0.203
-0.1431,-0.244
-0.1589,-0.218
-0.4058,-0.465
-0.7085,-0.792
-0.8984,-0.989
-1.0939,-1.198
0.5703,0.523
0.203,-0.011
0.222,-0.011
-0.0481,-0.023
-0.1235,-0.119
-0.0889,-0.123
-0.0705,-0.125
0.0419,-0.025
0.1368,0.047
0.256,0.208
0.3595,0.29
0.687,0.655
1.0463,0.964
1.3357,1.234
1.5641,1.423
1.7749,1.61
1.2733,0.836
1.2397,0.776
0.8388,0.377
0.4857,0.008
0.5332,0.041
0.2834,-0.193
0.0587,-0.044
0.164,0.067
0.239,0.126
0.3425,0.263
0.495,0.419
0.335,-0.19
0.1232,-0.429
-0.4316,-0.221
-0.4302,-0.247
-0.2448,-0.039
-0.0873,0.106
0.281,0.201
0.3864,0.289
0.4043,0.312
0.4944,0.368
0.7143,0.555
0.8646,0.714
1.2062,1.031
1.4724,1.324
1.705,1.54
1.2538,0.849
0.887,0.475
0.5111,0.351
0.4729,-0.007
0.2068,-0.228
-0.0474,-0.115
0.0192,-0.061
0.1172,0.057
0.3035,0.261
0.3874,0.331
0.398,0.176
0.5116,0.224
0.4393,0.323
0.5639,0.318
0.7288,0.467
0.6618,0.608
0.5045,0.397
0.2254,0.04
0.3042,0.102
0.2361,0.067
0.3636,0.248
-0.1595,-0.293
0.0348,-0.094
0.2284,0.11
0.4347,0.289
0.859,0.719
0.993,0.559
0.9538,0.49
0.7127,0.288
0.5482,0.132
-0.026,-0.216
-0.1357,-0.354
-0.3404,-0.582
-0.5091,-0.149
-0.3212,0.0
0.0804,0.099
0.6742,0.77
1.3566,1.016
1.632,1.338
1.8173,1.825
1.4512,0.918
0.9246,0.361
0.8448,0.251
0.2817,-0.338
-0.3009,-0.411
-0.2658,-0.369
-0.3212,-0.379
-0.3025,-0.409
-0.2071,-0.322
-0.2298,-0.404
-0.0884,-0.247
0.1661,0.04
0.3019,0.147
0.4859,0.37
0.5988,0.506
0.406,0.172
0.5224,0.258
0.4258,0.31
0.5067,0.354
0.8453,0.675
1.3011,1.127
1.7418,1.603
1.5758,1.05
1.0699,0.486
0.5219,-0.087
-0.1447,-0.244
-0.1453,-0.281
-0.2002,-0.331
-0.2244,-0.331
-0.1127,-0.175
-0.1991,-0.295
-0.2278,-0.347
-0.165,-0.263
-0.0539,-0.164
0.0551,-0.084
0.1503,-0.021
0.35,0.207
0.5203,0.399
0.6775,0.534
0.8302,0.673
0.845,0.239
0.7698,0.145
0.2286,-0.125
0.3196,-0.056
0.5386,0.573
1.2779,1.067
1.5309,1.334
1.3133,0.79
0.6438,0.098
0.2489,-0.275
0.1991,-0.34
-0.225,-0.318
-0.1304,-0.162
-0.0616,-0.12
-0.0939,-0.179
-0.1214,-0.225
-0.1074,-0.268
-0.1012,-0.292
-0.2006,-0.423
-0.3162,-0.572
-0.2633,-0.487
-0.0822,-0.244
-0.0378,-0.159
0.1181,0.034
0.2894,0.224
0.5077,0.443
0.518,0.576
0.8346,0.851
0.9582,0.543
0.6447,0.187
0.7934,0.35
1.2562,0.792
1.3685,1.327
1.8013,1.752
1.3282,0.809
0.7951,0.217
0.3603,-0.219
-0.2242,-0.278
-0.2323,-0.269
-0.241,-0.303
-0.3354,-0.412
-0.239,-0.309
-0.1554,-0.235
-0.2622,-0.388
-0.2623,-0.405
-0.1329,-0.269
-0.0538,-0.242
0.0363,-0.119
0.1355,-0.006
0.3345,0.236
0.4351,0.345
0.5075,0.398
0.429,0.068
0.4445,0.063
0.4311,0.028
0.2154,0.266
0.6611,0.675
1.4434,1.417
1.9454,1.805
2.2503,1.654
1.6757,0.852
0.9475,0.173
-0.1058,-0.121
-0.1317,-0.152
-0.1166,-0.133
-0.0574,-0.083
0.0427,0.022
0.029,-0.003
0.0586,0.059
0.0217,0.014
0.0235,0.026
0.074,0.074
0.066,0.062
0.934,0.332
0.8313,0.213
0.2737,-0.221
-0.1874,-0.232
0.2739,0.196
0.8187,0.842
1.4368,1.343
1.3383,0.839
0.8405,0.262
0.2966,-0.254
-0.1637,-0.28
-0.1734,-0.318
-0.1649,-0.344
-0.148,-0.261
-0.1434,-0.242
-0.1829,-0.344
-0.1591,-0.283
-0.2393,-0.393
-0.1657,-0.298
-0.0796,-0.168
0.0512,-0.029
0.1477,0.047
0.3227,0.207
0.5028,0.416
0.765,0.34
0.6912,0.245
0.3565,-0.094
0.0416,-0.019
0.5947,0.508
1.2355,1.18
1.6318,1.526
1.007,0.396
0.9633,0.33
0.449,-0.107
-0.1526,-0.185
-0.1735,-0.222
-0.2407,-0.314
-0.2994,-0.391
-0.2199,-0.298
-0.35,-0.466
-0.3652,-0.467
-0.2627,-0.35
-0.151,-0.24
-0.0414,-0.181
0.0921,-0.031
0.3627,0.268
0.5467,0.449
0.6755,0.571
0.536,0.189
0.4736,0.105
0.5032,0.107
0.2437,0.042
0.6647,0.578
1.2242,1.167
1.5773,1.504
1.3636,0.818
0.8124,0.225
0.3304,-0.222
0.3018,-0.283
-0.2398,-0.334
-0.2579,-0.32
-0.1192,-0.173
-0.0663,-0.179
-0.0601,-0.161
-0.0612,-0.175
0.0357,-0.09
0.0222,-0.14
0.0953,-0.09
0.1923,0.001
0.2947,0.125
0.4635,0.337
0.5675,0.438
0.7057,0.573
1.615,0.945
0.8592,0.239
0.3281,-0.269
-0.1949,-0.179
0.0387,0.012
0.52,0.496
1.0401,0.975
1.4253,1.357
1.3907,0.775
0.8355,0.209
0.3115,-0.26
-0.2327,-0.301
-0.2636,-0.37
-0.2353,-0.314
-0.1731,-0.244
-0.1731,-0.285
-0.1386,-0.233
-0.1026,-0.21
0.0139,-0.117
0.1075,-0.012
0.1979,0.06
0.3043,0.183
0.628,0.102
0.429,-0.131
0.0149,-0.341
0.3118,0.382
1.0682,1.178
1.7865,1.626
1.0082,0.425
0.37,-0.208
0.3326,-0.268
-0.3398,-0.384
-0.2668,-0.347
-0.2852,-0.359
-0.4505,-0.554
-0.3502,-0.407
-0.2928,-0.362
-0.2489,-0.397
-0.3208,-0.45
-0.1074,-0.245
0.0314,-0.19
0.1299,-0.034
0.2573,0.078
0.3771,0.23
0.5514,0.473
0.222,-0.121
-0.1561,0.127
0.1204,-0.022
-0.0422,-0.025
-0.0471,-0.038
-0.0158,-0.019
-0.1298,-0.132
-0.1545,-0.164
-0.1713,-0.189
-0.0552,-0.042
0.0037,0.016
0.0265,0.03
0.0412,0.043
0.0656,0.038
0.0512,0.018
0.0529,0.008
-0.1203,-0.161
-0.1874,-0.242
-0.2704,-0.325
-0.2833,-0.352
-0.2838,-0.324
-0.2087,-0.255
-0.0093,-0.045
0.0506,0.007
0.1848,0.159
0.1617,0.144
0.476,0.09
0.1096,-0.121
-0.0882,0.048
0.0602,0.033
0.0723,0.029
0.0412,-0.013
-0.0025,-0.027
-0.0009,-0.029
-0.0107,-0.052
-0.0047,-0.044
-0.0006,-0.041
-0.0394,-0.077
-0.0486,-0.097
-0.0559,-0.101
-0.0857,-0.135
-0.1006,-0.16
-0.1837,-0.244
-0.2353,-0.285
-0.2154,-0.259
-0.1996,-0.252
-0.1636,-0.219
-0.1169,-0.171
-0.1384,-0.203
-0.248,-0.312
-0.3024,-0.359
-0.3981,-0.466
0.267,-0.02
-0.0711,0.02
-0.0077,0.074
0.0697,0.081
0.0293,-0.022
-0.0125,-0.075
-0.0067,-0.071
-0.0594,-0.059
-0.0393,-0.057
-0.0944,-0.111
-0.1004,-0.132
-0.0878,-0.132
-0.0505,-0.11
-0.0256,-0.09
0.0165,-0.06
0.1587,0.084
0.1638,0.071
0.0748,-0.006
0.1064,0.031
0.1577,0.071
0.1784,0.086
0.2003,0.098
0.257,0.147
0.3099,0.188
0.3717,0.255
0.4442,0.316
0.4506,0.331
0.253,0.041
0.0223,0.052
0.0587,0.065
-0.1387,-0.095
-0.4064,-0.384
-0.7145,-0.803
-0.767,-0.807
-0.9079,-0.984
-1.0038,-1.095
-0.833,-0.783
-0.7972,-0.778
-0.5327,-0.414
0.2407,0.278
0.6743,0.695
1.0271,0.945
1.3094,1.182
1.5725,1.447
1.7939,1.654
1.4312,1.002
1.4843,1.041
1.2377,0.831
1.0263,0.628
0.7848,0.385
0.5922,0.206
0.427,0.101
0.4088,0.044
0.2085,-0.066
0.2933,-0.01
0.2102,0.242
0.3118,0.322
0.4406,0.37
0.4579,0.341
0.2587,0.043
0.527,0.318
0.6939,0.547
1.015,0.843
1.231,1.068
1.4905,1.355
1.4443,0.986
1.06,0.607
1.0193,0.548
0.6556,0.189
0.3797,-0.071
0.0644,-0.39
0.0809,-0.392
-0.1517,-0.235
0.0507,-0.023
0.1886,0.121
0.3252,0.261
1.341,0.764
1.322,0.72
0.9761,0.448
-0.3465,-0.908
-0.2698,-0.339
0.3162,0.231
0.8886,0.739
1.3959,1.26
1.9028,1.74
2.7528,2.087
1.6463,1.01
1.0383,0.398
0.4783,-0.153
-0.0924,-0.152
-0.1578,-0.219
-0.0382,-0.071
-0.0336,-0.072
0.0141,-0.025
0.0096,-0.056
0.0493,-0.012
0.0537,-0.01
0.0043,-0.01
-0.0154,-0.018
0.0177,0.021
0.493,0.249
0.6172,0.359
0.5694,0.361
0.7714,0.541
0.7264,0.629
0.8936,0.772
0.6321,0.356
0.5908,0.351
0.9084,0.653
0.9478,0.712
1.149,0.984
1.4528,1.346
1.361,0.932
0.9712,0.54
0.694,0.268
0.6936,0.244
0.3709,-0.105
0.0012,-0.467
-0.3284,-0.442
-0.2552,-0.389
-0.1159,-0.214
0.0381,-0.061
0.1409,0.031
0.2142,0.09
0.3349,0.215
0.23,0.001
0.217,-0.029
0.004,0.001
-0.1277,-0.135
-0.4395,-0.463
-0.7873,-0.824
-0.9281,-0.942
-1.1833,-1.213
-1.1637,-1.116
-1.2823,-1.255
-1.082,-0.979
-1.1745,-1.083
-0.9739,-0.857
1.1064,1.083
1.3921,1.305
1.3925,0.954
1.0998,0.671
0.9349,0.554
0.7311,0.353
0.7813,0.391
0.6418,0.267
0.4731,0.118
0.394,0.196
0.5297,0.308
0.5285,0.319
0.479,0.256
0.1476,0.021
0.0707,-0.078
0.282,0.112
0.4066,0.178
0.6537,0.447
0.9534,0.854
1.2933,1.224
0.9595,0.564
0.9414,0.52
0.7176,0.291
0.4978,0.04
0.1194,-0.331
-0.198,-0.301
-0.2687,-0.396
-0.2822,-0.419
-0.2948,-0.454
-0.2289,-0.426
-0.0713,-0.207
0.0259,-0.07
0.1615,0.058
0.2565,0.089
0.802,1.019
1.279,0.882
0.925,0.526
0.5742,0.154
0.1419,-0.01
0.5483,0.36
0.9866,0.771
1.2627,1.112
1.0647,0.569
0.9852,0.464
0.4503,-0.066
0.0589,-0.201
0.0038,-0.569
-0.3172,-0.388
-0.1869,-0.255
-0.1496,-0.246
-0.0178,-0.104
0.0421,-0.035
0.0927,-0.02
0.367,0.237
0.5774,0.408
0.8837,0.711
1.2248,1.069
1.5982,1.411
1.9691,1.811
1.8281,1.719
0.77,0.237
0.7208,0.16
0.4095,0.189
0.0008,0.017
0.8022,0.813
1.6382,1.461
2.2937,2.209
1.433,0.676
0.6284,-0.136
-0.066,-0.056
-0.0946,-0.078
-0.0389,-0.034
0.03,0.032
0.0557,0.047
0.0075,-0.01
-0.1519,-0.255
0.0201,0.031
0.0701,0.057
-0.0663,-0.065
-0.024,-0.021
-0.0945,-0.09
0.343,0.605
0.613,0.23
0.2502,0.19
0.2724,-0.132
0.2434,-0.19
0.0136,-0.072
0.7893,0.64
1.5768,1.431
2.2292,2.061
1.3959,0.613
0.676,-0.089
-0.1003,-0.125
-0.1043,-0.125
-0.1076,-0.12
-0.1308,-0.154
-0.0729,-0.103
0.0495,0.023
-0.0143,-0.049
-0.0606,-0.143
-0.0266,-0.013
0.0505,0.052
-0.0859,-0.019
-0.1321,-0.001
-0.0084,-0.007
0.132,0.369
0.463,0.122
0.4946,0.116
0.4002,0.277
0.4743,0.557
1.0172,0.71
1.2075,0.872
1.6047,1.241
1.7913,1.587
1.1952,0.716
0.7646,0.269
0.6941,0.174
0.3623,-0.248
-0.2085,-0.284
-0.18,-0.279
-0.1752,-0.342
-0.1848,-0.313
-0.2442,-0.385
-0.1147,-0.237
-0.1096,-0.253
-0.1166,-0.235
-0.1063,-0.243
0.0913,-0.075
0.2393,0.098
0.358,0.19
0.451,0.268
0.17,-0.036
-0.0351,0.069
0.0906,0.147
0.1783,0.149
0.1636,0.097
0.1268,0.058
0.052,-0.007
0.0375,-0.034
-0.0478,-0.098
-0.0633,-0.09
-0.0599,-0.073
-0.0919,-0.116
-0.0645,-0.076
-0.0466,-0.053
-0.041,-0.067
-0.0275,-0.045
0.0004,-0.016
0.0054,-0.035
0.0059,-0.045
-0.0051,-0.062
0.065,0.012
0.1341,0.086
0.2101,0.157
0.3074,0.263
0.3942,0.36
0.4829,0.443
0.5527,0.506
0.245,0.018
0.0054,0.03
0.0065,0.0
0.0431,0.021
0.0513,0.044
0.0356,0.012
0.0067,-0.02
-0.0509,-0.056
-1.2105,-1.224
-1.1868,-1.193
-1.1753,-1.191
-1.1789,-1.201
-1.1865,-1.216
-1.1811,-1.227
-0.0071,-1.221
0.0143,0.071
0.0098,0.05
0.1408,0.173
0.2261,0.245
0.2943,0.299
0.3329,0.338
0.3555,0.224
0.44,0.329
0.4387,0.322
0.4289,0.332
0.5286,0.423
-0.5673,-0.654
0.213,-0.004
-0.012,0.039
0.0283,0.019
0.0579,0.038
0.0593,0.049
0.0607,0.035
0.0207,-0.016
-0.0284,-0.054
-0.0481,-0.088
-0.0824,-0.093
-0.0604,-0.065
-0.0337,-0.04
-0.053,-0.069
0.0104,-0.019
