queued_pricing_error_s,backlog_error_s
0.0611,0.053
-0.3014,0.189
-0.2561,-0.385
1.0841,0.808
0.083,-0.071
-0.5587,-0.736
0.2479,0.124
0.084,-0.024
-2.113,-0.123
-0.004,0.867
0.3827,-0.374
-0.537,-0.323
-0.9047,-1.018
-0.6198,-0.523
-0.1603,-0.032
0.2924,0.297
0.0959,-0.065
0.2212,0.147
0.083,0.0
-0.0701,-0.205
-0.2179,-0.323
-0.1478,-0.213
-0.2176,-0.243
-0.1222,-0.166
-0.3552,-0.443
-0.2851,-0.345
-0.2856,-0.379
-0.017,-0.048
-0.8919,-0.44
-0.2196,0.172
0.7522,0.699
-0.2219,-0.128
-0.355,0.936
0.8725,0.412
0.3589,-0.12
-0.0407,-0.208
0.0457,-0.002
0.0414,0.013
-0.1279,-0.169
-0.22,-0.325
-0.0509,-0.094
0.3319,0.288
-1.054,0.093
0.3131,0.27
0.3302,0.157
-0.0962,-0.261
-0.5821,-0.724
-0.3519,-0.491
0.5208,0.389
0.7302,0.541
-0.0662,-0.377
-1.426,-0.326
0.2439,1.797
1.1183,0.64
0.2638,0.222
0.1113,0.027
-0.0167,-0.115
0.0489,-0.087
0.1529,0.094
-0.0079,-0.151
-0.2704,-0.494
-0.2501,-0.325
0.334,-0.121
-0.0939,0.161
0.4234,0.282
0.429,0.38
0.3568,0.238
0.0215,-0.227
-0.8152,-0.774
-0.0595,-0.007
-0.2769,-0.238
0.2583,0.241
0.2333,0.308
0.11,0.058
-0.2102,-0.443
-1.0557,-1.065
0.6149,0.727
-0.4393,-0.468
-0.3225,-0.403
-0.1818,-0.068
