queued_pricing_error_s,backlog_error_s
-0.526,-0.625
-0.5973,-0.793
-0.849,-0.748
-0.4444,-1.033
-3.919,-1.814
-3.186,-1.11
0.184,0.007
-0.1476,-0.308
-0.6744,-0.819
-3.274,-1.488
-0.2349,-0.362
-0.2333,-0.284
-0.5516,-0.664
-0.3048,-0.49
-1.0737,-0.98
-0.9806,-0.743
0.4065,-0.076
-0.2636,-0.298
0.4791,-0.473
-0.8841,-0.919
-1.3856,-1.544
-2.1421,-2.319
-0.8045,-0.928
-0.93,-1.011
-1.0366,-1.101
-0.8853,-0.979
-0.6121,-0.676
-0.1075,-0.119
-0.3342,-0.383
-1.0481,-1.002
-1.1491,-1.12
-1.782,-1.826
-2.0853,-2.153
-1.7428,-1.889
-2.0191,-2.128
-1.9853,-2.115
-1.6357,-1.694
-1.6033,-1.626
-1.7585,-1.722
-2.0512,-2.059
-1.4176,-1.523
-1.549,-1.688
-0.1974,-0.303
