queued_pricing_error_s,backlog_error_s
1.211,0.432
0.4149,-0.19
0.3301,-0.287
-0.2597,-0.134
-0.1168,-0.141
-0.1674,-0.212
-0.1852,-0.203
-0.159,-0.184
-0.1367,-0.172
-0.0611,-0.104
0.0284,0.0
0.0035,-0.037
0.1552,0.108
0.1343,0.074
0.0409,-0.034
-0.0264,-0.113
-0.0871,-0.186
-0.2065,-0.33
-0.2202,-0.328
-0.2381,-0.357
-0.1704,-0.273
-0.0527,-0.133
0.0029,-0.085
0.1679,0.087
0.2616,0.21
0.3765,0.367
0.315,-0.269
-0.1869,0.092
-0.0288,0.221
0.2572,0.171
0.0877,-0.042
-0.0712,-0.115
-0.0772,-0.071
-0.094,-0.103
-0.0689,-0.077
-0.0222,-0.04
0.0391,0.035
0.1103,0.111
0.1073,0.089
-0.03,-0.059
-0.2227,-0.271
-0.4125,-0.467
-0.681,-0.745
-0.8125,-0.887
-0.7514,-0.788
-0.6966,-0.764
-0.4537,-0.49
-0.3549,-0.399
-0.0867,-0.117
-0.0636,-0.1
0.0163,0.005
0.2604,0.2
0.571,-0.259
-0.0541,-0.936
-0.9062,-1.434
-1.0756,-1.626
-0.843,-0.34
0.7284,1.266
1.6551,1.763
1.2997,0.822
1.2547,0.763
0.873,0.351
0.8783,0.335
0.3629,-0.136
-0.0533,-0.144
-0.0643,-0.17
-0.0213,-0.105
-0.1801,-0.282
-0.2478,-0.337
-0.0033,-0.11
0.3179,0.186
0.6557,0.517
1.1325,1.046
1.5171,1.451
1.6488,1.317
-1.086,0.08
-0.715,0.431
0.413,-0.249
-0.3804,-0.769
-0.781,-1.202
-0.8497,-0.268
-0.5493,0.016
-0.2749,0.277
0.3878,0.498
0.8888,1.103
0.5341,0.224
0.2649,0.169
0.2641,0.048
0.2865,0.05
0.0892,-0.089
0.0872,-0.033
0.0866,-0.086
0.3109,0.162
0.5951,0.435
0.8713,0.768
1.1205,0.99
1.4585,1.34
1.8126,1.692
1.8121,1.387
1.5281,1.128
1.3114,0.91
0.544,-0.349
0.3031,-0.603
-0.4889,-0.162
-0.2174,0.066
0.0876,-0.049
0.0841,0.029
0.1629,0.093
0.2268,0.225
0.2312,0.172
0.2172,0.126
0.0147,-0.118
-0.3147,-0.408
