condition,metric,value,denominator
12mp_normal,analyzedDecisions,1920,
12mp_normal,pacedDecisions,411,1920
12mp_normal,requiredDelayDecisions,79,1920
12mp_normal,requiredAndPaced,61,79
12mp_normal,noRequirementDecisions,1841,1920
12mp_normal,noRequirementAndPaced,350,1841
12mp_normal,identityDecisions,61,1920
12mp_normal,identityResidualMsMaxAbs,0.5,61
12mp_normal,reserveErrorMsP05,24.0,1920
12mp_normal,reserveErrorMsP50,231.5,1920
12mp_normal,reserveErrorMsP95,808.1,1920
12mp_normal,backlogErrorMsP05,-512.3,1920
12mp_normal,backlogErrorMsP50,-20.0,1920
12mp_normal,backlogErrorMsP95,1010.1,1920
12mp_normal,draftPricingErrorMsP05,-134.7,1984
12mp_normal,draftPricingErrorMsP50,15.5,1984
12mp_normal,draftPricingErrorMsP95,450.4,1984
12mp_normal,draftPricingErrorNegative,846,1984
12mp_normal,queuedPricingErrorPearsonR,0.949,1807
12mp_normal,backlogUnderEstimated,1043,1920
12mp_normal,inFlightAtDecision,1865,1920
12mp_normal,freshestWallLagMsP50,-28.0,1920
12mp_normal,freshestWallLagMsP95,110.0,1920
24mp_memory,analyzedDecisions,1861,
24mp_memory,pacedDecisions,471,1861
24mp_memory,requiredDelayDecisions,140,1861
24mp_memory,requiredAndPaced,97,140
24mp_memory,noRequirementDecisions,1721,1861
24mp_memory,noRequirementAndPaced,374,1721
24mp_memory,identityDecisions,97,1861
24mp_memory,identityResidualMsMaxAbs,0.76,97
24mp_memory,reserveErrorMsP05,-129.0,1861
24mp_memory,reserveErrorMsP50,253.4,1861
24mp_memory,reserveErrorMsP95,1025.0,1861
24mp_memory,backlogErrorMsP05,-980.0,1861
24mp_memory,backlogErrorMsP50,-59.0,1861
24mp_memory,backlogErrorMsP95,923.0,1861
24mp_memory,draftPricingErrorMsP05,-292.6,1904
24mp_memory,draftPricingErrorMsP50,19.0,1904
24mp_memory,draftPricingErrorMsP95,502.8,1904
24mp_memory,draftPricingErrorNegative,846,1904
24mp_memory,queuedPricingErrorPearsonR,0.883,1737
24mp_memory,backlogUnderEstimated,1074,1861
24mp_memory,inFlightAtDecision,1810,1861
24mp_memory,freshestWallLagMsP50,-44.0,1861
24mp_memory,freshestWallLagMsP95,240.0,1861
24mp_memory,floorMissDecisions,14,14
24mp_memory,floorMissRuns,4,14
24mp_memory,floorMissZeroDelay,11,14
24mp_memory,floorMissWaitMsP50,4714.0,14
24mp_memory,floorMissQueuedDraftsP50,4.0,14
24mp_memory,floorMissRepricedAtOrAboveFloor,11,14
24mp_memory,floorMissRepricedMsP50,428.0,14
