condition,run,shot,captureIndex,level,class,margin_ms,margin_pct_of_budget,applied_delay_ms,required_delay_ms,backlog_ms,backlog_pct_of_budget,queue_wait_ms,queue_wait_pct_of_budget,draft_duration_ms,optional_work_skipped,either_control_engaged
12mp_normal,2#21,10,661,5,no_delay_required,8,0.11,785.0,0,3369.0,48.1,2614,37.3,762.0,yes,yes
12mp_normal,2#19,10,594,5,no_delay_required,13,0.19,921.0,0,3576.0,51.1,2688,38.4,751.0,yes,yes
12mp_normal,1#12,9,330,6,no_delay_required,19,0.27,768.0,0,3983.0,56.9,3236,46.2,765.0,yes,yes
12mp_normal,1#31,8,921,5,covered,22,0.31,584.0,237,3732.0,53.3,3183,45.5,1218.0,no,yes
12mp_normal,1#23,13,671,3,covered,34,0.49,462.0,81,4304.0,61.5,3865,55.2,885.0,no,yes
12mp_normal,1#32,9,953,5,covered,63,0.9,569.0,296,4183.0,59.8,3674,52.5,1184.0,no,yes
24mp_memory,1#6,24,177,4,no_delay_required,14,0.2,0.0,0,3797.0,54.2,3812,54.5,844.0,yes,yes
24mp_memory,1#32,21,919,3,flexible,36,0.51,319.0,492,4595.0,65.6,4375,62.5,1118.0,yes,yes
24mp_memory,1#30,7,844,6,covered,43,0.61,787.0,310,2954.0,42.2,2200,31.4,1469.0,no,yes
24mp_memory,1#2,29,60,1,no_delay_required,49,0.7,316.0,0,5512.0,78.7,5215,74.5,529.0,yes,yes
24mp_memory,1#2,30,61,1,no_delay_required,69,0.99,288.0,0,5284.0,75.5,5010,71.6,546.0,yes,yes
