boundaryClass,condition,run,shot,captureIndex,level,plannedClass,executedClass,seqDemoted,riskPct,d,B,Bhat,backlogError,backlogErrorPct,C,Chat,reserveError,wait,headroom,headroomDelta,statusDelta,overheatDelta,aheadCount,aheadDemotedCount,aheadReserveError,aheadCaptureIndices
safe_but_paced,12mp_normal,1#12,12,333,6,Bokeh+Filter,Encoding only,True,-41.7714,470,1597,3402,1805,25.7857,397,1426,1029,1664,1.047,0.004,0,0,3,3,2624,330|331|332
safe_but_paced,12mp_normal,1#24,16,709,3,Bokeh+Filter,Encoding only,True,-47.4714,207,1748,3835,2087,29.8143,296,1120,824,1766,0.927,0.0,0,0,5,5,5103,704|705|706|707|708
safe_but_paced,12mp_normal,1#30,29,910,4,Bokeh+Filter,Encoding only,True,-46.2429,13,2228,4039,1811,25.8714,349,1075,726,2246,1.0,0.0,0,0,6,6,3999,904|905|906|907|908|909
safe_but_paced,12mp_normal,1#31,12,925,5,Bokeh+Filter,Encoding only,True,-47.3286,604,1296,3505,2209,31.5571,449,1605,1156,1325,1.003,0.0,0,0,3,3,3534,922|923|924
safe_but_paced,12mp_normal,1#32,13,957,5,Bokeh+Filter,Encoding only,True,-40.9,668,1544,3605,2061,29.4429,421,1490,1069,1583,1.02,0.003,0,0,4,3,3467,953|954|955|956
safe_but_paced,12mp_normal,1#40,20,1226,3,Bokeh+Filter,Encoding only,True,-46.6143,211,1940,4203,2263,32.3286,340,1051,711,1966,0.887,0.004,0,0,6,5,3723,1220|1221|1222|1223|1224|1225
safe_but_paced,12mp_normal,1#40,21,1227,3,Bokeh+Filter,Encoding only,True,-54.7286,182,1702,4377,2675,38.2143,291,1051,760,1717,0.887,0.0,0,0,6,6,4184,1221|1222|1223|1224|1225|1226
safe_but_paced,12mp_normal,2#10,12,309,5,Bokeh+Filter,Encoding only,True,-44.0429,537,1319,3554,2235,31.9286,452,1413,961,1385,1.007,0.0,0,0,3,3,2994,306|307|308
safe_but_paced,12mp_normal,2#14,18,439,6,Bokeh+Filter,Encoding only,True,-42.2286,686,1566,3718,2152,30.7429,458,1546,1088,1605,1.05,0.0,0,0,4,4,4140,435|436|437|438
safe_but_paced,24mp_memory,1#27,28,773,5,Bokeh+Filter,Encoding only,True,-40.9714,196,2332,3926,1594,22.7714,354,1187,833,2363,1.01,0.0,0,0,6,6,4224,767|768|769|770|771|772
safe_but_paced,24mp_memory,2#11,3,270,6,Bokeh+Filter,Filter only,True,-40.5714,1492,996,2578,1582,22.6,942,3063,2121,1043,1.03,,,,0,0,0,
safe_but_paced,24mp_memory,2#11,6,273,6,Bokeh+Filter,Encoding only,True,-45.6143,268,84,321,237,3.3857,840,2585,1745,121,1.03,0.0,0,0,1,1,1783,272
safe_but_paced,24mp_memory,2#11,28,295,6,Bokeh+Filter,Encoding only,True,-46.2857,128,1225,1296,71,1.0143,569,2281,1712,1255,1.037,0.0,0,0,2,2,3064,293|294
safe_but_paced,24mp_memory,2#11,29,296,6,Bokeh+Filter,Encoding only,True,-53.4571,67,580,811,231,3.3,459,2281,1822,596,1.037,0.0,0,0,1,1,1712,295
safe_but_paced,24mp_memory,2#30,26,848,2,Bokeh+Filter,Encoding only,True,-42.8714,458,2946,5533,2587,36.9571,358,1023,665,2968,0.923,0.006,0,0,8,7,4219,840|841|842|843|844|845|846|847
overrun_but_unpaced,12mp_normal,1#2,22,53,2,Bokeh+Filter,Bokeh+Filter,False,2.6857,0,5095,4043,-1052,-15.0286,735,820,85,5108,0.9,0.023,1,0,7,0,625,46|47|48|49|50|51|52
overrun_but_unpaced,12mp_normal,1#2,24,55,2,Bokeh+Filter,Filter only,True,0.1857,0,5514,4530,-984,-14.0571,448,820,372,5530,0.897,0.01,1,0,8,1,890,47|48|49|50|51|52|53|54
overrun_but_unpaced,12mp_normal,1#27,16,805,3,Bokeh+Filter,Bokeh+Filter,False,2.0143,0,4848,4013,-835,-11.9286,800,897,97,4863,0.923,0.006,0,0,6,0,180,799|800|801|802|803|804
