backlog_error_pts,pressure_pct,condition
-15.03,2.69,12mp_normal
-14.06,0.19,12mp_normal
-11.93,2.01,12mp_normal
-17.27,2.33,12mp_normal
-20.6,5.96,12mp_normal
-22.66,1.7,12mp_normal
-20.07,1.56,12mp_normal
2.17,16.61,12mp_normal
-13.39,3.63,12mp_normal
-14.36,0.49,12mp_normal
-12.19,1.44,12mp_normal
-8.94,2.06,12mp_normal
-9.87,1.31,12mp_normal
-6.93,3.21,12mp_normal
-11.33,5.86,12mp_normal
-3.2,1.63,12mp_normal
-1.97,5.43,12mp_normal
-4.36,2.76,12mp_normal
-11.33,1.63,24mp_memory
-25.91,2.09,24mp_memory
-21.26,5.23,24mp_memory
-4.06,1.04,24mp_memory
-9.49,4.36,24mp_memory
-7.0,3.54,24mp_memory
-14.0,15.14,24mp_memory
-7.29,20.54,24mp_memory
-19.46,12.26,24mp_memory
-16.03,21.49,24mp_memory
-16.17,26.27,24mp_memory
-21.19,9.21,24mp_memory
-11.91,1.66,24mp_memory
-4.26,1.83,24mp_memory
-6.76,2.86,24mp_memory
-13.13,5.19,24mp_memory
-22.06,9.77,24mp_memory
-33.13,3.83,24mp_memory
-31.79,2.23,24mp_memory
-26.01,2.5,24mp_memory
-25.1,15.77,24mp_memory
-13.26,4.11,24mp_memory
-14.44,8.0,24mp_memory
-15.73,3.84,24mp_memory
-13.99,5.31,24mp_memory
-1.7,2.77,24mp_memory
-5.47,5.14,24mp_memory
-14.31,5.04,24mp_memory
-16.0,7.2,24mp_memory
-26.09,2.0,24mp_memory
-30.76,5.93,24mp_memory
-26.99,1.59,24mp_memory
-30.53,8.36,24mp_memory
-30.4,1.4,24mp_memory
-30.21,0.31,24mp_memory
-24.2,0.11,24mp_memory
-23.23,2.33,24mp_memory
-24.6,9.23,24mp_memory
-29.41,0.74,24mp_memory
-21.76,2.86,24mp_memory
-24.11,3.74,24mp_memory
-20.31,5.9,24mp_memory
-4.33,0.31,24mp_memory
