share_pct,y
0.0,1.0
0.0,1.04
0.0,0.96
0.0,1.08
0.0,0.92
0.0,1.12
0.0,0.88
0.0,1.16
0.0,0.84
0.0,1.2
0.0,0.8
0.0,1.24
0.0,0.76
0.0,1.28
0.0,0.72
0.0,1.32
0.0,0.68
0.0,1.36
0.0,0.64
0.6488,1.4
0.6559,0.6
5.8213,1.0
7.6161,1.0
8.3313,1.04
10.3001,1.0
11.9454,1.0
12.9213,1.04
13.3968,1.0
14.0739,1.04
16.3931,1.0
16.5787,1.04
17.0768,0.96
17.3171,1.08
17.9012,1.0
18.0497,1.04
18.1677,0.96
18.2046,0.92
18.5494,1.08
18.6051,1.12
18.6909,0.88
18.853,1.16
18.8995,0.84
19.0091,1.0
19.0837,1.04
19.4089,0.96
19.4857,0.92
19.4867,1.2
19.5803,1.08
19.6694,1.12
19.8814,0.88
20.0709,1.0
20.1215,1.04
20.2789,1.16
20.4104,0.96
20.7171,1.08
20.7759,0.92
20.8431,1.12
21.5774,1.0
21.7341,1.04
22.0462,0.96
22.2499,1.08
22.692,1.0
23.1728,1.04
23.3177,0.96
23.573,1.08
24.1993,1.0
24.7331,1.04
24.8747,0.96
24.915,1.08
32.0691,1.0
