share_pct,y
0.0,0.0
0.0,0.04
0.0,-0.04
0.0,0.08
0.0,-0.08
0.0,0.12
0.0,-0.12
0.0,0.16
0.0,-0.16
0.0,0.2
0.0,-0.2
0.0,0.24
0.0,-0.24
0.4609,0.28
1.2271,0.0
1.2595,0.04
1.6986,-0.04
2.8016,0.0
4.0127,0.0
4.0944,0.04
4.1995,-0.04
4.6044,0.08
4.735,-0.08
5.1873,0.0
5.3808,0.04
5.4502,-0.04
5.876,0.08
5.9134,-0.08
6.5651,0.0
7.3263,0.04
7.4333,-0.04
9.0937,0.0
9.2448,0.04
9.4679,-0.04
9.8284,0.08
11.023,0.0
12.6793,0.0
12.9771,0.04
13.0049,-0.04
13.1084,0.08
14.0695,0.0
14.5387,0.04
14.993,-0.04
15.1049,0.0
15.5742,0.04
16.5595,0.0
16.5693,-0.04
16.9117,0.04
17.1271,0.08
18.2986,0.0
18.7184,0.04
19.0803,-0.04
19.4723,0.0
19.6007,0.08
19.7669,0.04
20.2592,-0.04
21.8328,0.0
22.0628,0.04
22.442,-0.04
23.7371,0.0
24.4944,0.04
25.1947,0.0
25.5276,0.04
26.1439,-0.04
27.2173,0.0
31.4241,0.0
34.4087,0.0
39.4244,0.0
52.8665,0.0
