delay_backlog_pct,cdf
0.0855,0.00243
0.1396,0.00487
0.1499,0.0073
0.2645,0.00973
0.2887,0.01217
0.2888,0.0146
0.3051,0.01703
0.3321,0.01946
0.3852,0.0219
0.4301,0.02433
0.4452,0.02676
0.5193,0.0292
0.5406,0.03163
0.5571,0.03406
0.5835,0.0365
0.6577,0.03893
0.6812,0.04136
0.7427,0.0438
0.9294,0.04623
0.995,0.04866
1.3878,0.05109
1.4216,0.05353
1.4524,0.05596
1.455,0.05839
1.5658,0.06083
1.6218,0.06326
1.6628,0.06569
1.6858,0.06813
1.6968,0.07056
1.7264,0.07299
1.7556,0.07543
1.7646,0.07786
1.8692,0.08029
1.9563,0.08273
1.967,0.08516
1.9834,0.08759
2.0223,0.09002
2.0478,0.09246
2.1167,0.09489
2.2144,0.09732
2.4315,0.09976
2.4679,0.10219
2.4882,0.10462
2.5047,0.10706
2.5109,0.10949
2.521,0.11192
2.5929,0.11436
2.6016,0.11679
2.6027,0.11922
2.6461,0.12165
2.6515,0.12409
2.8134,0.12652
2.9155,0.12895
2.9514,0.13139
2.9957,0.13382
3.0773,0.13625
3.1833,0.13869
3.2689,0.14112
3.3236,0.14355
3.389,0.14599
3.3994,0.14842
3.5252,0.15085
3.5691,0.15328
3.7401,0.15572
3.7496,0.15815
3.8388,0.16058
3.9612,0.16302
3.9831,0.16545
4.0397,0.16788
4.16,0.17032
4.161,0.17275
4.1862,0.17518
4.2204,0.17762
4.2387,0.18005
4.3236,0.18248
4.3244,0.18491
4.3647,0.18735
4.4277,0.18978
4.4688,0.19221
4.4878,0.19465
4.4879,0.19708
4.4959,0.19951
4.6248,0.20195
4.7931,0.20438
4.9728,0.20681
4.9879,0.20925
5.0039,0.21168
5.0082,0.21411
5.0256,0.21655
5.0305,0.21898
5.0332,0.22141
5.0423,0.22384
5.0771,0.22628
5.0967,0.22871
5.2007,0.23114
5.2283,0.23358
5.2306,0.23601
5.248,0.23844
5.3437,0.24088
5.3604,0.24331
5.3958,0.24574
5.5057,0.24818
5.6471,0.25061
5.6592,0.25304
5.6809,0.25547
5.7278,0.25791
5.7621,0.26034
5.7865,0.26277
5.7975,0.26521
5.8168,0.26764
5.8621,0.27007
5.8801,0.27251
5.8945,0.27494
5.9399,0.27737
5.9701,0.27981
5.9867,0.28224
6.0062,0.28467
6.0379,0.2871
6.0492,0.28954
6.0709,0.29197
6.0904,0.2944
6.101,0.29684
6.175,0.29927
6.2062,0.3017
6.22,0.30414
6.2564,0.30657
6.3693,0.309
6.4129,0.31144
6.8161,0.31387
6.8357,0.3163
6.8365,0.31873
6.9304,0.32117
6.9841,0.3236
7.0083,0.32603
7.0755,0.32847
7.0911,0.3309
7.1156,0.33333
7.2103,0.33577
7.2337,0.3382
7.2949,0.34063
7.3155,0.34307
7.322,0.3455
7.377,0.34793
7.3841,0.35036
7.4669,0.3528
7.5209,0.35523
7.5689,0.35766
7.5862,0.3601
7.6599,0.36253
7.7023,0.36496
7.7393,0.3674
7.7836,0.36983
7.8,0.37226
7.8541,0.3747
7.9135,0.37713
7.922,0.37956
7.9345,0.382
7.9355,0.38443
8.1328,0.38686
8.293,0.38929
8.3516,0.39173
8.4633,0.39416
8.4716,0.39659
8.488,0.39903
8.5066,0.40146
8.5378,0.40389
8.5664,0.40633
8.709,0.40876
8.7456,0.41119
8.807,0.41363
8.8396,0.41606
8.8656,0.41849
8.8784,0.42092
8.9324,0.42336
8.9433,0.42579
9.0004,0.42822
9.0354,0.43066
9.0883,0.43309
9.1553,0.43552
9.2378,0.43796
9.3337,0.44039
9.3678,0.44282
9.3852,0.44526
9.4259,0.44769
9.4504,0.45012
9.4599,0.45255
9.4908,0.45499
9.5053,0.45742
9.5695,0.45985
9.5784,0.46229
9.6496,0.46472
9.6753,0.46715
9.7675,0.46959
9.7717,0.47202
9.784,0.47445
9.8119,0.47689
9.9007,0.47932
9.9942,0.48175
9.9947,0.48418
10.0313,0.48662
10.0791,0.48905
10.0912,0.49148
10.1005,0.49392
10.1388,0.49635
10.2571,0.49878
10.4474,0.50122
10.4874,0.50365
10.5249,0.50608
10.576,0.50852
10.6061,0.51095
10.6362,0.51338
10.6933,0.51582
10.7331,0.51825
10.7342,0.52068
10.7699,0.52311
10.8225,0.52555
10.8763,0.52798
10.9715,0.53041
11.0083,0.53285
11.0846,0.53528
11.1248,0.53771
11.1503,0.54015
11.1774,0.54258
11.2081,0.54501
11.3548,0.54745
11.3856,0.54988
11.4991,0.55231
11.5133,0.55474
11.5281,0.55718
11.5984,0.55961
11.6414,0.56204
11.6442,0.56448
11.721,0.56691
11.7248,0.56934
11.7402,0.57178
11.7701,0.57421
11.7966,0.57664
11.8421,0.57908
11.8737,0.58151
11.9698,0.58394
11.9724,0.58637
12.0388,0.58881
12.0745,0.59124
12.0929,0.59367
12.0998,0.59611
12.1429,0.59854
12.1761,0.60097
12.1881,0.60341
12.2869,0.60584
12.2897,0.60827
12.3333,0.61071
12.3727,0.61314
12.4024,0.61557
12.4943,0.618
12.5946,0.62044
12.6096,0.62287
12.6291,0.6253
12.6501,0.62774
12.7267,0.63017
12.7438,0.6326
12.766,0.63504
12.7958,0.63747
13.0401,0.6399
13.0772,0.64234
13.154,0.64477
13.1614,0.6472
13.2129,0.64964
13.2891,0.65207
13.3119,0.6545
13.3874,0.65693
13.4254,0.65937
13.6027,0.6618
13.6364,0.66423
13.8671,0.66667
13.8841,0.6691
13.9275,0.67153
13.9769,0.67397
14.0535,0.6764
14.0777,0.67883
14.1123,0.68127
14.1224,0.6837
14.2514,0.68613
14.2726,0.68856
14.3812,0.691
14.558,0.69343
14.6585,0.69586
14.7481,0.6983
14.7942,0.70073
14.9094,0.70316
14.9663,0.7056
14.9855,0.70803
15.0574,0.71046
15.0987,0.7129
15.2336,0.71533
15.246,0.71776
15.3666,0.72019
15.6096,0.72263
15.638,0.72506
15.6484,0.72749
15.7071,0.72993
15.8444,0.73236
15.8862,0.73479
15.8962,0.73723
16.0216,0.73966
