delay_backlog_pct,cdf
0.0368,0.00212
0.0797,0.00425
0.1131,0.00637
0.1811,0.00849
0.2794,0.01062
0.3414,0.01274
0.4052,0.01486
0.494,0.01699
0.5779,0.01911
0.5795,0.02123
0.615,0.02335
0.6604,0.02548
0.7406,0.0276
0.8014,0.02972
0.8062,0.03185
0.8303,0.03397
0.8803,0.03609
0.9761,0.03822
1.0192,0.04034
1.0329,0.04246
1.0617,0.04459
1.0907,0.04671
1.1072,0.04883
1.2786,0.05096
1.3544,0.05308
1.4562,0.0552
1.4626,0.05732
1.4713,0.05945
1.4763,0.06157
1.5046,0.06369
1.5388,0.06582
1.586,0.06794
1.8809,0.07006
1.9056,0.07219
1.9449,0.07431
2.0083,0.07643
2.0213,0.07856
2.0985,0.08068
2.1667,0.0828
2.1801,0.08493
2.1898,0.08705
2.2618,0.08917
2.2722,0.0913
2.2897,0.09342
2.307,0.09554
2.3693,0.09766
2.4172,0.09979
2.4432,0.10191
2.4702,0.10403
2.4737,0.10616
2.5305,0.10828
2.5362,0.1104
2.5799,0.11253
2.6524,0.11465
2.7193,0.11677
2.7403,0.1189
2.7761,0.12102
2.7994,0.12314
2.9412,0.12527
2.9668,0.12739
2.994,0.12951
3.0492,0.13163
3.059,0.13376
3.0761,0.13588
3.0829,0.138
3.0855,0.14013
3.1066,0.14225
3.1194,0.14437
3.1498,0.1465
3.1711,0.14862
3.239,0.15074
3.2475,0.15287
3.2572,0.15499
3.2693,0.15711
3.2854,0.15924
3.3042,0.16136
3.3085,0.16348
3.3134,0.16561
3.382,0.16773
3.3854,0.16985
3.4273,0.17197
3.472,0.1741
3.4983,0.17622
3.6496,0.17834
3.6797,0.18047
3.7173,0.18259
3.7311,0.18471
3.7541,0.18684
3.7804,0.18896
3.7925,0.19108
3.8287,0.19321
3.8436,0.19533
3.8529,0.19745
3.8729,0.19958
3.8843,0.2017
3.9347,0.20382
3.9525,0.20594
3.9643,0.20807
4.0056,0.21019
4.0465,0.21231
4.0966,0.21444
4.1092,0.21656
4.1774,0.21868
4.2422,0.22081
4.2616,0.22293
4.3143,0.22505
4.3296,0.22718
4.3925,0.2293
4.4064,0.23142
4.438,0.23355
4.475,0.23567
4.4969,0.23779
4.4975,0.23992
4.5335,0.24204
4.5413,0.24416
