backlog_s,delay_s
1.296,0.604
1.319,0.537
1.502,0.539
1.544,0.668
1.566,0.686
1.597,0.47
1.626,0.84
1.702,0.182
1.738,0.078
1.748,0.207
1.78,0.103
1.887,0.709
1.94,0.211
1.979,0.682
1.999,0.53
2.029,0.67
2.045,0.606
2.068,0.704
2.073,0.78
2.107,0.406
2.132,0.669
2.187,0.907
2.192,0.807
2.193,0.274
2.204,0.714
2.228,0.013
2.268,0.033
2.269,0.222
2.274,0.177
2.278,0.511
2.279,0.646
2.282,0.292
2.285,0.389
2.299,0.851
2.304,0.737
2.331,0.058
2.338,0.845
2.381,0.742
2.388,0.539
2.388,0.546
2.395,0.767
2.403,0.618
2.405,0.291
2.409,0.623
2.412,0.689
2.424,0.508
2.44,0.283
2.44,0.611
2.452,0.729
2.469,0.448
2.491,0.67
2.512,0.811
2.514,0.666
2.554,0.636
2.577,0.337
2.581,0.696
2.583,0.39
2.635,0.066
2.635,0.303
2.648,0.467
2.648,0.869
2.652,0.045
2.655,0.593
2.761,0.148
2.772,0.3
2.777,0.44
2.791,0.049
2.804,0.084
2.806,0.207
2.807,0.616
2.824,0.331
2.826,0.822
2.827,0.106
2.834,0.175
2.839,0.474
2.84,0.766
2.842,0.512
2.851,0.306
2.856,0.644
2.868,0.058
2.87,0.251
2.871,0.854
2.879,0.338
2.883,0.554
2.884,0.406
2.893,0.247
2.898,0.047
2.906,0.152
2.907,0.293
2.912,0.415
2.928,0.255
2.933,0.862
2.934,0.787
2.939,0.951
2.949,0.125
2.951,0.346
2.951,0.411
2.968,0.667
2.974,0.42
2.987,0.615
2.997,0.442
3.0,0.37
3.015,0.337
3.02,0.299
3.021,0.221
3.022,0.983
3.025,0.008
3.025,0.733
3.029,0.486
3.033,0.386
3.041,0.02
3.053,0.813
3.055,0.153
3.055,0.289
3.071,0.733
3.078,0.704
3.085,0.413
3.09,0.238
3.095,0.167
3.104,0.455
3.11,0.281
3.111,0.301
3.118,0.73
3.148,0.224
3.157,0.189
3.159,0.159
3.163,0.179
3.18,0.225
3.181,0.321
3.182,0.887
3.183,0.381
3.19,0.313
3.19,0.32
3.194,0.233
3.21,0.489
3.226,0.256
3.226,0.309
3.23,0.194
3.23,0.752
3.231,0.145
3.243,0.357
3.243,0.715
3.247,0.661
3.252,0.559
3.256,0.444
3.26,0.529
3.265,0.466
3.267,0.104
3.271,0.385
3.279,0.785
3.303,0.946
3.314,0.235
3.319,0.117
3.334,0.863
3.335,0.253
3.338,0.413
3.342,0.184
3.345,0.146
3.356,0.372
3.36,0.408
3.362,0.821
3.369,0.785
3.387,0.532
3.41,0.524
3.418,0.398
3.431,0.173
3.433,0.312
3.439,0.644
3.459,0.429
3.462,0.293
3.469,0.461
3.472,0.347
3.48,0.824
3.481,0.553
3.488,0.59
3.496,0.074
3.496,0.533
3.498,0.371
3.499,0.174
3.507,0.003
3.509,0.291
3.516,0.072
3.523,0.024
3.523,0.203
3.528,0.323
3.531,0.358
3.537,0.446
3.551,0.398
3.556,0.641
3.556,0.852
3.564,0.247
3.569,0.737
3.573,0.538
3.576,0.68
3.576,0.921
3.583,0.863
3.591,0.159
3.596,0.532
3.602,0.409
3.62,0.381
3.62,0.527
3.642,0.543
3.65,0.59
3.657,0.788
3.67,0.107
3.673,0.141
3.675,2.204
3.677,0.153
3.686,0.453
3.69,0.096
3.695,0.454
3.699,0.665
3.709,0.829
3.718,0.054
3.721,0.237
3.721,0.844
3.725,0.635
3.726,0.496
3.726,0.754
3.73,0.255
3.732,0.584
3.737,0.167
3.739,0.283
3.741,0.097
3.745,0.353
3.746,0.233
3.746,0.453
3.747,0.33
3.752,0.375
3.762,0.074
3.774,0.273
3.78,0.264
3.793,0.874
3.799,0.5
3.807,0.464
3.808,0.096
3.811,0.2
3.812,0.221
3.814,0.275
3.814,0.536
3.817,0.191
3.819,0.038
3.819,0.228
3.824,0.369
3.826,0.195
3.836,0.741
3.845,0.49
3.846,0.161
3.849,0.064
3.851,0.239
3.852,0.072
3.855,0.219
3.861,0.367
3.862,0.578
3.868,0.228
3.872,0.489
3.875,0.512
3.881,0.392
3.883,0.812
3.885,0.787
3.888,0.507
3.899,0.381
3.9,0.244
3.901,0.238
3.903,0.098
3.909,0.468
3.915,0.013
3.915,0.066
3.919,0.411
3.921,0.205
3.923,0.773
3.932,0.121
3.948,0.504
3.953,0.017
3.955,0.171
3.96,0.105
3.961,0.206
3.963,0.055
3.964,0.19
3.969,0.34
3.974,0.088
3.975,0.484
3.981,0.037
3.981,0.279
3.983,0.079
3.983,0.768
3.984,0.241
3.992,0.474
4.007,0.411
4.021,0.38
4.035,0.163
4.04,0.235
4.041,0.343
4.045,0.45
4.045,0.643
4.052,0.1
4.06,0.652
4.072,0.138
4.075,0.676
4.091,0.568
4.095,0.206
4.12,0.496
4.122,0.137
4.124,0.618
4.132,0.734
4.135,0.432
4.138,0.454
4.146,0.383
4.153,0.329
4.154,0.016
4.154,0.764
4.157,0.012
4.157,0.388
4.164,0.582
4.183,0.397
4.183,0.569
4.197,0.371
4.217,0.806
4.225,0.242
4.232,0.36
4.235,0.376
4.236,0.448
4.247,0.501
4.251,0.474
4.251,0.484
4.257,0.72
4.263,0.683
4.269,0.327
4.273,0.258
4.274,0.409
4.282,0.493
4.294,0.403
4.298,0.006
4.299,0.321
4.304,0.462
4.305,0.835
4.308,0.024
4.334,0.601
4.339,0.624
4.344,0.142
4.348,0.525
4.364,0.47
4.366,0.409
4.372,0.391
4.375,0.763
4.411,0.204
4.416,0.301
4.442,0.328
4.466,0.327
4.469,0.351
4.47,0.727
4.494,0.566
4.502,0.013
4.51,0.241
4.518,0.078
4.521,0.383
4.553,0.712
4.581,0.279
4.596,0.273
4.645,0.184
4.646,0.415
4.648,0.201
4.667,0.351
4.679,0.167
4.683,0.616
4.689,0.458
4.711,0.286
4.72,0.188
4.726,0.074
4.764,0.378
4.795,0.163
4.813,0.329
4.819,0.561
4.83,0.611
4.849,0.651
4.856,0.758
4.91,0.38
4.918,0.128
4.976,0.207
4.976,0.281
4.987,0.088
4.994,0.027
5.024,0.709
5.029,0.42
5.124,0.545
5.135,0.073
5.136,0.302
5.141,0.401
5.152,0.419
5.184,0.153
5.187,0.194
5.196,0.599
5.222,0.47
5.245,0.465
5.316,0.239
5.32,0.421
5.337,0.008
5.353,0.267
5.386,0.04
5.392,0.028
5.411,0.347
5.426,0.229
5.472,0.275
5.51,0.323
5.511,0.134
5.572,0.017
5.574,0.283
5.615,0.025
5.616,0.158
5.623,0.11
5.631,0.149
