backlog_error_pts,pressure_pct
2.61,-68.67
-0.59,-71.07
-0.16,-71.77
1.06,-72.91
0.11,-71.4
0.07,-70.74
-0.03,-69.01
-0.3,-67.21
-0.56,-64.97
-0.71,-62.94
-1.0,-61.4
-0.57,-59.37
-0.03,-57.86
0.17,-55.86
0.29,-53.31
0.13,-50.7
-0.47,-47.56
-1.17,-45.81
-1.7,-42.99
-2.46,-40.77
-2.59,-39.99
-2.8,-38.57
-2.3,-36.93
-2.19,-35.3
-1.41,-33.24
-0.73,-31.24
-0.33,-26.23
-0.89,-21.83
3.4,-68.86
-0.5,-66.79
-0.96,-64.21
1.0,-61.33
1.49,-58.09
1.16,-55.01
-0.47,-51.93
-1.21,-48.96
-1.91,-45.4
-2.33,-42.49
-2.44,-39.3
-2.23,-38.1
-3.01,-35.37
-2.9,-31.84
-3.49,-28.84
-3.11,-18.21
-6.64,-10.66
-11.31,-6.01
-14.13,-2.51
-15.03,2.69
-17.11,-0.7
-14.06,0.19
-11.67,1.43
-9.57,2.23
-7.4,2.6
-0.17,0.64
7.47,-1.99
3.11,-54.14
-0.16,-50.64
-0.16,-44.31
-0.33,-35.64
-1.7,-31.0
-1.76,-24.33
-1.79,-18.76
-0.36,-12.54
0.67,-7.34
2.97,-1.07
4.14,-3.11
9.36,-7.33
13.77,-14.5
17.63,-18.1
20.33,-25.94
23.0,-28.66
11.94,-32.14
11.09,-35.71
5.39,-32.64
0.11,-32.27
0.59,-31.14
-2.76,-29.97
-0.63,-29.09
0.96,-28.39
1.8,-27.41
3.76,-26.39
5.99,-24.87
5.23,-52.04
-2.71,-47.07
-6.13,-40.17
-3.16,-35.0
-3.53,-26.46
-0.56,-24.73
1.51,-18.16
2.87,-12.46
4.13,-6.34
4.46,-0.63
5.26,-6.01
7.93,-14.19
10.2,-23.4
14.73,-28.63
18.91,-28.73
22.0,-30.61
12.13,-33.9
6.79,-38.59
5.01,-37.21
-0.1,-36.83
-3.26,-36.19
-1.64,-35.09
-0.87,-34.53
0.81,-34.07
3.73,-32.6
4.73,-32.07
2.63,-46.87
5.01,-42.94
2.51,-38.16
3.2,-30.47
4.61,-24.26
4.54,-19.0
6.67,-11.91
8.69,-0.9
5.67,-0.37
5.17,2.36
0.57,-1.8
1.46,-5.03
0.96,-5.41
3.54,-2.24
3.14,2.37
3.27,4.56
1.19,11.34
-3.27,10.03
-6.54,1.84
-4.19,-1.41
-1.34,-2.39
1.57,-4.83
4.13,-7.0
10.27,-9.99
7.99,-15.11
7.0,-20.81
4.11,-19.37
1.89,-17.8
0.54,-45.66
-3.09,-37.9
-5.06,-28.93
-8.31,-18.49
-2.13,-6.71
0.0,-1.83
1.41,-3.83
11.0,-4.07
14.51,-6.16
19.11,-12.17
26.07,-21.67
13.11,-29.1
5.16,-34.34
3.59,-32.64
-4.83,-27.84
-5.87,-28.27
-5.27,-24.64
-5.41,-23.01
-5.84,-20.13
-4.6,-18.93
-5.77,-20.79
-3.53,-21.89
0.57,-22.81
2.1,-20.53
5.29,-18.71
7.23,-19.07
2.56,-37.3
3.87,-30.11
2.46,-23.86
3.69,-11.77
4.43,-1.3
5.06,-7.44
9.64,-10.8
16.1,-19.33
22.9,-29.14
15.0,-34.69
6.94,-40.14
-1.24,-33.64
-3.49,-34.49
-4.01,-28.43
-4.73,-23.94
-4.73,-23.99
-2.5,-21.79
-4.21,-20.83
-4.96,-16.94
-3.76,-14.86
-2.34,-16.14
-1.2,-13.53
-0.3,-14.27
2.96,-15.01
