shot,backlog_median,backlog_p10,backlog_p90,queue_depth_median,queue_depth_p10,queue_depth_p90,delay_median,delay_p10,delay_p90,activation_rate_percent,cumulative_delay_median,cumulative_delay_p25,cumulative_delay_p75
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,967,670,1066.8,0,0,0,0,0,0,0,0,0,0
3,1476,905.6,1682,1,1,1,0,0,0,0,0,0,0
4,2033,1149.2,2108,2,1,2,0,0,0,0,0,0,0
5,2355,1196.2,2555.6,2,1.8,2,0,0,0,0,0,0,0
6,2891,1287.2,3106.6,3,2,3,0,0,0,0,0,0,0
7,3450,1597.8,3646.2,3,2,3,0,0,0,0,0,0,0
8,4025,1845.6,4366.2,4,2,4,0,0,0,0,0,0,0
9,4488,2057.4,4907.4,4,3,4,0,0,0,0,0,0,0
10,5073,2254.6,5358.4,4,3,5,0,0,0,0,0,0,0
11,5484,2489,5879,5,3.8,5,0,0,0,0,0,0,0
12,5897,2788.2,6071.8,6,4,6,0,0,0,0,0,0,0
13,5977,3350.2,6161.6,6,4,6,0,0,0,0,0,0,0
14,5922,3959.6,6124.4,7,4.8,7,0,0,0,0,0,0,0
15,5974,4511,6089.2,7,5,8,0,0,0,0,0,0,0
16,5903,5042.4,6055.6,8,5,8,0,0,0,0,0,0,0
17,5866,5136.8,5935.8,8,5.8,9,0,0,0,0,0,0,0
18,5754,5079,5887.6,9,6,9.2,0,0,0,0,0,0,0
19,5665,5018.8,5813.4,9,6,10,0,0,0,0,0,0,0
20,5639,4972.8,5808.4,10,6.8,10.2,0,0,0,0,0,0,0
21,5474,4870.2,5655.2,10,7.6,11,0,0,0,0,0,0,0
22,5342,4906.2,5584.2,11,7.6,11.2,0,0,0,0,0,0,0
23,5205,4846,5477,12,8.4,12,0,0,0,0,0,0,0
24,5026,4668.4,5445.2,12,8.4,12.2,0,0,0,0,0,0,0
25,4908,4516.8,5442.6,12,9.4,13,0,0,0,0,0,0,0
26,4806,4375.2,5485.4,13,10.2,13,0,0,0,0,0,0,0
27,4758,4246.2,5433.2,13,10.2,13,0,0,0,0,0,0,0
28,4668,4085.8,5333.8,12,11,13,0,0,0,0,0,0,0
29,4443,3927.2,5304,12,11,13,0,0,0,0,0,0,0
30,4328,3774.2,5162.6,12,11,13,,,,,0,0,0
