backlog_pct,cdf
0.0,0.00066
0.0143,0.00133
0.2714,0.00199
0.5,0.00265
0.5429,0.00331
0.8286,0.0053
0.9143,0.00596
0.9714,0.00663
1.0286,0.00729
1.0857,0.00795
1.1857,0.00861
1.2429,0.00928
1.3429,0.00994
1.4,0.0106
1.4429,0.01127
1.4571,0.01193
1.5,0.01259
1.5143,0.01325
1.7,0.01392
1.7143,0.01458
1.7286,0.01524
1.7857,0.0159
2.3,0.01657
2.3714,0.01723
2.7714,0.01789
2.9,0.01856
2.9571,0.01922
2.9857,0.02054
3.1143,0.02121
3.1429,0.02187
3.1857,0.02253
3.2143,0.02319
3.2429,0.02386
3.2714,0.02518
3.3,0.02584
3.3143,0.02651
3.3857,0.02717
3.4,0.02783
3.4286,0.0285
3.4571,0.02916
3.5,0.02982
3.5429,0.03048
3.6,0.03115
3.6143,0.03181
3.6571,0.03247
3.7571,0.0338
3.7714,0.03446
3.8143,0.03512
3.9143,0.03579
3.9571,0.03711
4.1286,0.0391
4.1714,0.03976
4.2,0.04109
4.2286,0.04175
4.3571,0.04241
4.4,0.04307
4.4286,0.04374
4.5143,0.0444
4.5429,0.04506
4.5571,0.04573
4.6143,0.04639
4.6857,0.04771
4.7286,0.04838
4.8,0.04904
4.9,0.05036
4.9286,0.05103
4.9571,0.05169
4.9714,0.05235
5.0286,0.05302
5.0429,0.05368
5.0857,0.05434
5.1857,0.055
5.2286,0.05567
5.2714,0.05699
5.3429,0.05765
5.3714,0.05898
5.4143,0.05964
5.4286,0.0603
5.4429,0.06229
5.4714,0.06296
5.5429,0.06362
5.5571,0.06428
5.5714,0.06494
5.6143,0.06561
5.6429,0.06627
5.6857,0.06693
5.7286,0.06759
5.7714,0.06826
5.8286,0.06892
5.9,0.07025
5.9286,0.07091
5.9714,0.07223
6.0,0.0729
6.0143,0.07422
6.0429,0.07488
6.0571,0.07621
6.0714,0.07687
6.1714,0.07753
6.1857,0.07886
6.2714,0.07952
6.2857,0.08019
6.4143,0.08085
6.4429,0.08151
6.4571,0.08217
6.5286,0.08284
6.5429,0.0835
6.6,0.08482
6.6714,0.08549
6.7143,0.08615
6.7286,0.08681
6.7571,0.08748
6.8286,0.0888
6.8714,0.08946
6.9,0.09013
7.0714,0.09079
7.0857,0.09211
7.1143,0.09344
7.1286,0.09476
7.1714,0.09543
7.2286,0.09609
7.3,0.09675
7.3286,0.09742
7.3429,0.09874
7.3714,0.0994
7.3857,0.10007
7.4857,0.10073
7.5,0.10139
7.5571,0.10205
7.5714,0.10272
7.5857,0.10338
7.6143,0.10471
7.6286,0.10537
7.6429,0.10669
7.6857,0.10736
7.7143,0.10868
7.7714,0.10934
7.8286,0.11001
7.8429,0.11067
7.8571,0.11133
7.9143,0.11266
7.9571,0.11398
7.9714,0.11465
8.0,0.11531
8.0571,0.11597
8.0714,0.11663
8.1857,0.1173
8.2,0.11796
8.2714,0.11928
8.2857,0.11995
8.3571,0.12061
8.3857,0.12194
8.4,0.1226
8.4571,0.12326
8.4714,0.12459
8.5286,0.12525
8.5571,0.12591
8.6714,0.12657
8.7,0.12724
8.7571,0.1279
8.7714,0.12856
8.8143,0.12922
8.8429,0.12989
8.8571,0.13055
8.8714,0.13121
8.8857,0.13188
8.9857,0.1332
9.0143,0.13453
9.0857,0.13519
9.2143,0.13585
9.2429,0.13651
9.2714,0.13718
9.3143,0.13784
9.3286,0.13917
9.4571,0.14049
9.5286,0.14115
9.6429,0.14182
9.6714,0.14248
9.6857,0.14314
9.7571,0.1438
