backlog_pct,cdf
0.0,0.00288
0.0571,0.0036
0.1143,0.00432
0.6429,0.00504
0.7,0.00576
0.9286,0.00647
1.0,0.00791
1.0143,0.00863
1.1,0.00935
1.4143,0.01007
1.6,0.01079
1.7714,0.01151
2.3429,0.01223
2.4857,0.01439
2.6429,0.01511
2.8429,0.01583
2.8857,0.01655
3.0,0.01727
3.0571,0.01799
3.1143,0.01871
3.1571,0.01942
3.2714,0.02014
3.5143,0.02086
3.5714,0.02158
3.6286,0.0223
3.6429,0.02302
3.8143,0.02374
3.8571,0.02446
3.8714,0.02518
3.9143,0.0259
3.9286,0.02662
3.9714,0.02734
4.1714,0.02806
4.2429,0.02878
4.2571,0.0295
4.3571,0.03022
4.3714,0.03094
4.3857,0.03165
4.4143,0.03237
4.4571,0.03309
4.5429,0.03381
4.6,0.03453
4.6429,0.03525
4.6714,0.03597
4.8857,0.03669
4.9143,0.03741
4.9286,0.03813
5.0286,0.03885
5.0429,0.03957
5.0714,0.04029
5.1714,0.04101
5.2143,0.04173
5.2286,0.04317
5.3714,0.04388
5.4429,0.0446
5.5429,0.04532
5.5857,0.04604
5.7143,0.0482
5.7286,0.04892
5.8429,0.04964
5.8571,0.05108
5.8857,0.0518
5.9,0.05252
5.9143,0.05324
5.9571,0.05396
5.9857,0.05468
6.0286,0.05612
6.0857,0.05683
6.1429,0.05755
6.1571,0.05899
6.3,0.05971
6.3143,0.06043
6.3429,0.06115
6.4571,0.06259
6.5,0.06331
6.5143,0.06403
6.5286,0.06475
6.5429,0.06547
6.5714,0.06619
6.5857,0.06691
6.6857,0.06763
6.7429,0.06906
6.8143,0.06978
6.8429,0.0705
6.8714,0.07122
6.8857,0.07194
6.9286,0.07266
6.9571,0.07338
6.9857,0.0741
7.1286,0.07482
7.1429,0.07554
7.1714,0.07626
7.2571,0.07698
7.3714,0.0777
7.4143,0.07842
7.5,0.07986
7.5143,0.08058
7.5286,0.08129
7.5571,0.08201
7.5714,0.08345
7.6143,0.08561
7.6429,0.08633
7.6714,0.08849
7.7143,0.08993
7.7429,0.09065
7.7714,0.09137
7.8714,0.09209
7.9,0.09281
7.9143,0.09353
7.9714,0.09424
8.0143,0.0964
8.0714,0.09712
8.1,0.09784
8.1429,0.09856
8.2,0.09928
8.2429,0.1
8.2571,0.10072
8.3,0.10144
8.3714,0.10216
8.3857,0.10288
8.4571,0.1036
8.4714,0.10432
8.5,0.10576
8.5143,0.10647
8.5714,0.10719
8.6286,0.10791
8.6429,0.10863
8.6714,0.10935
8.7,0.11007
8.7143,0.11079
8.7429,0.11151
8.7571,0.11223
8.7857,0.11295
8.8429,0.11367
8.9143,0.11439
8.9429,0.11511
8.9714,0.11583
9.0714,0.11655
9.1286,0.11727
9.1429,0.11799
9.1714,0.11871
9.2143,0.11942
9.2857,0.12014
9.3143,0.12086
9.3571,0.12158
9.3714,0.1223
9.4,0.12518
9.4143,0.1259
9.4286,0.12662
9.4571,0.12734
9.5429,0.12806
9.5857,0.12878
9.6286,0.1295
9.6571,0.13022
9.7286,0.13094
9.8,0.13165
9.8429,0.13237
9.9429,0.13309
9.9571,0.13381
10.0,0.13453
10.0429,0.13525
10.0857,0.13597
10.1143,0.13669
10.2143,0.13741
10.2429,0.13813
10.2571,0.13885
10.2714,0.13957
10.3143,0.14029
10.3429,0.14173
10.4143,0.14317
10.4571,0.14388
10.4857,0.14532
10.5429,0.14604
10.5714,0.14676
10.6286,0.14748
10.7,0.1482
10.7714,0.14964
10.8143,0.15036
10.8286,0.15108
10.8429,0.15324
10.8571,0.15396
10.9143,0.1554
10.9857,0.15612
11.0429,0.15683
11.0571,0.15755
11.1,0.15827
11.1143,0.15899
11.2143,0.15971
11.2714,0.16043
11.2857,0.16115
11.3,0.16187
11.3286,0.16259
11.3714,0.16403
11.3857,0.16475
11.4143,0.16619
11.4429,0.16691
11.5286,0.16906
11.5714,0.16978
11.5857,0.1705
11.6143,0.17122
11.6286,0.17194
11.7,0.17266
11.7286,0.17338
11.7857,0.17482
11.8143,0.17554
11.8714,0.17626
11.9,0.17698
11.9571,0.1777
11.9714,0.17842
11.9857,0.17914
12.0,0.17986
12.0286,0.18058
12.1571,0.18129
12.2,0.18273
12.2143,0.18345
12.3429,0.18489
12.4,0.18633
12.4143,0.18777
12.4429,0.18849
12.5143,0.18921
12.5286,0.18993
12.5714,0.19065
12.5857,0.19137
12.6286,0.19209
12.6571,0.19353
12.6714,0.19424
12.6857,0.19496
12.7143,0.19568
12.7571,0.1964
12.7714,0.19784
12.8,0.19856
12.8143,0.19928
12.8429,0.2
12.8571,0.20072
12.9,0.20144
13.0,0.20288
13.0429,0.2036
13.0714,0.20432
13.1143,0.20504
13.1286,0.20647
13.1857,0.20719
13.2,0.20791
13.2714,0.20863
13.2857,0.20935
13.3143,0.21151
13.4143,0.21223
13.4286,0.21295
13.4429,0.21367
13.5857,0.21439
13.6,0.21511
13.6286,0.21583
13.6571,0.21655
13.6857,0.21727
13.7,0.21799
13.7286,0.21871
13.8143,0.21942
13.8286,0.22014
13.9571,0.22086
14.0429,0.22158
14.1429,0.2223
14.1571,0.22302
14.1714,0.22374
14.1857,0.22446
14.2143,0.22518
14.2286,0.2259
14.2429,0.22662
14.2714,0.22806
14.2857,0.22878
14.3,0.2295
14.3143,0.23022
14.3286,0.23094
14.4,0.23165
14.4429,0.23237
14.5143,0.23309
14.5286,0.23381
14.5429,0.23453
14.5857,0.23525
14.6,0.23597
14.6571,0.23669
14.6714,0.23741
14.7286,0.23813
14.7571,0.23957
14.7857,0.24029
14.8429,0.24101
14.9,0.24173
14.9143,0.24317
14.9857,0.2446
15.0,0.24532
15.0286,0.24676
15.1429,0.24748
15.1857,0.2482
15.2857,0.24892
15.3,0.24964
15.3286,0.25036
15.3571,0.2518
15.3857,0.25252
15.4143,0.25324
15.4714,0.25396
15.5,0.25468
15.5143,0.2554
15.5857,0.25683
15.6429,0.25755
15.6571,0.25899
