delay_s,cdf
0.0,0.27143
0.073,0.28571
0.074,0.3
0.667,0.31429
0.853,0.32857
1.011,0.34286
1.263,0.35714
1.462,0.37143
1.472,0.38571
1.688,0.4
1.756,0.41429
2.073,0.42857
2.762,0.44286
2.93,0.45714
3.033,0.47143
3.066,0.48571
3.074,0.5
3.099,0.51429
3.112,0.52857
3.113,0.54286
3.143,0.55714
3.166,0.57143
3.181,0.58571
3.191,0.6
3.212,0.61429
3.293,0.62857
3.374,0.64286
3.415,0.65714
3.427,0.67143
3.496,0.68571
3.532,0.7
3.611,0.71429
3.625,0.72857
3.809,0.74286
3.849,0.75714
3.855,0.77143
3.932,0.78571
3.957,0.8
4.037,0.81429
4.133,0.82857
4.143,0.84286
4.163,0.85714
4.369,0.87143
4.571,0.88571
4.633,0.9
4.683,0.91429
4.712,0.92857
4.964,0.94286
4.985,0.95714
4.993,0.97143
5.212,0.98571
6.587,1.0
