delay_s,cdf
0.0,0.18841
0.066,0.2029
0.187,0.21739
0.189,0.23188
0.212,0.24638
0.398,0.26087
0.51,0.27536
0.594,0.28986
0.707,0.30435
0.759,0.31884
0.773,0.33333
0.905,0.34783
0.912,0.36232
0.982,0.37681
1.095,0.3913
1.217,0.4058
1.256,0.42029
1.401,0.43478
1.432,0.44928
1.435,0.46377
1.517,0.47826
1.705,0.49275
2.359,0.50725
2.477,0.52174
2.496,0.53623
2.547,0.55072
2.563,0.56522
2.687,0.57971
2.698,0.5942
2.731,0.6087
2.778,0.62319
3.011,0.63768
3.422,0.65217
3.531,0.66667
3.818,0.68116
3.99,0.69565
4.062,0.71014
4.111,0.72464
4.143,0.73913
4.221,0.75362
4.388,0.76812
4.46,0.78261
4.505,0.7971
4.641,0.81159
4.753,0.82609
4.878,0.84058
5.389,0.85507
5.571,0.86957
5.855,0.88406
5.885,0.89855
5.888,0.91304
6.622,0.92754
6.699,0.94203
9.109,0.95652
10.257,0.97101
10.452,0.98551
18.452,1.0
