delay_share_pct,cdf
0.0,0.27143
0.6488,0.28571
0.6559,0.3
5.8213,0.31429
7.6161,0.32857
8.3313,0.34286
10.3001,0.35714
11.9454,0.37143
12.9213,0.38571
13.3968,0.4
14.0739,0.41429
16.3931,0.42857
16.5787,0.44286
17.0768,0.45714
17.3171,0.47143
17.9012,0.48571
18.0497,0.5
18.1677,0.51429
18.2046,0.52857
18.5494,0.54286
18.6051,0.55714
18.6909,0.57143
18.853,0.58571
18.8995,0.6
19.0091,0.61429
19.0837,0.62857
19.4089,0.64286
19.4857,0.65714
19.4867,0.67143
19.5803,0.68571
19.6694,0.7
19.8814,0.71429
20.0709,0.72857
20.1215,0.74286
20.2789,0.75714
20.4104,0.77143
20.7171,0.78571
20.7759,0.8
20.8431,0.81429
21.5774,0.82857
21.7341,0.84286
22.0462,0.85714
22.2499,0.87143
22.692,0.88571
23.1728,0.9
23.3177,0.91429
23.573,0.92857
24.1993,0.94286
24.7331,0.95714
24.8747,0.97143
24.915,0.98571
32.0691,1.0
