delay_share_pct,cdf
0.0,0.18841
0.4609,0.2029
1.2271,0.21739
1.2595,0.23188
1.6986,0.24638
2.8016,0.26087
4.0127,0.27536
4.0944,0.28986
4.1995,0.30435
4.6044,0.31884
4.735,0.33333
5.1873,0.34783
5.3808,0.36232
5.4502,0.37681
5.876,0.3913
5.9134,0.4058
6.5651,0.42029
7.3263,0.43478
7.4333,0.44928
9.0937,0.46377
9.2448,0.47826
9.4679,0.49275
9.8284,0.50725
11.023,0.52174
12.6793,0.53623
12.9771,0.55072
13.0049,0.56522
13.1084,0.57971
14.0695,0.5942
14.5387,0.6087
14.993,0.62319
15.1049,0.63768
15.5742,0.65217
16.5595,0.66667
16.5693,0.68116
16.9117,0.69565
17.1271,0.71014
18.2986,0.72464
18.7184,0.73913
19.0803,0.75362
19.4723,0.76812
19.6007,0.78261
19.7669,0.7971
20.2592,0.81159
21.8328,0.82609
22.0628,0.84058
22.442,0.85507
23.7371,0.86957
24.4944,0.88406
25.1947,0.89855
25.5276,0.91304
26.1439,0.92754
27.2173,0.94203
31.4241,0.95652
34.4087,0.97101
39.4244,0.98551
52.8665,1.0
