quantile_pct,n,activation_pct,ci_lo_pct,ci_hi_pct
5,96,94.79,88.54,100.0
10,192,86.98,80.1,93.23
15,288,82.64,76.12,89.2
20,384,75.52,67.71,82.81
25,480,68.33,59.75,75.89
30,576,61.63,52.6,69.45
35,672,55.21,46.67,63.95
40,768,49.61,41.84,57.85
45,864,45.25,37.83,52.66
50,960,41.25,34.68,48.22
55,1056,38.07,31.92,44.56
60,1152,35.42,29.4,41.43
65,1248,32.85,27.14,38.65
70,1344,30.58,25.2,36.18
75,1440,28.54,23.52,33.77
80,1536,26.76,22.06,31.67
85,1632,25.18,20.76,29.8
90,1728,23.78,19.61,28.15
95,1824,22.53,18.57,26.67
100,1920,21.41,17.64,25.33
