quantile_pct,n,activation_pct,ci_lo_pct,ci_hi_pct
5,93,63.44,49.46,75.82
10,186,63.44,51.06,75.0
15,279,62.01,51.77,72.56
20,372,63.71,53.48,72.78
25,465,61.29,51.94,70.65
30,558,58.06,49.46,67.99
35,651,56.22,46.01,65.46
40,744,52.69,42.82,62.43
45,837,49.7,40.17,59.38
50,930,46.77,37.88,56.37
55,1023,44.18,35.14,53.45
60,1116,40.95,32.44,50.54
65,1209,38.21,30.2,47.36
70,1302,35.79,28.37,44.31
75,1395,33.62,26.5,41.83
80,1488,31.52,24.83,39.38
85,1581,29.73,23.47,37.06
90,1674,28.14,22.19,35.18
95,1767,26.66,21.03,33.32
100,1861,25.31,19.97,31.65
