dev,cond,run,shot,level,fmargin,arms,nkeys,fwall,rec_T,rec_P,rec_U,rec_admit,bokeh_fact,T,sP,sU,f_draft,f_stage,G_draft,G_stage,Ugap,Pslack,over,nboth,Pslack_pct,Ugap_pct,d_near,d_min5,d_med5,d_nneg,s_near,s_min5,s_med5,s_nneg,minneg,score
S26,24MP,14,17,3,826,draft mean3+stage mean3,BOKEH(/DECODI/FILTER/WATERM,928.0,1724.0,1195.0825372412155,2944.2685327641075,False,,1724.0,1195.0825372412155,2944.2685327641075,1071.6666666666667,1058.6666666666667,1773.0,1773.0,1220.2685327641075,528.9174627587845,49.0,2,30.679667213386573,70.78123739931019,-49.0,578.0,498.0,2,-49.0,578.0,498.0,2,2,70.78123739931019
S26U,12MP,21,22,6,433,stage mean3,BOKEH(,1978.0,2323.0,1597.326326474426,2160.882991594385,True,799.0,1375.0,1658.6600610952626,2220.0751283951327,,1252.0,,1573.0,845.0751283951327,-283.66006109526256,198.0,1,-20.629822625110005,61.46000933782783,433.0,-67.0,433.0,4,-198.0,-2.0,-123.0,8,8,61.46000933782783
S26U,24MP,30,19,6,2490,draft mean3+stage mean3,BOKEH(/DECODI/FILTER/WATERM,953.0,3401.0,746.4017975753243,1095.959969020369,False,,1502.0,1392.5503116718062,1942.2593662513293,1392.0,1371.0,1544.0,1544.0,440.2593662513293,109.44968832819382,42.0,2,7.286929981903715,29.311542360274924,-42.0,642.0,234.0,1,-42.0,642.0,234.0,1,1,29.311542360274924
S26,24MP,65,14,3,725,draft mean3+stage mean3,BOKEH(/DECODI/FILTER/WATERM,575.0,1263.0,1063.5479032816306,1699.0697831464731,False,,1263.0,1063.5479032816306,1699.0697831464731,1024.3333333333333,1029.6666666666667,1376.0,1359.0,436.0697831464731,199.45209671836938,113.0,2,15.791931648326948,34.52650697913485,-113.0,375.0,307.0,2,-96.0,375.0,307.0,2,2,34.52650697913485
S26U,24MP,53,30,3,2726,draft mean3,BOKEH(/DECODI/FILTER/WATERM,617.0,3319.0,515.9856059839806,734.4556544937004,False,,806.0,878.3160406764201,1224.3174443099679,801.3333333333334,,952.0,,418.31744430996787,-72.31604067642013,146.0,1,-8.972213483426815,51.900427333742904,-146.0,798.0,182.0,1,64.0,798.0,182.0,0,1,51.900427333742904
S26U,24MP,2,7,6,672,draft mean3+stage mean3,BOKEH(/DECODI/FILTER/WATERM,803.0,1447.0,1315.8990425093182,1725.5117666667409,False,,1447.0,1315.899042509318,1725.51176666674,1305.3333333333333,1275.3333333333333,1503.0,1503.0,278.51176666673996,131.10095749068205,56.0,2,9.060190566045753,19.247530522926052,-56.0,182.0,95.0,2,-56.0,182.0,95.0,2,2,19.247530522926052
S26U,24MP,35,14,4,355,draft mean3+stage mean3,BOKEH(/DECODI/FILTER/WATERM,685.0,1000.0,1021.421036101425,1231.0760850740007,False,,1000.0,1021.421036101425,1231.0760850740007,970.3333333333334,965.6666666666666,1035.0,1035.0,231.07608507400073,-21.42103610142499,35.0,2,-2.142103610142499,23.107608507400073,-35.0,69.0,-35.0,6,-35.0,69.0,-35.0,3,6,23.107608507400073
S26,24MP,52,8,5,254,draft mean3,BOKEH(/DECODI/FILTER/WATERM,794.0,1008.0,990.7532820086083,1183.5677579704009,False,,1008.0,990.7532820086083,1183.5677579704009,1002.0,,1123.0,,175.56775797040086,17.246717991391733,115.0,1,1.710983927717434,17.417436306587387,-115.0,-29.0,-104.0,8,200.0,-16.0,211.0,1,8,17.417436306587387
S26U,24MP,56,21,3,549,draft mean3+stage mean3,BOKEH(/DECODI/FILTER/WATERM,714.0,1247.0,457.5335939130201,672.3813467346466,False,,934.0,760.6311369613253,1104.7149337387402,767.6666666666666,745.0,1011.0,1011.0,170.71493373874023,173.3688630386747,77.0,2,18.561976770736052,18.277830164747346,-77.0,11.0,-53.0,6,-77.0,11.0,-53.0,6,6,18.277830164747346
S26U,24MP,60,15,3,214,stage mean3,BOKEH(,1204.0,1359.0,680.1927277238453,821.2510935467697,True,569.0,783.0,684.7645441660231,886.1902372217465,,709.3333333333334,,1145.0,103.19023722174654,98.23545583397686,362.0,1,12.546035227838678,13.17882978566367,15.0,15.0,-25.0,3,-362.0,-362.0,-392.0,3,3,13.17882978566367
