cond,bokeh,estimator,n,coverage_pct,under_p95_ms
12MP,faster (<-50ms),current: U,268,75.3731343283582,124.28152483906806
12MP,faster (<-50ms),naive mean3,268,97.38805970149254,-17.183333333333408
12MP,faster (<-50ms),naive max5,268,100.0,-100.35000000000002
12MP,typical (+-50ms),current: U,1807,85.77753182069728,34.73385778722861
12MP,typical (+-50ms),naive mean3,1807,54.23353624792474,81.2333333333333
12MP,typical (+-50ms),naive max5,1807,85.0027670171555,30.0
12MP,overrun 50-150ms,current: U,145,81.37931034482759,101.70578878199903
12MP,overrun 50-150ms,naive mean3,145,2.0689655172413794,292.4666666666666
12MP,overrun 50-150ms,naive max5,145,29.655172413793103,226.59999999999997
12MP,overrun >150ms,current: U,33,81.81818181818183,119.8714303859452
12MP,overrun >150ms,naive mean3,33,0.0,554.1999999999998
12MP,overrun >150ms,naive max5,33,12.121212121212121,456.99999999999994
24MP,faster (<-50ms),current: U,377,77.9840848806366,130.23640322073933
24MP,faster (<-50ms),naive mean3,377,92.83819628647215,28.799999999999955
24MP,faster (<-50ms),naive max5,377,97.34748010610079,-67.40000000000003
24MP,typical (+-50ms),current: U,982,83.29938900203666,70.29660419961593
24MP,typical (+-50ms),naive mean3,982,57.5356415478615,126.63333333333325
24MP,typical (+-50ms),naive max5,982,87.16904276985743,50.849999999999795
24MP,overrun 50-150ms,current: U,179,82.12290502793296,92.80371310833875
24MP,overrun 50-150ms,naive mean3,179,13.40782122905028,290.26666666666665
24MP,overrun 50-150ms,naive max5,179,56.98324022346368,195.7999999999999
24MP,overrun >150ms,current: U,55,65.45454545454545,295.19830242810366
24MP,overrun >150ms,naive mean3,55,0.0,773.7666666666667
24MP,overrun >150ms,naive max5,55,25.454545454545453,701.9
