cond,arm,runs,miss_caps,miss_runs,miss_seed_range,thin_lt70,min_margin,M_pct,S_pct
12MP,DEP,114,0,0,,11,11.0,68.83040935672514,90.84795321637426
12MP,DEP_P,114,17,14,10-18,47,-1090.0,72.83625730994152,85.46783625730994
12MP,mean1,114,6,6,6-9,29,-103.0,70.78947368421052,70.78947368421052
12MP,mean3,114,6,6,6-13,30,-103.0,70.93567251461988,70.93567251461988
12MP,mean5,114,12,9,6-14,34,-114.0,70.8187134502924,70.8187134502924
12MP,mean10,114,8,8,7-17,29,-70.0,70.64327485380117,70.64327485380117
12MP,max3,114,3,3,3-7,23,-70.0,70.43859649122807,70.43859649122807
12MP,max5,114,3,3,2-3,16,-70.0,70.02923976608187,70.02923976608187
12MP,max10,114,1,1,1-2,9,-63.0,69.21052631578948,69.21052631578948
12MP,cmean3,114,6,6,6-13,30,-103.0,70.93567251461988,70.93567251461988
12MP,cmax5,114,3,3,2-3,16,-70.0,70.02923976608187,70.02923976608187
12MP,mean3+50,114,3,3,2-7,17,-103.0,70.35087719298245,70.35087719298245
12MP,mean3+100,114,1,1,1-2,6,-63.0,69.21052631578948,69.21052631578948
12MP,mean3+150,114,1,1,1-1,5,-63.0,68.50877192982456,68.50877192982456
12MP,mean3+200,114,1,1,1-2,2,-63.0,67.98245614035088,67.98245614035088
12MP,mean3+300,114,1,1,1-1,1,-63.0,66.25730994152048,66.25730994152048
12MP,ALWAYS,114,949,67,927-938,979,-37299.0,100.0,100.0
24MP,DEP,112,0,0,,7,4.0,49.25595238095239,68.21428571428572
24MP,DEP_P,112,87,35,70-103,129,-677.0,54.4047619047619,67.58928571428572
24MP,mean1,112,16,11,19-31,33,-368.0,53.00595238095238,53.00595238095238
24MP,mean3,112,16,13,17-32,34,-368.0,53.095238095238095,53.095238095238095
24MP,mean5,112,29,14,20-39,48,-390.0,53.30357142857143,53.30357142857143
24MP,mean10,112,23,13,24-38,42,-672.0,53.035714285714285,53.035714285714285
24MP,max3,112,10,7,10-23,19,-368.0,52.023809523809526,52.023809523809526
24MP,max5,112,7,5,4-10,13,-368.0,50.83333333333333,50.83333333333333
24MP,max10,112,5,3,1-6,10,-368.0,49.55357142857143,49.55357142857143
24MP,cmean3,112,16,13,17-32,34,-368.0,53.095238095238095,53.095238095238095
24MP,cmax5,112,7,5,4-10,13,-368.0,50.83333333333333,50.83333333333333
24MP,mean3+50,112,13,10,9-26,29,-368.0,52.58928571428572,52.58928571428572
24MP,mean3+100,112,9,7,2-18,19,-368.0,52.023809523809526,52.023809523809526
24MP,mean3+150,112,7,5,6-12,17,-368.0,51.60714285714286,51.60714285714286
24MP,mean3+200,112,3,2,0-6,12,-113.0,50.92261904761904,50.92261904761904
24MP,mean3+300,112,2,1,1-3,8,-59.0,48.83928571428572,48.83928571428572
24MP,ALWAYS,112,1545,87,1520-1536,1565,-37981.0,100.0,100.0
