cond,arm,miss,miss_runs,seeds,min5,med5,thin70,min_margin,M,S
12MP,DEP,0,0,,,,11,11.0,68.83040935672514,90.84795321637426
12MP,DEP_P,17,14,10-15,12,10,47,-1090.0,72.83625730994152,85.46783625730994
12MP,st_mean1,11,7,9-15,5,14,41,-220.0,71.05263157894737,87.36842105263159
12MP,st_mean3,10,6,8-15,4,12,43,-220.0,71.19883040935673,89.09356725146199
12MP,st_mean5,8,6,10-11,6,14,41,-220.0,71.6374269005848,88.50877192982456
12MP,st_mean10,12,8,9-15,10,11,41,-220.0,71.54970760233918,88.50877192982456
12MP,st_max3,3,2,2-5,2,3,22,-220.0,70.0,90.93567251461988
12MP,st_max5,2,1,2-2,2,2,14,-220.0,69.61988304093568,91.37426900584795
12MP,st_max10,2,1,2-2,2,2,9,-220.0,68.74269005847952,90.6140350877193
12MP,st_mean3+ovh,7,3,2-7,3,7,25,-220.0,72.51461988304094,85.81871345029239
12MP,st_max5+ovh,2,1,2-2,2,1,7,-220.0,69.00584795321637,91.4327485380117
12MP,st_mean3+50,7,3,3-5,3,7,24,-220.0,71.60818713450293,87.13450292397661
12MP,st_mean3+100,2,1,1-4,3,3,11,-198.0,69.67836257309942,90.84795321637426
12MP,st_mean3+150,0,0,0-4,3,3,3,9.0,68.94736842105263,88.85964912280701
12MP,st_mean3+200,2,1,0-3,1,1,2,-76.0,69.21052631578948,84.73684210526315
12MP,st_mean3+300,0,0,0-0,0,0,0,89.0,67.2514619883041,82.30994152046783
24MP,DEP,0,0,,,,7,4.0,49.25595238095239,68.21428571428572
24MP,DEP_P,87,35,70-103,80,93,129,-677.0,54.4047619047619,67.58928571428572
24MP,st_mean1,83,30,55-79,61,76,128,-474.0,53.422619047619044,67.55952380952381
24MP,st_mean3,60,28,62-96,84,76,104,-368.0,53.89880952380952,65.74404761904762
24MP,st_mean5,72,33,76-83,75,80,114,-1342.0,53.80952380952381,66.33928571428571
24MP,st_mean10,70,31,77-88,68,86,113,-522.0,53.39285714285714,67.05357142857142
24MP,st_max3,44,15,35-51,37,40,66,-492.0,52.23214285714286,67.70833333333334
24MP,st_max5,31,10,17-30,16,22,47,-492.0,50.416666666666664,67.26190476190477
24MP,st_max10,25,7,10-16,12,12,36,-492.0,48.898809523809526,64.52380952380953
24MP,st_mean3+ovh,41,19,28-50,36,41,67,-1293.0,53.779761904761905,64.375
24MP,st_max5+ovh,28,9,13-23,12,21,40,-492.0,50.208333333333336,66.30952380952381
24MP,st_mean3+50,46,19,47-54,44,48,72,-1293.0,53.80952380952381,64.67261904761905
24MP,st_mean3+100,40,15,32-46,30,41,57,-1293.0,52.85714285714286,64.70238095238095
24MP,st_mean3+150,20,7,21-43,22,27,30,-1293.0,52.5,64.46428571428572
24MP,st_mean3+200,10,6,7-21,5,11,18,-324.0,51.24999999999999,63.125
24MP,st_mean3+300,9,2,2-11,5,7,15,-391.0,49.702380952380956,61.517857142857146
