dev,cond,margin,imp,miss,runs,M,S,n
S26U,12MP,0,None,2,1,1211,1420,1650
S26U,12MP,0,min5,1,1,1193,1540,1650
S26U,12MP,0,med5,2,1,1201,1472,1650
S26U,12MP,150,None,0,0,1155,1518,1650
S26U,12MP,150,min5,1,1,1155,1558,1650
S26U,12MP,150,med5,0,0,1157,1524,1650
S26U,12MP,300,None,0,0,1099,1448,1650
S26U,12MP,300,min5,0,0,1101,1456,1650
S26U,12MP,300,med5,0,0,1099,1467,1650
S26U,12MP,400,None,0,0,1073,1371,1650
S26U,12MP,400,min5,0,0,1075,1367,1650
S26U,12MP,400,med5,0,0,1074,1367,1650
S26U,12MP,500,None,0,0,1046,1217,1650
S26U,12MP,500,min5,0,0,1045,1239,1650
S26U,12MP,500,med5,0,0,1045,1228,1650
S26U,12MP,700,None,0,0,1023,1089,1650
S26U,12MP,700,min5,0,0,1035,1096,1650
S26U,12MP,700,med5,0,0,1031,1096,1650
S26U,12MP,1000,None,0,0,926,1042,1650
S26U,12MP,1000,min5,0,0,926,1042,1650
S26U,12MP,1000,med5,0,0,926,1042,1650
S26U,12MP,DEP,None,0,0,1119,1590,1650
S26U,24MP,0,None,27,11,778,1043,1710
S26U,24MP,0,min5,31,12,805,1178,1710
S26U,24MP,0,med5,32,11,782,1119,1710
S26U,24MP,150,None,3,2,741,1021,1710
S26U,24MP,150,min5,4,2,742,1116,1710
S26U,24MP,150,med5,8,4,744,1063,1710
S26U,24MP,300,None,9,2,715,947,1710
S26U,24MP,300,min5,1,1,730,982,1710
S26U,24MP,300,med5,2,1,720,958,1710
S26U,24MP,400,None,0,0,657,901,1710
S26U,24MP,400,min5,0,0,659,919,1710
S26U,24MP,400,med5,2,1,657,914,1710
S26U,24MP,500,None,0,0,632,801,1710
S26U,24MP,500,min5,0,0,635,813,1710
S26U,24MP,500,med5,0,0,633,807,1710
S26U,24MP,700,None,0,0,593,748,1710
S26U,24MP,700,min5,0,0,594,748,1710
S26U,24MP,700,med5,0,0,594,742,1710
S26U,24MP,1000,None,0,0,517,624,1710
S26U,24MP,1000,min5,0,0,517,624,1710
S26U,24MP,1000,med5,0,0,517,624,1710
S26U,24MP,DEP,None,0,0,702,1140,1710
S26,12MP,0,None,5,2,1269,1515,1770
S26,12MP,0,min5,2,1,1256,1542,1770
S26,12MP,0,med5,5,2,1263,1526,1770
S26,12MP,150,None,2,1,1206,1388,1770
S26,12MP,150,min5,0,0,1205,1392,1770
S26,12MP,150,med5,1,1,1205,1391,1770
S26,12MP,300,None,0,0,1156,1300,1770
S26,12MP,300,min5,0,0,1156,1300,1770
S26,12MP,300,med5,0,0,1156,1300,1770
S26,12MP,400,None,0,0,1145,1210,1770
S26,12MP,400,min5,0,0,1145,1210,1770
S26,12MP,400,med5,0,0,1145,1210,1770
S26,12MP,500,None,0,0,1115,1173,1770
S26,12MP,500,min5,0,0,1115,1173,1770
S26,12MP,500,med5,0,0,1115,1173,1770
S26,12MP,700,None,0,0,1070,1133,1770
S26,12MP,700,min5,0,0,1070,1133,1770
S26,12MP,700,med5,0,0,1070,1133,1770
S26,12MP,1000,None,0,0,1007,1053,1770
S26,12MP,1000,min5,0,0,1007,1053,1770
S26,12MP,1000,med5,0,0,1007,1053,1770
S26,12MP,DEP,None,0,0,1235,1517,1770
S26,24MP,0,None,14,8,1029,1120,1650
S26,24MP,0,min5,5,4,1051,1144,1650
S26,24MP,0,med5,9,5,1037,1125,1650
S26,24MP,150,None,7,4,992,1085,1650
S26,24MP,150,min5,1,1,1021,1126,1650
S26,24MP,150,med5,4,2,996,1137,1650
S26,24MP,300,None,0,0,934,1052,1650
S26,24MP,300,min5,1,1,950,1113,1650
S26,24MP,300,med5,0,0,933,1095,1650
S26,24MP,400,None,0,0,931,1028,1650
S26,24MP,400,min5,1,1,936,1035,1650
S26,24MP,400,med5,0,0,931,1052,1650
S26,24MP,500,None,0,0,904,992,1650
S26,24MP,500,min5,0,0,910,1017,1650
S26,24MP,500,med5,0,0,911,987,1650
S26,24MP,700,None,0,0,817,905,1650
S26,24MP,700,min5,0,0,819,906,1650
S26,24MP,700,med5,0,0,817,907,1650
S26,24MP,1000,None,0,0,761,818,1650
S26,24MP,1000,min5,0,0,761,819,1650
S26,24MP,1000,med5,0,0,761,818,1650
S26,24MP,DEP,None,0,0,953,1152,1650
