dev,cond,scale,imp,miss,runs,M,S,n
S26U,12MP,1.1,None,0,0,1132,1581,1650
S26U,12MP,1.1,min5,1,1,1140,1599,1650
S26U,12MP,1.1,med5,2,1,1132,1589,1650
S26U,12MP,1.2,None,0,0,1106,1590,1650
S26U,12MP,1.2,min5,0,0,1109,1608,1650
S26U,12MP,1.2,med5,0,0,1106,1608,1650
S26U,12MP,1.3,None,0,0,1090,1584,1650
S26U,12MP,1.3,min5,0,0,1092,1591,1650
S26U,12MP,1.3,med5,0,0,1091,1591,1650
S26U,12MP,1.4,None,0,0,1063,1515,1650
S26U,12MP,1.4,min5,0,0,1065,1511,1650
S26U,12MP,1.4,med5,0,0,1064,1522,1650
S26U,12MP,1.5,None,0,0,1030,1462,1650
S26U,12MP,1.5,min5,0,0,1030,1462,1650
S26U,12MP,1.5,med5,0,0,1030,1462,1650
S26U,12MP,1.7,None,0,0,971,1332,1650
S26U,12MP,1.7,min5,0,0,971,1332,1650
S26U,12MP,1.7,med5,0,0,971,1332,1650
S26U,12MP,2.0,None,0,0,912,1168,1650
S26U,12MP,2.0,min5,0,0,912,1168,1650
S26U,12MP,2.0,med5,0,0,912,1168,1650
S26U,24MP,1.1,None,21,6,740,1131,1710
S26U,24MP,1.1,min5,15,5,763,1183,1710
S26U,24MP,1.1,med5,22,7,749,1150,1710
S26U,24MP,1.2,None,10,3,718,1119,1710
S26U,24MP,1.2,min5,4,2,729,1185,1710
S26U,24MP,1.2,med5,10,5,725,1131,1710
S26U,24MP,1.3,None,9,2,691,1103,1710
S26U,24MP,1.3,min5,4,2,702,1126,1710
S26U,24MP,1.3,med5,5,3,695,1114,1710
S26U,24MP,1.4,None,9,2,654,1081,1710
S26U,24MP,1.4,min5,0,0,664,1094,1710
S26U,24MP,1.4,med5,2,1,654,1090,1710
S26U,24MP,1.5,None,7,1,628,1004,1710
S26U,24MP,1.5,min5,0,0,630,1018,1710
S26U,24MP,1.5,med5,0,0,628,1016,1710
S26U,24MP,1.7,None,0,0,571,903,1710
S26U,24MP,1.7,min5,0,0,573,922,1710
S26U,24MP,1.7,med5,0,0,571,922,1710
S26U,24MP,2.0,None,0,0,508,823,1710
S26U,24MP,2.0,min5,0,0,508,823,1710
S26U,24MP,2.0,med5,0,0,508,823,1710
S26,12MP,1.1,None,0,0,1233,1535,1770
S26,12MP,1.1,min5,2,1,1233,1542,1770
S26,12MP,1.1,med5,1,1,1233,1537,1770
S26,12MP,1.2,None,0,0,1195,1422,1770
S26,12MP,1.2,min5,2,1,1198,1422,1770
S26,12MP,1.2,med5,1,1,1198,1421,1770
S26,12MP,1.3,None,0,0,1163,1382,1770
S26,12MP,1.3,min5,0,0,1163,1382,1770
S26,12MP,1.3,med5,0,0,1163,1382,1770
S26,12MP,1.4,None,0,0,1154,1350,1770
S26,12MP,1.4,min5,0,0,1154,1350,1770
S26,12MP,1.4,med5,0,0,1154,1350,1770
S26,12MP,1.5,None,0,0,1124,1267,1770
S26,12MP,1.5,min5,0,0,1124,1267,1770
S26,12MP,1.5,med5,0,0,1124,1267,1770
S26,12MP,1.7,None,0,0,1079,1201,1770
S26,12MP,1.7,min5,0,0,1079,1201,1770
S26,12MP,1.7,med5,0,0,1079,1201,1770
S26,12MP,2.0,None,0,0,1026,1154,1770
S26,12MP,2.0,min5,0,0,1026,1154,1770
S26,12MP,2.0,med5,0,0,1026,1154,1770
S26,24MP,1.1,None,18,6,1009,1129,1650
S26,24MP,1.1,min5,10,3,1029,1146,1650
S26,24MP,1.1,med5,12,4,1013,1154,1650
S26,24MP,1.2,None,4,2,987,1087,1650
S26,24MP,1.2,min5,1,1,996,1153,1650
S26,24MP,1.2,med5,2,1,991,1151,1650
S26,24MP,1.3,None,2,1,941,1089,1650
S26,24MP,1.3,min5,1,1,960,1131,1650
S26,24MP,1.3,med5,0,0,942,1127,1650
S26,24MP,1.4,None,0,0,906,1084,1650
S26,24MP,1.4,min5,0,0,916,1123,1650
S26,24MP,1.4,med5,0,0,907,1110,1650
S26,24MP,1.5,None,0,0,890,1061,1650
S26,24MP,1.5,min5,0,0,896,1101,1650
S26,24MP,1.5,med5,0,0,891,1088,1650
S26,24MP,1.7,None,0,0,827,1046,1650
S26,24MP,1.7,min5,0,0,827,1068,1650
S26,24MP,1.7,med5,0,0,827,1068,1650
S26,24MP,2.0,None,0,0,771,955,1650
S26,24MP,2.0,min5,0,0,772,976,1650
S26,24MP,2.0,med5,0,0,772,955,1650
