cond,arm,n,runs,engaged,engaged_pct,delay_s_per_run,total_delay_s,per_decision_ms,pos_median_ms,pos_p95_ms,ref_engaged,not_engaged_when_ref_did,not_engaged_pct,engaged_when_ref_did_not,shortfall_s,excess_s,backlog_err_median_ms,backlog_mae_ms,backlog_cover_pct,reserve_median_ms,reserve_pctile_vs_realized,engage_agree_recorded_pct
12MP,current,2947,116,870,29.52154733627418,2.609939655172414,302.753,102.73260943332203,298.5,817.55,465,39,8.387096774193548,444,23.337,206.791,-56.0,347.714625042416,36.98676620291822,879.0,85.78215134034612,94.67254835425857
12MP,mean1,2947,116,676,22.938581608415337,1.9258189655172415,223.395,75.80420766881575,271.5,819.75,465,78,16.774193548387096,289,28.803,132.899,-15.0,239.68442483881913,43.53579911774686,776.0,57.380386834068545,87.27519511367493
12MP,mean3,2947,116,739,25.07634882931795,1.8128275862068965,210.288,71.3566338649474,255.0,617.3000000000001,465,52,11.182795698924732,326,26.81,117.799,-6.0,258.58092975907704,47.81133355955209,780.0,61.723786901934176,88.93790295215473
12MP,mean5,2947,116,771,26.162198846284358,1.8406810344827587,213.519,72.45300305395317,249.0,598.5,465,71,15.268817204301076,377,29.661,123.881,7.0,291.15274855785543,52.39226331862912,787.0,65.49032914828639,89.68442483881914
12MP,mean10,2947,116,817,27.723108245673565,2.042206896551724,236.896,80.38547675602308,257.0,645.9999999999993,465,105,22.580645161290324,457,40.12,157.717,35.80000000000018,373.946417933761,59.75568374618256,817.8,68.34068544282322,88.32711231761114
12MP,max3,2947,116,948,32.168306752629796,3.113284482758621,361.141,122.54530030539532,333.0,880.5499999999998,465,30,6.451612903225806,513,12.537,254.379,60.0,325.07872412623004,69.08720732948761,829.0,76.48456057007125,91.34713267729894
12MP,max5,2947,116,1117,37.902952154733626,4.259112068965518,494.057,167.6474380726162,386.0,991.2000000000003,465,21,4.516129032258065,673,9.155,383.913,142.0,440.1343739395996,79.94570749915168,860.0,83.27112317611129,91.51679674244994
12MP,max10,2947,116,1337,45.36817102137768,7.043293103448276,817.022,277.2385476756023,550.0,1344.0000000000005,465,15,3.225806451612903,887,5.558,703.281,304.0,683.1618595181541,88.76823888700373,968.0,88.36104513064133,87.10553104852391
24MP,current,3002,116,999,33.27781479013991,3.591344827586207,416.596,138.7728181212525,319.0,1108.3999999999996,439,70,15.945330296127562,630,53.538,313.169,-78.0,510.5286475682878,42.7381745502998,1130.0627076999886,91.43904063957362,91.20586275816123
24MP,mean1,3002,116,688,22.918054630246502,2.8678620689655174,332.672,110.81678880746169,352.5,1425.5499999999993,439,103,23.462414578587698,352,53.127,228.834,-14.0,440.04030646235844,48.13457694870086,764.0,64.35709526982012,78.91405729513657
24MP,mean3,3002,116,722,24.050632911392405,2.4382327586206896,282.835,94.43572621035058,299.5,1087.7999999999997,439,93,21.184510250569478,376,55.812,181.682,54.0,440.9375486597709,55.52964690206529,784.3333333333334,71.05263157894737,79.18054630246503
24MP,mean5,3002,116,805,26.81545636242505,2.5881379310344825,300.224,100.34224598930481,304.0,961.8,439,75,17.084282460136674,442,55.023,198.3,154.5,483.39671565352927,63.82411725516322,813.2,76.11592271818787,81.27914723517655
24MP,mean10,3002,116,948,31.57894736842105,3.031206896551724,351.62,117.71677268162036,290.0,936.3,439,71,16.173120728929383,583,52.857,247.628,319.0,587.4499868565694,75.68287808127914,863.1428571428571,83.94403730846103,82.11192538307795
24MP,max3,3002,116,1107,36.87541638907395,5.0925,590.73,197.23873121869784,404.0,1483.4000000000005,439,42,9.567198177676538,710,32.112,465.877,278.0,635.9666332999666,73.15123251165889,869.0,81.8454363757495,83.2111925383078
24MP,max5,3002,116,1445,48.13457694870086,8.113077586206897,941.117,314.54445187165777,521.0,1674.6,439,18,4.100227790432802,1025,19.155,803.325,624.0,911.2264529058116,84.67688207861426,968.0,89.50699533644237,81.27914723517655
24MP,max10,3002,116,1956,65.15656229180547,16.027913793103448,1859.238,622.4432541011048,815.0,2242.0,439,8,1.8223234624145785,1528,7.524,1709.913,1251.0,1503.7962529274005,94.07061958694204,1171.0,94.50366422385076,71.51898734177216
