cond,B,C,engaged_pct,delay_s_per_run,not_engaged_pct,reserve_cover_pct,backlog_err_median_ms
12MP,current,current,29.52154733627418,2.609939655172414,8.387096774193548,85.78215134034612,-56.0
12MP,draft,draft mean-3,25.07634882931795,1.8128275862068965,11.182795698924732,61.723786901934176,-6.0
12MP,draft,stage mean-3,25.008483203257548,1.7849396551724137,13.978494623655914,54.66576179165252,-6.0
12MP,draft,draft max-3,27.315914489311165,2.1692758620689654,9.24731182795699,76.48456057007125,-6.0
12MP,draft,draft max-5,29.487614523243977,2.39998275862069,7.956989247311828,83.27112317611129,-6.0
12MP,draft,draft max-10,33.1523583305056,2.965301724137931,5.376344086021505,88.36104513064133,-6.0
12MP,draft,stage max-3,29.11435357991177,2.3582241379310345,9.67741935483871,74.72005429250085,-6.0
12MP,draft,stage max-5,31.28605361384459,2.6531293103448275,8.387096774193548,82.6603325415677,-6.0
12MP,draft,stage max-10,34.71326772989481,3.196905172413793,5.376344086021505,87.98778418730913,-6.0
12MP,stage,draft mean-3,25.381744146589753,2.111689655172414,21.0752688172043,61.723786901934176,-22.0
12MP,stage,stage mean-3,27.621309806582968,2.7375172413793107,28.387096774193548,54.66576179165252,-22.0
12MP,stage,draft max-3,28.67322701051917,2.509698275862069,16.129032258064516,76.48456057007125,-22.0
12MP,stage,draft max-5,30.878859857482183,2.8208793103448273,13.548387096774194,83.27112317611129,-22.0
12MP,stage,draft max-10,36.681370885646416,3.6098706896551724,9.89247311827957,88.36104513064133,-22.0
12MP,stage,stage max-3,33.118425517475394,3.4125775862068966,18.9247311827957,74.72005429250085,-22.0
12MP,stage,stage max-5,35.62945368171022,3.729146551724138,15.268817204301076,82.6603325415677,-22.0
12MP,stage,stage max-10,40.54971157108924,4.439431034482759,9.89247311827957,87.98778418730913,-22.0
24MP,current,current,33.233333333333334,3.577189655172414,15.945330296127562,91.43333333333334,-78.0
24MP,draft,draft mean-3,24.0,2.4307155172413797,21.184510250569478,71.03333333333333,53.999999999999545
24MP,draft,stage mean-3,27.43333333333333,2.7521293103448277,24.373576309794988,78.60000000000001,53.999999999999545
24MP,draft,draft max-3,27.766666666666666,3.0908275862068963,18.678815489749432,81.83333333333334,53.999999999999545
24MP,draft,draft max-5,31.766666666666666,3.5765862068965517,13.439635535307517,89.5,53.999999999999545
24MP,draft,draft max-10,39.166666666666664,4.6890258620689655,9.111617312072893,94.5,53.999999999999545
24MP,draft,stage max-3,34.43333333333333,4.127913793103448,17.767653758542142,88.83333333333333,53.999999999999545
24MP,draft,stage max-5,38.766666666666666,4.884870689655172,12.072892938496583,93.83333333333333,53.999999999999545
24MP,draft,stage max-10,45.300000000000004,6.137387931034483,7.061503416856492,96.3,53.999999999999545
24MP,stage,draft mean-3,33.36666666666667,4.305422413793103,28.47380410022779,71.03333333333333,457.16666666666663
24MP,stage,stage mean-3,39.06666666666666,6.8265,30.751708428246015,78.60000000000001,457.16666666666663
24MP,stage,draft max-3,37.7,5.214844827586207,25.056947608200456,81.83333333333334,457.16666666666663
24MP,stage,draft max-5,42.3,6.001387931034483,20.72892938496583,89.5,457.16666666666663
24MP,stage,draft max-10,52.233333333333334,8.201827586206896,14.123006833712983,94.5,457.16666666666663
24MP,stage,stage max-3,45.5,8.764413793103449,25.284738041002278,88.83333333333333,457.16666666666663
24MP,stage,stage max-5,49.86666666666667,9.830172413793104,18.451025056947607,93.83333333333333,457.16666666666663
24MP,stage,stage max-10,56.599999999999994,11.535422413793103,10.933940774487471,96.3,457.16666666666663
