pop,arm,cond,group,FA,FS,UA,US,FS%,UA%
RQ3 pool,"U (recorded, table field)",12MP normal,Multi-frame,831,16,4,31,1.8890200708382527,11.428571428571429
RQ3 pool,"U (recorded, table field)",12MP normal,Single-frame,842,5,0,35,0.5903187721369539,0.0
RQ3 pool,"U (recorded, table field)",24MP memory,Multi-frame,892,50,1,53,5.307855626326964,1.8518518518518519
RQ3 pool,"U (recorded, table field)",24MP memory,Single-frame,905,27,3,51,2.8969957081545066,5.555555555555555
RQ3 pool,"U (recorded, table field)",ALL,ALL,3470,98,8,170,2.7466367713004485,4.49438202247191
RQ3 pool,U (runtime decision),12MP normal,Multi-frame,831,16,4,31,1.8890200708382527,11.428571428571429
RQ3 pool,U (runtime decision),12MP normal,Single-frame,842,5,0,35,0.5903187721369539,0.0
RQ3 pool,U (runtime decision),24MP memory,Multi-frame,892,50,1,53,5.307855626326964,1.8518518518518519
RQ3 pool,U (runtime decision),24MP memory,Single-frame,905,27,3,51,2.8969957081545066,5.555555555555555
RQ3 pool,U (runtime decision),ALL,ALL,3470,98,8,170,2.7466367713004485,4.49438202247191
RQ3 pool,P-hat only,12MP normal,Multi-frame,847,0,10,25,0.0,28.571428571428573
RQ3 pool,P-hat only,12MP normal,Single-frame,847,0,6,29,0.0,17.142857142857142
RQ3 pool,P-hat only,24MP memory,Multi-frame,939,3,17,37,0.3184713375796178,31.48148148148148
RQ3 pool,P-hat only,24MP memory,Single-frame,932,0,14,40,0.0,25.925925925925927
RQ3 pool,P-hat only,ALL,ALL,3565,3,47,131,0.08408071748878924,26.40449438202247
RQ3 pool,draft mean-1,12MP normal,Multi-frame,842,5,7,28,0.5903187721369539,20.0
RQ3 pool,draft mean-1,12MP normal,Single-frame,842,5,7,28,0.5903187721369539,20.0
RQ3 pool,draft mean-1,24MP memory,Multi-frame,926,16,14,40,1.6985138004246285,25.925925925925927
RQ3 pool,draft mean-1,24MP memory,Single-frame,916,16,14,40,1.7167381974248928,25.925925925925927
RQ3 pool,draft mean-1,ALL,ALL,3526,42,42,136,1.1771300448430493,23.59550561797753
RQ3 pool,draft mean-3,12MP normal,Multi-frame,845,2,10,25,0.2361275088547816,28.571428571428573
RQ3 pool,draft mean-3,12MP normal,Single-frame,845,2,10,25,0.2361275088547816,28.571428571428573
RQ3 pool,draft mean-3,24MP memory,Multi-frame,932,10,15,39,1.0615711252653928,27.77777777777778
RQ3 pool,draft mean-3,24MP memory,Single-frame,922,10,15,39,1.0729613733905579,27.77777777777778
RQ3 pool,draft mean-3,ALL,ALL,3544,24,50,128,0.672645739910314,28.089887640449437
RQ3 pool,draft mean-5,12MP normal,Multi-frame,844,3,8,27,0.3541912632821724,22.857142857142858
RQ3 pool,draft mean-5,12MP normal,Single-frame,844,3,8,27,0.3541912632821724,22.857142857142858
RQ3 pool,draft mean-5,24MP memory,Multi-frame,932,10,12,42,1.0615711252653928,22.22222222222222
RQ3 pool,draft mean-5,24MP memory,Single-frame,922,10,12,42,1.0729613733905579,22.22222222222222
RQ3 pool,draft mean-5,ALL,ALL,3542,26,40,138,0.7286995515695067,22.471910112359552
RQ3 pool,draft mean-10,12MP normal,Multi-frame,841,6,6,29,0.7083825265643447,17.142857142857142
RQ3 pool,draft mean-10,12MP normal,Single-frame,841,6,6,29,0.7083825265643447,17.142857142857142
RQ3 pool,draft mean-10,24MP memory,Multi-frame,932,10,8,46,1.0615711252653928,14.814814814814815
RQ3 pool,draft mean-10,24MP memory,Single-frame,922,10,8,46,1.0729613733905579,14.814814814814815
RQ3 pool,draft mean-10,ALL,ALL,3536,32,28,150,0.8968609865470852,15.730337078651685
RQ3 pool,draft max-1,12MP normal,Multi-frame,842,5,7,28,0.5903187721369539,20.0
RQ3 pool,draft max-1,12MP normal,Single-frame,842,5,7,28,0.5903187721369539,20.0
RQ3 pool,draft max-1,24MP memory,Multi-frame,926,16,14,40,1.6985138004246285,25.925925925925927
RQ3 pool,draft max-1,24MP memory,Single-frame,916,16,14,40,1.7167381974248928,25.925925925925927
RQ3 pool,draft max-1,ALL,ALL,3526,42,42,136,1.1771300448430493,23.59550561797753
RQ3 pool,draft max-3,12MP normal,Multi-frame,838,9,5,30,1.062573789846517,14.285714285714286
RQ3 pool,draft max-3,12MP normal,Single-frame,838,9,5,30,1.062573789846517,14.285714285714286
RQ3 pool,draft max-3,24MP memory,Multi-frame,912,30,8,46,3.1847133757961785,14.814814814814815
RQ3 pool,draft max-3,24MP memory,Single-frame,902,30,8,46,3.218884120171674,14.814814814814815
RQ3 pool,draft max-3,ALL,ALL,3490,78,26,152,2.18609865470852,14.606741573033707
RQ3 pool,draft max-5,12MP normal,Multi-frame,836,11,5,30,1.2987012987012987,14.285714285714286
RQ3 pool,draft max-5,12MP normal,Single-frame,836,11,5,30,1.2987012987012987,14.285714285714286
RQ3 pool,draft max-5,24MP memory,Multi-frame,897,45,5,49,4.777070063694268,9.25925925925926
RQ3 pool,draft max-5,24MP memory,Single-frame,887,45,5,49,4.828326180257511,9.25925925925926
RQ3 pool,draft max-5,ALL,ALL,3456,112,20,158,3.1390134529147984,11.235955056179776
RQ3 pool,draft max-10,12MP normal,Multi-frame,824,23,3,32,2.7154663518299884,8.571428571428571
RQ3 pool,draft max-10,12MP normal,Single-frame,824,23,3,32,2.7154663518299884,8.571428571428571
RQ3 pool,draft max-10,24MP memory,Multi-frame,871,71,1,53,7.537154989384288,1.8518518518518519
RQ3 pool,draft max-10,24MP memory,Single-frame,861,71,1,53,7.618025751072961,1.8518518518518519
RQ3 pool,draft max-10,ALL,ALL,3380,188,8,170,5.2690582959641254,4.49438202247191
RQ3 pool,stage mean-1,12MP normal,Multi-frame,844,3,7,28,0.3541912632821724,20.0
RQ3 pool,stage mean-1,12MP normal,Single-frame,845,2,2,33,0.2361275088547816,5.714285714285714
RQ3 pool,stage mean-1,24MP memory,Multi-frame,928,14,17,37,1.4861995753715498,31.48148148148148
RQ3 pool,stage mean-1,24MP memory,Single-frame,926,6,12,42,0.6437768240343348,22.22222222222222
RQ3 pool,stage mean-1,ALL,ALL,3543,25,38,140,0.7006726457399103,21.348314606741575
RQ3 pool,stage mean-3,12MP normal,Multi-frame,845,2,10,25,0.2361275088547816,28.571428571428573
RQ3 pool,stage mean-3,12MP normal,Single-frame,847,0,4,31,0.0,11.428571428571429
RQ3 pool,stage mean-3,24MP memory,Multi-frame,933,9,17,37,0.9554140127388535,31.48148148148148
RQ3 pool,stage mean-3,24MP memory,Single-frame,929,3,11,43,0.3218884120171674,20.37037037037037
RQ3 pool,stage mean-3,ALL,ALL,3554,14,42,136,0.3923766816143498,23.59550561797753
RQ3 pool,stage mean-5,12MP normal,Multi-frame,845,2,11,24,0.2361275088547816,31.428571428571427
RQ3 pool,stage mean-5,12MP normal,Single-frame,847,0,4,31,0.0,11.428571428571429
RQ3 pool,stage mean-5,24MP memory,Multi-frame,935,7,14,40,0.7430997876857749,25.925925925925927
RQ3 pool,stage mean-5,24MP memory,Single-frame,929,3,8,46,0.3218884120171674,14.814814814814815
RQ3 pool,stage mean-5,ALL,ALL,3556,12,37,141,0.336322869955157,20.786516853932586
RQ3 pool,stage mean-10,12MP normal,Multi-frame,843,4,7,28,0.4722550177095632,20.0
RQ3 pool,stage mean-10,12MP normal,Single-frame,847,0,4,31,0.0,11.428571428571429
RQ3 pool,stage mean-10,24MP memory,Multi-frame,935,7,10,44,0.7430997876857749,18.51851851851852
RQ3 pool,stage mean-10,24MP memory,Single-frame,930,2,10,44,0.2145922746781116,18.51851851851852
RQ3 pool,stage mean-10,ALL,ALL,3555,13,31,147,0.36434977578475336,17.415730337078653
RQ3 pool,stage max-1,12MP normal,Multi-frame,844,3,7,28,0.3541912632821724,20.0
RQ3 pool,stage max-1,12MP normal,Single-frame,845,2,2,33,0.2361275088547816,5.714285714285714
RQ3 pool,stage max-1,24MP memory,Multi-frame,928,14,17,37,1.4861995753715498,31.48148148148148
RQ3 pool,stage max-1,24MP memory,Single-frame,926,6,12,42,0.6437768240343348,22.22222222222222
RQ3 pool,stage max-1,ALL,ALL,3543,25,38,140,0.7006726457399103,21.348314606741575
RQ3 pool,stage max-3,12MP normal,Multi-frame,838,9,5,30,1.062573789846517,14.285714285714286
RQ3 pool,stage max-3,12MP normal,Single-frame,844,3,0,35,0.3541912632821724,0.0
RQ3 pool,stage max-3,24MP memory,Multi-frame,911,31,6,48,3.290870488322718,11.11111111111111
RQ3 pool,stage max-3,24MP memory,Single-frame,912,20,3,51,2.1459227467811157,5.555555555555555
RQ3 pool,stage max-3,ALL,ALL,3505,63,14,164,1.765695067264574,7.865168539325842
RQ3 pool,stage max-5,12MP normal,Multi-frame,834,13,4,31,1.5348288075560803,11.428571428571429
RQ3 pool,stage max-5,12MP normal,Single-frame,843,4,0,35,0.4722550177095632,0.0
RQ3 pool,stage max-5,24MP memory,Multi-frame,899,43,3,51,4.564755838641189,5.555555555555555
RQ3 pool,stage max-5,24MP memory,Single-frame,909,23,3,51,2.467811158798283,5.555555555555555
RQ3 pool,stage max-5,ALL,ALL,3485,83,10,168,2.3262331838565022,5.617977528089888
RQ3 pool,stage max-10,12MP normal,Multi-frame,820,27,3,32,3.187721369539551,8.571428571428571
RQ3 pool,stage max-10,12MP normal,Single-frame,838,9,0,35,1.062573789846517,0.0
RQ3 pool,stage max-10,24MP memory,Multi-frame,880,62,2,52,6.581740976645436,3.7037037037037037
RQ3 pool,stage max-10,24MP memory,Single-frame,901,31,2,52,3.3261802575107295,3.7037037037037037
RQ3 pool,stage max-10,ALL,ALL,3439,129,7,171,3.6154708520179373,3.932584269662921
RQ3 pool,stage+r mean-3,12MP normal,Multi-frame,845,2,10,25,0.2361275088547816,28.571428571428573
RQ3 pool,stage+r mean-3,12MP normal,Single-frame,847,0,3,32,0.0,8.571428571428571
RQ3 pool,stage+r mean-3,24MP memory,Multi-frame,932,10,16,38,1.0615711252653928,29.62962962962963
RQ3 pool,stage+r mean-3,24MP memory,Single-frame,928,4,11,43,0.4291845493562232,20.37037037037037
RQ3 pool,stage+r mean-3,ALL,ALL,3552,16,40,138,0.4484304932735426,22.471910112359552
RQ3 pool,stage+r max-5,12MP normal,Multi-frame,831,16,4,31,1.8890200708382527,11.428571428571429
RQ3 pool,stage+r max-5,12MP normal,Single-frame,842,5,0,35,0.5903187721369539,0.0
RQ3 pool,stage+r max-5,24MP memory,Multi-frame,896,46,3,51,4.883227176220807,5.555555555555555
RQ3 pool,stage+r max-5,24MP memory,Single-frame,908,24,3,51,2.575107296137339,5.555555555555555
RQ3 pool,stage+r max-5,ALL,ALL,3477,91,10,168,2.5504484304932737,5.617977528089888
unselected union,"U (recorded, table field)",12MP normal,Multi-frame,1030,25,4,40,2.3696682464454977,9.090909090909092
unselected union,"U (recorded, table field)",12MP normal,Single-frame,1049,6,0,44,0.5687203791469194,0.0
unselected union,"U (recorded, table field)",24MP memory,Multi-frame,1077,70,4,72,6.102877070619006,5.2631578947368425
unselected union,"U (recorded, table field)",24MP memory,Single-frame,1097,40,5,71,3.5180299032541775,6.578947368421052
unselected union,"U (recorded, table field)",ALL,ALL,4253,141,13,227,3.2089212562585345,5.416666666666667
unselected union,U (runtime decision),12MP normal,Multi-frame,1030,25,4,40,2.3696682464454977,9.090909090909092
unselected union,U (runtime decision),12MP normal,Single-frame,1049,6,0,44,0.5687203791469194,0.0
unselected union,U (runtime decision),24MP memory,Multi-frame,1077,70,4,72,6.102877070619006,5.2631578947368425
unselected union,U (runtime decision),24MP memory,Single-frame,1097,40,5,71,3.5180299032541775,6.578947368421052
unselected union,U (runtime decision),ALL,ALL,4253,141,13,227,3.2089212562585345,5.416666666666667
unselected union,P-hat only,12MP normal,Multi-frame,1055,0,11,33,0.0,25.0
unselected union,P-hat only,12MP normal,Single-frame,1055,0,7,37,0.0,15.909090909090908
unselected union,P-hat only,24MP memory,Multi-frame,1142,5,24,52,0.43591979075850046,31.57894736842105
unselected union,P-hat only,24MP memory,Single-frame,1136,1,18,58,0.08795074758135445,23.68421052631579
unselected union,P-hat only,ALL,ALL,4388,6,60,180,0.13654984069185253,25.0
unselected union,draft mean-1,12MP normal,Multi-frame,1048,7,8,36,0.6635071090047393,18.181818181818183
unselected union,draft mean-1,12MP normal,Single-frame,1048,7,8,36,0.6635071090047393,18.181818181818183
unselected union,draft mean-1,24MP memory,Multi-frame,1123,24,17,59,2.092414995640802,22.36842105263158
unselected union,draft mean-1,24MP memory,Single-frame,1113,24,17,59,2.1108179419525066,22.36842105263158
unselected union,draft mean-1,ALL,ALL,4332,62,50,190,1.411015020482476,20.833333333333332
unselected union,draft mean-3,12MP normal,Multi-frame,1051,4,11,33,0.3791469194312796,25.0
unselected union,draft mean-3,12MP normal,Single-frame,1051,4,11,33,0.3791469194312796,25.0
unselected union,draft mean-3,24MP memory,Multi-frame,1126,21,17,59,1.8308631211857018,22.36842105263158
unselected union,draft mean-3,24MP memory,Single-frame,1116,21,17,59,1.8469656992084433,22.36842105263158
unselected union,draft mean-3,ALL,ALL,4344,50,56,184,1.137915339098771,23.333333333333332
unselected union,draft mean-5,12MP normal,Multi-frame,1051,4,9,35,0.3791469194312796,20.454545454545453
unselected union,draft mean-5,12MP normal,Single-frame,1051,4,9,35,0.3791469194312796,20.454545454545453
unselected union,draft mean-5,24MP memory,Multi-frame,1127,20,14,62,1.7436791630340018,18.42105263157895
unselected union,draft mean-5,24MP memory,Single-frame,1117,20,14,62,1.7590149516270888,18.42105263157895
unselected union,draft mean-5,ALL,ALL,4346,48,46,194,1.0923987255348202,19.166666666666668
unselected union,draft mean-10,12MP normal,Multi-frame,1049,6,7,37,0.5687203791469194,15.909090909090908
unselected union,draft mean-10,12MP normal,Single-frame,1049,6,7,37,0.5687203791469194,15.909090909090908
unselected union,draft mean-10,24MP memory,Multi-frame,1125,22,10,66,1.9180470793374018,13.157894736842104
unselected union,draft mean-10,24MP memory,Single-frame,1115,22,10,66,1.9349164467897977,13.157894736842104
unselected union,draft mean-10,ALL,ALL,4338,56,34,206,1.2744651797906237,14.166666666666666
unselected union,draft max-1,12MP normal,Multi-frame,1048,7,8,36,0.6635071090047393,18.181818181818183
unselected union,draft max-1,12MP normal,Single-frame,1048,7,8,36,0.6635071090047393,18.181818181818183
unselected union,draft max-1,24MP memory,Multi-frame,1123,24,17,59,2.092414995640802,22.36842105263158
unselected union,draft max-1,24MP memory,Single-frame,1113,24,17,59,2.1108179419525066,22.36842105263158
unselected union,draft max-1,ALL,ALL,4332,62,50,190,1.411015020482476,20.833333333333332
unselected union,draft max-3,12MP normal,Multi-frame,1044,11,6,38,1.042654028436019,13.636363636363637
unselected union,draft max-3,12MP normal,Single-frame,1044,11,6,38,1.042654028436019,13.636363636363637
unselected union,draft max-3,24MP memory,Multi-frame,1101,46,10,66,4.010462074978204,13.157894736842104
unselected union,draft max-3,24MP memory,Single-frame,1091,46,10,66,4.0457343887423045,13.157894736842104
unselected union,draft max-3,ALL,ALL,4280,114,32,208,2.594446973145198,13.333333333333334
unselected union,draft max-5,12MP normal,Multi-frame,1040,15,6,38,1.4218009478672986,13.636363636363637
unselected union,draft max-5,12MP normal,Single-frame,1040,15,6,38,1.4218009478672986,13.636363636363637
unselected union,draft max-5,24MP memory,Multi-frame,1076,71,6,70,6.190061028770706,7.894736842105263
unselected union,draft max-5,24MP memory,Single-frame,1066,71,6,70,6.244503078276165,7.894736842105263
unselected union,draft max-5,ALL,ALL,4222,172,24,216,3.9144287664997726,10.0
unselected union,draft max-10,12MP normal,Multi-frame,1026,29,4,40,2.748815165876777,9.090909090909092
unselected union,draft max-10,12MP normal,Single-frame,1026,29,4,40,2.748815165876777,9.090909090909092
unselected union,draft max-10,24MP memory,Multi-frame,1038,109,2,74,9.503051438535309,2.6315789473684212
unselected union,draft max-10,24MP memory,Single-frame,1028,109,2,74,9.586631486367635,2.6315789473684212
unselected union,draft max-10,ALL,ALL,4118,276,12,228,6.2812926718252164,5.0
unselected union,stage mean-1,12MP normal,Multi-frame,1051,4,8,36,0.3791469194312796,18.181818181818183
unselected union,stage mean-1,12MP normal,Single-frame,1053,2,3,41,0.1895734597156398,6.818181818181818
unselected union,stage mean-1,24MP memory,Multi-frame,1128,19,24,52,1.6564952048823016,31.57894736842105
unselected union,stage mean-1,24MP memory,Single-frame,1129,8,19,57,0.7036059806508356,25.0
unselected union,stage mean-1,ALL,ALL,4361,33,54,186,0.7510241238051889,22.5
unselected union,stage mean-3,12MP normal,Multi-frame,1051,4,11,33,0.3791469194312796,25.0
unselected union,stage mean-3,12MP normal,Single-frame,1054,1,5,39,0.0947867298578199,11.363636363636363
unselected union,stage mean-3,24MP memory,Multi-frame,1135,12,24,52,1.046207497820401,31.57894736842105
unselected union,stage mean-3,24MP memory,Single-frame,1133,4,18,58,0.3518029903254178,23.68421052631579
unselected union,stage mean-3,ALL,ALL,4373,21,58,182,0.47792444242148385,24.166666666666668
unselected union,stage mean-5,12MP normal,Multi-frame,1052,3,12,32,0.2843601895734597,27.272727272727273
unselected union,stage mean-5,12MP normal,Single-frame,1054,1,5,39,0.0947867298578199,11.363636363636363
unselected union,stage mean-5,24MP memory,Multi-frame,1136,11,21,55,0.9590235396687009,27.63157894736842
unselected union,stage mean-5,24MP memory,Single-frame,1132,5,15,61,0.4397537379067722,19.736842105263158
unselected union,stage mean-5,ALL,ALL,4374,20,53,187,0.4551661356395084,22.083333333333332
unselected union,stage mean-10,12MP normal,Multi-frame,1051,4,8,36,0.3791469194312796,18.181818181818183
unselected union,stage mean-10,12MP normal,Single-frame,1055,0,5,39,0.0,11.363636363636363
unselected union,stage mean-10,24MP memory,Multi-frame,1135,12,17,59,1.046207497820401,22.36842105263158
unselected union,stage mean-10,24MP memory,Single-frame,1133,4,16,60,0.3518029903254178,21.05263157894737
unselected union,stage mean-10,ALL,ALL,4374,20,46,194,0.4551661356395084,19.166666666666668
unselected union,stage max-1,12MP normal,Multi-frame,1051,4,8,36,0.3791469194312796,18.181818181818183
unselected union,stage max-1,12MP normal,Single-frame,1053,2,3,41,0.1895734597156398,6.818181818181818
unselected union,stage max-1,24MP memory,Multi-frame,1128,19,24,52,1.6564952048823016,31.57894736842105
unselected union,stage max-1,24MP memory,Single-frame,1129,8,19,57,0.7036059806508356,25.0
unselected union,stage max-1,ALL,ALL,4361,33,54,186,0.7510241238051889,22.5
unselected union,stage max-3,12MP normal,Multi-frame,1044,11,6,38,1.042654028436019,13.636363636363637
unselected union,stage max-3,12MP normal,Single-frame,1051,4,1,43,0.3791469194312796,2.272727272727273
unselected union,stage max-3,24MP memory,Multi-frame,1105,42,13,63,3.6617262423714037,17.105263157894736
unselected union,stage max-3,24MP memory,Single-frame,1111,26,9,67,2.2867194371152153,11.842105263157896
unselected union,stage max-3,ALL,ALL,4311,83,29,211,1.88893946290396,12.083333333333334
unselected union,stage max-5,12MP normal,Multi-frame,1038,17,4,40,1.6113744075829384,9.090909090909092
