pop,arm,knob,value,FA,FS,UA,US
RQ3 pool,P-hat only,margin,0.0,3565,3,47,131
RQ3 pool,P-hat only,margin,10.0,3564,4,44,134
RQ3 pool,P-hat only,margin,20.0,3560,8,39,139
RQ3 pool,P-hat only,margin,30.0,3560,8,35,143
RQ3 pool,P-hat only,margin,40.0,3556,12,28,150
RQ3 pool,P-hat only,margin,50.0,3551,17,26,152
RQ3 pool,P-hat only,margin,60.0,3545,23,24,154
RQ3 pool,P-hat only,margin,70.0,3539,29,19,159
RQ3 pool,P-hat only,margin,80.0,3534,34,18,160
RQ3 pool,P-hat only,margin,90.0,3530,38,17,161
RQ3 pool,P-hat only,margin,100.0,3516,52,14,164
RQ3 pool,P-hat only,margin,110.0,3512,56,14,164
RQ3 pool,P-hat only,margin,120.0,3508,60,13,165
RQ3 pool,P-hat only,margin,130.0,3503,65,12,166
RQ3 pool,P-hat only,margin,140.0,3495,73,11,167
RQ3 pool,P-hat only,margin,150.0,3492,76,10,168
RQ3 pool,P-hat only,margin,160.0,3485,83,9,169
RQ3 pool,P-hat only,margin,170.0,3480,88,8,170
RQ3 pool,P-hat only,margin,180.0,3473,95,7,171
RQ3 pool,P-hat only,margin,190.0,3465,103,7,171
RQ3 pool,P-hat only,margin,200.0,3462,106,5,173
RQ3 pool,P-hat only,margin,210.0,3456,112,5,173
RQ3 pool,P-hat only,margin,220.0,3454,114,5,173
RQ3 pool,P-hat only,margin,230.0,3448,120,5,173
RQ3 pool,P-hat only,margin,240.0,3441,127,5,173
RQ3 pool,P-hat only,margin,250.0,3432,136,5,173
RQ3 pool,P-hat only,margin,260.0,3426,142,5,173
RQ3 pool,P-hat only,margin,270.0,3418,150,5,173
RQ3 pool,P-hat only,margin,280.0,3411,157,5,173
RQ3 pool,P-hat only,margin,290.0,3407,161,5,173
RQ3 pool,P-hat only,margin,300.0,3403,165,5,173
RQ3 pool,P-hat only,margin,310.0,3394,174,5,173
RQ3 pool,P-hat only,margin,320.0,3386,182,5,173
RQ3 pool,P-hat only,margin,330.0,3377,191,5,173
RQ3 pool,P-hat only,margin,340.0,3374,194,5,173
RQ3 pool,P-hat only,margin,350.0,3365,203,5,173
RQ3 pool,P-hat only,margin,360.0,3359,209,5,173
RQ3 pool,P-hat only,margin,370.0,3351,217,5,173
RQ3 pool,P-hat only,margin,380.0,3339,229,5,173
RQ3 pool,P-hat only,margin,390.0,3333,235,4,174
RQ3 pool,P-hat only,margin,400.0,3319,249,4,174
RQ3 pool,P-hat only,margin,410.0,3308,260,4,174
RQ3 pool,P-hat only,margin,420.0,3296,272,3,175
RQ3 pool,P-hat only,margin,430.0,3287,281,3,175
RQ3 pool,P-hat only,margin,440.0,3274,294,3,175
RQ3 pool,P-hat only,margin,450.0,3265,303,3,175
RQ3 pool,P-hat only,margin,460.0,3259,309,3,175
RQ3 pool,P-hat only,margin,470.0,3253,315,3,175
RQ3 pool,P-hat only,margin,480.0,3242,326,3,175
RQ3 pool,P-hat only,margin,490.0,3234,334,3,175
RQ3 pool,P-hat only,margin,500.0,3223,345,3,175
RQ3 pool,P-hat only,margin,510.0,3215,353,2,176
RQ3 pool,P-hat only,margin,520.0,3209,359,2,176
RQ3 pool,P-hat only,margin,530.0,3198,370,2,176
RQ3 pool,P-hat only,margin,540.0,3187,381,2,176
RQ3 pool,P-hat only,margin,550.0,3178,390,2,176
RQ3 pool,P-hat only,margin,560.0,3170,398,2,176
RQ3 pool,P-hat only,margin,570.0,3158,410,2,176
RQ3 pool,P-hat only,margin,580.0,3149,419,2,176
RQ3 pool,P-hat only,margin,590.0,3139,429,2,176
RQ3 pool,P-hat only,margin,600.0,3125,443,2,176
RQ3 pool,P-hat only,margin,610.0,3113,455,2,176
RQ3 pool,P-hat only,margin,620.0,3106,462,2,176
RQ3 pool,P-hat only,margin,630.0,3090,478,2,176
RQ3 pool,P-hat only,margin,640.0,3081,487,1,177
RQ3 pool,P-hat only,margin,650.0,3072,496,1,177
RQ3 pool,P-hat only,margin,660.0,3062,506,1,177
RQ3 pool,P-hat only,margin,670.0,3054,514,1,177
RQ3 pool,P-hat only,margin,680.0,3042,526,0,178
RQ3 pool,P-hat only,margin,690.0,3036,532,0,178
RQ3 pool,P-hat only,margin,700.0,3019,549,0,178
RQ3 pool,P-hat only,margin,710.0,3009,559,0,178
